,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2000-03-18,Dallas Burn,Chicago Fire,Cotton Bowl,0,4,2,Dallas Burn,2000
1,Regular Season,2000-03-18,Miami Fusion,New England,Lockhart Stadium,0,1,1,,2000
2,Regular Season,2000-03-18,LA Galaxy,Colorado Rapids,Rose Bowl,0,2,1,LA Galaxy,2000
3,Regular Season,2000-03-18,Tampa Bay,Columbus Crew,Raymond James Stadium,0,5,1,Tampa Bay,2000
4,Regular Season,2000-03-25,Dallas Burn,Colorado Rapids,Cotton Bowl,0,0,1,Colorado Rapids,2000
5,Regular Season,2000-03-25,Columbus Crew,San Jose,MAPFRE Stadium,0,2,1,Columbus Crew,2000
6,Regular Season,2000-03-25,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,0,0,4,LA Galaxy,2000
7,Regular Season,2000-03-25,KC Wizards,Chicago Fire,Arrowhead Stadium,0,4,3,KC Wizards,2000
8,Regular Season,2000-03-25,Tampa Bay,New England,Raymond James Stadium,0,1,0,Tampa Bay,2000
9,Regular Season,2000-03-26,Miami Fusion,MetroStars,Lockhart Stadium,0,3,1,Miami Fusion,2000
10,Regular Season,2000-04-01,Miami Fusion,San Jose,Lockhart Stadium,0,0,0,,2000
11,Regular Season,2000-04-01,Columbus Crew,Chicago Fire,MAPFRE Stadium,0,0,2,Chicago Fire,2000
12,Regular Season,2000-04-01,LA Galaxy,New England,Rose Bowl,0,2,2,,2000
13,Regular Season,2000-04-01,MetroStars,D.C. United,Giants Stadium,0,3,2,MetroStars,2000
14,Regular Season,2000-04-01,KC Wizards,Colorado Rapids,Arrowhead Stadium,0,3,0,KC Wizards,2000
15,Regular Season,2000-04-01,Dallas Burn,Tampa Bay,Cotton Bowl,0,1,0,Dallas Burn,2000
16,Regular Season,2000-04-08,San Jose,MetroStars,CEFCU Stadium,0,2,0,San Jose,2000
