,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2010-03-25,Seattle,Philadelphia,CenturyLink Field,0,2,0,Seattle,2010
1,Regular Season,2010-03-26,Chivas USA,Colorado Rapids,Dignity Health Sports Park,0,0,1,Colorado Rapids,2010
2,Regular Season,2010-03-27,San Jose,Real Salt Lake,Stevens Stadium,0,0,3,Real Salt Lake,2010
3,Regular Season,2010-03-27,KC Wizards,D.C. United,JustBats Field at T-Bones Stadium,0,4,0,KC Wizards,2010
4,Regular Season,2010-03-27,FC Dallas,Houston Dynamo,Toyota Stadium,0,1,1,,2010
5,Regular Season,2010-03-27,Columbus Crew,Toronto FC,MAPFRE Stadium,0,2,0,Columbus Crew,2010
6,Regular Season,2010-03-27,LA Galaxy,New England,Dignity Health Sports Park,0,1,0,LA Galaxy,2010
7,Regular Season,2010-03-27,NY Red Bulls,Chicago Fire,Red Bull Arena,0,1,0,NY Red Bulls,2010
8,Regular Season,2010-04-01,LA Galaxy,Chivas USA,Dignity Health Sports Park,0,2,0,LA Galaxy,2010
9,Regular Season,2010-04-01,Houston Dynamo,Real Salt Lake,Robertson Stadium,0,2,1,Houston Dynamo,2010
10,Regular Season,2010-04-03,D.C. United,New England,Robert F. Kennedy Memorial Stadium,0,0,2,New England,2010
11,Regular Season,2010-04-03,Colorado Rapids,Chicago Fire,Dick's Sporting Goods Park,0,2,2,,2010
12,Regular Season,2010-04-03,Seattle,NY Red Bulls,CenturyLink Field,0,0,1,NY Red Bulls,2010
13,Regular Season,2010-04-10,Real Salt Lake,Seattle,Rio Tinto Stadium,0,2,2,,2010
14,Regular Season,2010-04-10,Philadelphia,D.C. United,Lincoln Financial Field,0,3,2,Philadelphia,2010
15,Regular Season,2010-04-10,Chicago Fire,San Jose,SeatGeek Stadium,0,1,2,San Jose,2010
16,Regular Season,2010-04-10,Houston Dynamo,LA Galaxy,Robertson Stadium,0,0,2,LA Galaxy,2010
17,Regular Season,2010-04-10,Chivas USA,NY Red Bulls,Dignity Health Sports Park,0,2,0,Chivas USA,2010
18,Regular Season,2010-04-10,New England,Toronto FC,Gillette Stadium,0,4,1,New England,2010
19,Regular Season,2010-04-10,KC Wizards,Colorado Rapids,JustBats Field at T-Bones Stadium,0,1,0,KC Wizards,2010
20,Regular Season,2010-04-10,FC Dallas,Columbus Crew,Toyota Stadium,0,2,2,,2010
21,Regular Season,2010-04-15,Toronto FC,Philadelphia,BMO Field,0,2,1,Toronto FC,2010
22,Regular Season,2010-04-17,Houston Dynamo,Chivas USA,Robertson Stadium,0,3,0,Houston Dynamo,2010
23,Regular Season,2010-04-17,LA Galaxy,Real Salt Lake,Dignity Health Sports Park,0,2,1,LA Galaxy,2010
25,Regular Season,2010-04-17,San Jose,New England,Stevens Stadium,0,2,0,San Jose,2010
26,Regular Season,2010-04-17,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,0,0,2,Chicago Fire,2010
27,Regular Season,2010-04-17,Seattle,KC Wizards,CenturyLink Field,0,1,0,Seattle,2010
28,Regular Season,2010-04-17,NY Red Bulls,FC Dallas,Red Bull Arena,0,2,1,NY Red Bulls,2010
