,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
156,Regular Season,2006-09-02,Real Salt Lake,Colorado Rapids,0,0,1,Colorado Rapids,2006
157,Regular Season,2006-09-03,Chivas USA,D.C. United,0,1,2,D.C. United,2006
158,Regular Season,2006-09-03,Chicago Fire,NY Red Bulls,0,2,1,Chicago Fire,2006
159,Regular Season,2006-09-09,Chivas USA,FC Dallas,0,1,1,,2006
160,Regular Season,2006-09-09,New England,NY Red Bulls,0,1,0,New England,2006
161,Regular Season,2006-09-09,KC Wizards,Colorado Rapids,0,4,1,KC Wizards,2006
162,Regular Season,2006-09-09,D.C. United,Real Salt Lake,0,1,1,,2006
163,Regular Season,2006-09-09,Columbus Crew,Chicago Fire,0,1,2,Chicago Fire,2006
164,Regular Season,2006-09-10,LA Galaxy,Houston Dynamo,0,1,2,Houston Dynamo,2006
165,Regular Season,2006-09-13,FC Dallas,Chivas USA,0,0,1,Chivas USA,2006
166,Regular Season,2006-09-13,New England,D.C. United,0,1,1,,2006
167,Regular Season,2006-09-13,Colorado Rapids,Chicago Fire,0,1,0,Colorado Rapids,2006
168,Regular Season,2006-09-16,NY Red Bulls,Columbus Crew,0,1,0,NY Red Bulls,2006
169,Regular Season,2006-09-16,Real Salt Lake,FC Dallas,0,3,2,Real Salt Lake,2006
170,Regular Season,2006-09-16,LA Galaxy,Colorado Rapids,0,0,0,,2006
171,Regular Season,2006-09-17,Chicago Fire,D.C. United,0,1,0,Chicago Fire,2006
172,Regular Season,2006-09-17,Houston Dynamo,Chivas USA,0,0,0,,2006
173,Regular Season,2006-09-20,NY Red Bulls,New England,0,0,2,New England,2006
174,Regular Season,2006-09-23,D.C. United,NY Red Bulls,0,4,3,D.C. United,2006
175,Regular Season,2006-09-23,Chicago Fire,LA Galaxy,0,2,1,Chicago Fire,2006
176,Regular Season,2006-09-23,New England,KC Wizards,0,1,1,,2006
177,Regular Season,2006-09-23,FC Dallas,Real Salt Lake,0,2,1,FC Dallas,2006
178,Regular Season,2006-09-23,Columbus Crew,Houston Dynamo,0,1,1,,2006
179,Regular Season,2006-09-23,Chivas USA,Colorado Rapids,0,1,0,Chivas USA,2006
181,Regular Season,2006-09-30,Columbus Crew,FC Dallas,0,3,1,Columbus Crew,2006
182,Regular Season,2006-09-30,NY Red Bulls,Chicago Fire,0,1,0,NY Red Bulls,2006
183,Regular Season,2006-09-30,KC Wizards,Real Salt Lake,0,3,3,,2006
184,Regular Season,2006-09-30,New England,Colorado Rapids,0,3,1,New England,2006
185,Regular Season,2006-09-30,Houston Dynamo,D.C. United,0,1,0,Houston Dynamo,2006
186,Regular Season,2006-09-30,LA Galaxy,Chivas USA,0,3,0,LA Galaxy,2006
187,Regular Season,2006-10-07,D.C. United,New England,0,1,2,New England,2006
188,Regular Season,2006-10-07,Chicago Fire,Columbus Crew,0,1,4,Columbus Crew,2006
189,Regular Season,2006-10-07,FC Dallas,LA Galaxy,0,2,1,FC Dallas,2006
190,Regular Season,2006-10-07,KC Wizards,Chivas USA,0,2,1,KC Wizards,2006
191,Regular Season,2006-10-07,Real Salt Lake,Houston Dynamo,0,1,1,,2006
192,Regular Season,2006-10-07,Colorado Rapids,NY Red Bulls,0,1,1,,2006
193,Regular Season,2006-10-14,New England,Columbus Crew,0,1,0,New England,2006
194,Regular Season,2006-10-14,LA Galaxy,FC Dallas,0,5,2,LA Galaxy,2006
195,Regular Season,2006-10-14,NY Red Bulls,KC Wizards,0,3,2,NY Red Bulls,2006
196,Regular Season,2006-10-14,Houston Dynamo,Colorado Rapids,0,3,3,,2006
197,Regular Season,2006-10-15,Chivas USA,Real Salt Lake,0,1,1,,2006
198,Regular Season,2006-10-15,D.C. United,Chicago Fire,0,2,3,Chicago Fire,2006
199,Conference Semifinals,2006-10-21,Colorado Rapids,FC Dallas,0,1,2,FC Dallas,2006
200,Conference Semifinals,2006-10-21,NY Red Bulls,D.C. United,0,0,1,D.C. United,2006
201,Conference Semifinals,2006-10-22,Chicago Fire,New England,0,1,0,Chicago Fire,2006
202,Conference Semifinals,2006-10-22,Chivas USA,Houston Dynamo,0,2,1,Chivas USA,2006
203,Conference Semifinals,2006-10-28,FC Dallas,Colorado Rapids,0,2,3,Colorado Rapids,2006
204,Conference Semifinals,2006-10-28,New England,Chicago Fire,0,2,1,New England,2006
205,Conference Semifinals,2006-10-29,D.C. United,NY Red Bulls,0,1,1,,2006
207,Conference Semifinals,2006-10-29,Houston Dynamo,Chivas USA,0,2,0,Houston Dynamo,2006
208,Conference Finals,2006-11-05,D.C. United,New England,0,0,1,New England,2006
209,Conference Finals,2006-11-05,Houston Dynamo,Colorado Rapids,0,3,1,Houston Dynamo,2006
210,MLS Cup 2006,2006-11-12,New England,Houston Dynamo,22427,1,1,Houston Dynamo,2006
