,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2006-04-01,FC Dallas,Chicago Fire,0,3,2,FC Dallas,2006
1,Regular Season,2006-04-01,LA Galaxy,New England,0,0,1,New England,2006
2,Regular Season,2006-04-01,KC Wizards,Columbus Crew,0,3,1,KC Wizards,2006
3,Regular Season,2006-04-02,D.C. United,NY Red Bulls,0,2,2,,2006
4,Regular Season,2006-04-02,Houston Dynamo,Colorado Rapids,0,5,2,Houston Dynamo,2006
5,Regular Season,2006-04-02,Chivas USA,Real Salt Lake,0,3,0,Chivas USA,2006
6,Regular Season,2006-04-08,NY Red Bulls,New England,0,0,0,,2006
7,Regular Season,2006-04-08,LA Galaxy,Chicago Fire,0,1,1,,2006
8,Regular Season,2006-04-08,D.C. United,Chivas USA,0,2,0,D.C. United,2006
9,Regular Season,2006-04-08,Colorado Rapids,Columbus Crew,0,3,1,Colorado Rapids,2006
10,Regular Season,2006-04-08,Houston Dynamo,KC Wizards,0,1,2,KC Wizards,2006
11,Regular Season,2006-04-08,FC Dallas,Real Salt Lake,0,2,1,FC Dallas,2006
12,Regular Season,2006-04-15,D.C. United,Houston Dynamo,0,2,0,D.C. United,2006
13,Regular Season,2006-04-15,Real Salt Lake,NY Red Bulls,0,1,1,,2006
14,Regular Season,2006-04-15,Colorado Rapids,FC Dallas,0,2,2,,2006
15,Regular Season,2006-04-15,Columbus Crew,Chicago Fire,0,1,1,,2006
16,Regular Season,2006-04-15,KC Wizards,New England,0,1,0,KC Wizards,2006
17,Regular Season,2006-04-15,Chivas USA,LA Galaxy,0,1,2,LA Galaxy,2006
18,Regular Season,2006-04-22,Houston Dynamo,Real Salt Lake,0,2,1,Houston Dynamo,2006
19,Regular Season,2006-04-22,NY Red Bulls,D.C. United,0,1,4,D.C. United,2006
20,Regular Season,2006-04-22,LA Galaxy,Columbus Crew,0,0,1,Columbus Crew,2006
21,Regular Season,2006-04-23,FC Dallas,KC Wizards,0,2,1,FC Dallas,2006
22,Regular Season,2006-04-29,Colorado Rapids,Houston Dynamo,0,0,1,Houston Dynamo,2006
23,Regular Season,2006-04-29,Real Salt Lake,LA Galaxy,0,2,3,LA Galaxy,2006
25,Regular Season,2006-04-29,Columbus Crew,KC Wizards,0,0,1,KC Wizards,2006
26,Regular Season,2006-04-29,Chivas USA,NY Red Bulls,0,0,0,,2006
27,Regular Season,2006-04-29,D.C. United,FC Dallas,0,1,1,,2006
28,Regular Season,2006-04-30,New England,Chicago Fire,0,1,2,Chicago Fire,2006
29,Regular Season,2006-05-06,KC Wizards,Chicago Fire,0,1,1,,2006
30,Regular Season,2006-05-06,Real Salt Lake,Columbus Crew,0,0,1,Columbus Crew,2006
31,Regular Season,2006-05-06,Colorado Rapids,D.C. United,0,2,1,Colorado Rapids,2006
32,Regular Season,2006-05-06,Houston Dynamo,FC Dallas,0,4,3,Houston Dynamo,2006
33,Regular Season,2006-05-06,New England,LA Galaxy,0,4,0,New England,2006
34,Regular Season,2006-05-10,FC Dallas,LA Galaxy,0,1,0,FC Dallas,2006
35,Regular Season,2006-05-13,NY Red Bulls,Chicago Fire,0,1,1,,2006
36,Regular Season,2006-05-13,LA Galaxy,Real Salt Lake,0,0,3,Real Salt Lake,2006
37,Regular Season,2006-05-13,Columbus Crew,Colorado Rapids,0,1,0,Columbus Crew,2006
38,Regular Season,2006-05-13,FC Dallas,Houston Dynamo,0,1,1,,2006
39,Regular Season,2006-05-13,D.C. United,KC Wizards,0,2,1,D.C. United,2006
40,Regular Season,2006-05-13,New England,Chivas USA,0,3,1,New England,2006
41,Regular Season,2006-05-20,Columbus Crew,D.C. United,0,1,1,,2006
42,Regular Season,2006-05-20,FC Dallas,New England,0,4,0,FC Dallas,2006
43,Regular Season,2006-05-20,Real Salt Lake,KC Wizards,0,2,1,Real Salt Lake,2006
44,Regular Season,2006-05-20,NY Red Bulls,Chivas USA,0,5,4,NY Red Bulls,2006
45,Regular Season,2006-05-20,LA Galaxy,Colorado Rapids,0,0,1,Colorado Rapids,2006
46,Regular Season,2006-05-20,Houston Dynamo,Chicago Fire,0,0,1,Chicago Fire,2006
47,Regular Season,2006-05-24,NY Red Bulls,FC Dallas,0,1,2,FC Dallas,2006
48,Regular Season,2006-05-27,New England,Houston Dynamo,0,1,1,,2006
49,Regular Season,2006-05-27,Real Salt Lake,Colorado Rapids,0,2,2,,2006
51,Regular Season,2006-05-27,Chivas USA,Chicago Fire,0,1,0,Chivas USA,2006
52,Regular Season,2006-05-27,KC Wizards,D.C. United,0,1,3,D.C. United,2006
53,Regular Season,2006-05-31,Colorado Rapids,LA Galaxy,0,1,0,Colorado Rapids,2006
54,Regular Season,2006-05-31,D.C. United,Columbus Crew,0,5,1,D.C. United,2006
55,Regular Season,2006-06-03,Houston Dynamo,LA Galaxy,0,2,1,Houston Dynamo,2006
56,Regular Season,2006-06-03,FC Dallas,Columbus Crew,0,1,2,Columbus Crew,2006
57,Regular Season,2006-06-03,D.C. United,New England,0,1,0,D.C. United,2006
58,Regular Season,2006-06-03,KC Wizards,NY Red Bulls,0,1,1,,2006
59,Regular Season,2006-06-03,Real Salt Lake,Chicago Fire,0,3,1,Real Salt Lake,2006
60,Regular Season,2006-06-03,Chivas USA,Colorado Rapids,0,4,1,Chivas USA,2006
61,Regular Season,2006-06-08,LA Galaxy,Chivas USA,0,1,2,Chivas USA,2006
62,Regular Season,2006-06-09,Colorado Rapids,Real Salt Lake,0,1,0,Colorado Rapids,2006
63,Regular Season,2006-06-10,NY Red Bulls,Houston Dynamo,0,1,1,,2006
64,Regular Season,2006-06-10,Columbus Crew,KC Wizards,0,0,1,KC Wizards,2006
65,Regular Season,2006-06-11,Chicago Fire,New England,0,3,3,,2006
66,Regular Season,2006-06-11,FC Dallas,Chivas USA,0,2,1,FC Dallas,2006
67,Regular Season,2006-06-11,LA Galaxy,D.C. United,0,1,1,,2006
68,Regular Season,2006-06-17,New England,D.C. United,0,1,1,,2006
69,Regular Season,2006-06-17,KC Wizards,Chicago Fire,0,3,2,KC Wizards,2006
70,Regular Season,2006-06-17,Houston Dynamo,Real Salt Lake,0,2,1,Houston Dynamo,2006
71,Regular Season,2006-06-17,NY Red Bulls,LA Galaxy,0,2,1,NY Red Bulls,2006
72,Regular Season,2006-06-18,Chivas USA,Columbus Crew,0,2,0,Chivas USA,2006
73,Regular Season,2006-06-21,D.C. United,Chicago Fire,0,1,0,D.C. United,2006
74,Regular Season,2006-06-21,Columbus Crew,New England,0,1,1,,2006
75,Regular Season,2006-06-21,Colorado Rapids,Chivas USA,0,1,1,,2006
77,Regular Season,2006-06-24,D.C. United,KC Wizards,0,1,0,D.C. United,2006
78,Regular Season,2006-06-24,LA Galaxy,Houston Dynamo,0,0,0,,2006
79,Regular Season,2006-06-24,Real Salt Lake,New England,0,0,0,,2006
80,Regular Season,2006-06-24,FC Dallas,Colorado Rapids,0,1,0,FC Dallas,2006
81,Regular Season,2006-06-24,Columbus Crew,Chivas USA,0,1,1,,2006
82,Regular Season,2006-06-25,Chicago Fire,NY Red Bulls,0,2,0,Chicago Fire,2006
83,Regular Season,2006-06-28,NY Red Bulls,Columbus Crew,0,0,0,,2006
84,Regular Season,2006-06-28,New England,FC Dallas,0,1,0,New England,2006
85,Regular Season,2006-06-28,KC Wizards,D.C. United,0,2,3,D.C. United,2006
86,Regular Season,2006-06-28,Chivas USA,Houston Dynamo,0,1,1,,2006
87,Regular Season,2006-06-28,Chicago Fire,Real Salt Lake,0,2,1,Chicago Fire,2006
88,Regular Season,2006-07-01,New England,NY Red Bulls,0,3,2,New England,2006
89,Regular Season,2006-07-01,Chivas USA,FC Dallas,0,3,0,Chivas USA,2006
90,Regular Season,2006-07-01,KC Wizards,LA Galaxy,0,0,2,LA Galaxy,2006
91,Regular Season,2006-07-04,Colorado Rapids,New England,0,3,2,Colorado Rapids,2006
92,Regular Season,2006-07-04,FC Dallas,D.C. United,0,0,1,D.C. United,2006
93,Regular Season,2006-07-04,Real Salt Lake,Chivas USA,0,0,0,,2006
94,Regular Season,2006-07-04,Houston Dynamo,Columbus Crew,0,1,1,,2006
95,Regular Season,2006-07-04,LA Galaxy,NY Red Bulls,0,1,0,LA Galaxy,2006
96,Regular Season,2006-07-04,Chicago Fire,KC Wizards,0,1,0,Chicago Fire,2006
97,Regular Season,2006-07-08,Columbus Crew,D.C. United,0,0,1,D.C. United,2006
98,Regular Season,2006-07-08,FC Dallas,NY Red Bulls,0,2,1,FC Dallas,2006
99,Regular Season,2006-07-08,LA Galaxy,Real Salt Lake,0,2,0,LA Galaxy,2006
100,Regular Season,2006-07-08,Houston Dynamo,Chivas USA,0,3,1,Houston Dynamo,2006
101,Regular Season,2006-07-08,Chicago Fire,New England,0,1,2,New England,2006
103,Regular Season,2006-07-08,Colorado Rapids,KC Wizards,0,1,0,Colorado Rapids,2006
104,Regular Season,2006-07-14,NY Red Bulls,Colorado Rapids,0,1,0,NY Red Bulls,2006
105,Regular Season,2006-07-14,New England,Real Salt Lake,0,1,3,Real Salt Lake,2006
106,Regular Season,2006-07-15,Chivas USA,LA Galaxy,0,0,0,,2006
107,Regular Season,2006-07-15,KC Wizards,Houston Dynamo,0,2,3,Houston Dynamo,2006
108,Regular Season,2006-07-15,D.C. United,Columbus Crew,0,3,2,D.C. United,2006
109,Regular Season,2006-07-15,Chicago Fire,FC Dallas,0,2,3,FC Dallas,2006
110,Regular Season,2006-07-19,Columbus Crew,NY Red Bulls,0,0,2,NY Red Bulls,2006
111,Regular Season,2006-07-20,Colorado Rapids,Chivas USA,0,3,3,,2006
112,Regular Season,2006-07-22,NY Red Bulls,KC Wizards,0,1,0,NY Red Bulls,2006
113,Regular Season,2006-07-22,Chicago Fire,D.C. United,0,1,1,,2006
114,Regular Season,2006-07-22,Real Salt Lake,FC Dallas,0,0,1,FC Dallas,2006
115,Regular Season,2006-07-22,Houston Dynamo,New England,0,1,1,,2006
116,Regular Season,2006-07-22,Columbus Crew,LA Galaxy,0,1,1,,2006
117,Regular Season,2006-07-26,Real Salt Lake,Chivas USA,0,3,3,,2006
118,Regular Season,2006-07-26,Colorado Rapids,Houston Dynamo,0,1,0,Colorado Rapids,2006
119,Regular Season,2006-07-29,Real Salt Lake,D.C. United,0,2,1,Real Salt Lake,2006
120,Regular Season,2006-07-29,Chicago Fire,Columbus Crew,0,0,0,,2006
121,Regular Season,2006-07-29,FC Dallas,Colorado Rapids,0,4,1,FC Dallas,2006
122,Regular Season,2006-07-29,Houston Dynamo,NY Red Bulls,0,1,1,,2006
123,Regular Season,2006-07-29,KC Wizards,New England,0,1,1,,2006
124,Regular Season,2006-08-06,Chivas USA,New England,0,1,1,,2006
125,Regular Season,2006-08-09,Colorado Rapids,Real Salt Lake,0,1,4,Real Salt Lake,2006
126,Regular Season,2006-08-09,New England,KC Wizards,0,0,0,,2006
127,Regular Season,2006-08-09,Houston Dynamo,LA Galaxy,0,0,1,LA Galaxy,2006
129,Regular Season,2006-08-12,Colorado Rapids,LA Galaxy,0,1,0,Colorado Rapids,2006
130,Regular Season,2006-08-12,Houston Dynamo,FC Dallas,0,1,0,Houston Dynamo,2006
131,Regular Season,2006-08-12,Chicago Fire,Chivas USA,0,1,2,Chivas USA,2006
132,Regular Season,2006-08-12,KC Wizards,Columbus Crew,0,4,0,KC Wizards,2006
133,Regular Season,2006-08-16,Columbus Crew,Real Salt Lake,0,1,2,Real Salt Lake,2006
134,Regular Season,2006-08-16,NY Red Bulls,D.C. United,0,0,0,,2006
135,Regular Season,2006-08-16,Chicago Fire,KC Wizards,0,3,0,Chicago Fire,2006
136,Regular Season,2006-08-19,Real Salt Lake,Houston Dynamo,0,3,1,Real Salt Lake,2006
137,Regular Season,2006-08-19,D.C. United,Colorado Rapids,0,1,1,,2006
138,Regular Season,2006-08-19,Columbus Crew,NY Red Bulls,0,1,0,Columbus Crew,2006
139,Regular Season,2006-08-19,Chivas USA,KC Wizards,0,1,1,,2006
140,Regular Season,2006-08-20,New England,Chicago Fire,0,0,1,Chicago Fire,2006
141,Regular Season,2006-08-20,LA Galaxy,FC Dallas,0,2,0,LA Galaxy,2006
142,Regular Season,2006-08-26,D.C. United,LA Galaxy,0,2,5,LA Galaxy,2006
143,Regular Season,2006-08-26,Chicago Fire,Colorado Rapids,0,1,0,Chicago Fire,2006
144,Regular Season,2006-08-26,NY Red Bulls,Real Salt Lake,0,6,0,NY Red Bulls,2006
145,Regular Season,2006-08-26,Chivas USA,Houston Dynamo,0,3,2,Chivas USA,2006
146,Regular Season,2006-08-27,KC Wizards,FC Dallas,0,1,0,KC Wizards,2006
147,Regular Season,2006-08-27,New England,Columbus Crew,0,1,0,New England,2006
148,Regular Season,2006-08-30,Colorado Rapids,FC Dallas,0,0,2,FC Dallas,2006
149,Regular Season,2006-08-30,KC Wizards,NY Red Bulls,0,2,2,,2006
150,Regular Season,2006-08-30,Chicago Fire,Houston Dynamo,0,2,2,,2006
151,Regular Season,2006-08-30,Real Salt Lake,LA Galaxy,0,1,0,Real Salt Lake,2006
152,Regular Season,2006-09-02,Columbus Crew,New England,0,3,0,Columbus Crew,2006
153,Regular Season,2006-09-02,FC Dallas,Houston Dynamo,0,1,0,FC Dallas,2006
155,Regular Season,2006-09-02,LA Galaxy,KC Wizards,0,2,1,LA Galaxy,2006
