,Round,Date,Home,xGH,xGA,Away,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2021-04-16,Houston Dynamo,1.5,1.3,San Jose,0,2,1,Houston Dynamo,2021
1,Regular Season,2021-04-16,Seattle,2.9,1.3,Minnesota Utd,7042,4,0,Seattle,2021
2,Regular Season,2021-04-17,CF Montréal,1.7,2.0,Toronto FC,0,4,2,CF Montréal,2021
3,Regular Season,2021-04-17,Orlando City,1.2,0.8,Atlanta Utd,11503,0,0,,2021
4,Regular Season,2021-04-17,Los Angeles FC,2.4,1.2,Austin FC,4900,2,0,Los Angeles FC,2021
5,Regular Season,2021-04-17,FC Dallas,0.9,1.0,Colorado Rapids,8621,0,0,,2021
6,Regular Season,2021-04-17,NY Red Bulls,0.6,1.9,Sporting KC,0,1,2,Sporting KC,2021
7,Regular Season,2021-04-17,D.C. United,0.6,1.5,NYCFC,4500,2,1,D.C. United,2021
8,Regular Season,2021-04-17,Chicago Fire,2.2,1.9,New England,0,2,2,,2021
9,Regular Season,2021-04-17,Nashville,3.4,1.8,FC Cincinnati,0,2,2,,2021
10,Regular Season,2021-04-18,Inter Miami,2.8,1.3,LA Galaxy,0,2,3,LA Galaxy,2021
11,Regular Season,2021-04-18,Columbus Crew,1.5,1.2,Philadelphia,5180,0,0,,2021
12,Regular Season,2021-04-18,Vancouver,0.3,1.0,Portland Timbers,0,1,0,Vancouver,2021
13,Regular Season,2021-04-23,Sporting KC,0.7,1.3,Orlando City,0,1,1,,2021
14,Regular Season,2021-04-24,NYCFC,2.0,1.1,FC Cincinnati,0,5,0,NYCFC,2021
15,Regular Season,2021-04-24,Nashville,2.5,0.8,CF Montréal,0,2,2,,2021
16,Regular Season,2021-04-24,Toronto FC,1.6,1.6,Vancouver,0,2,2,,2021
17,Regular Season,2021-04-24,San Jose,2.7,1.8,FC Dallas,0,3,1,San Jose,2021
18,Regular Season,2021-04-24,Los Angeles FC,0.7,0.8,Seattle,0,1,1,,2021
19,Regular Season,2021-04-24,Minnesota Utd,1.4,2.2,Real Salt Lake,4100,1,2,Real Salt Lake,2021
20,Regular Season,2021-04-24,New England,0.3,0.3,D.C. United,0,1,0,New England,2021
21,Regular Season,2021-04-24,Philadelphia,1.1,0.9,Inter Miami,5000,1,2,Inter Miami,2021
22,Regular Season,2021-04-24,Atlanta Utd,1.7,1.3,Chicago Fire,20335,3,1,Atlanta Utd,2021
23,Regular Season,2021-04-24,Colorado Rapids,1.5,2.1,Austin FC,0,1,3,Austin FC,2021
25,Regular Season,2021-04-24,Portland Timbers,2.7,1.0,Houston Dynamo,0,2,1,Portland Timbers,2021
26,Regular Season,2021-04-25,LA Galaxy,2.3,1.7,NY Red Bulls,0,3,2,LA Galaxy,2021
27,Regular Season,2021-05-01,NY Red Bulls,1.1,0.4,Chicago Fire,0,2,0,NY Red Bulls,2021
28,Regular Season,2021-05-01,Real Salt Lake,1.3,0.5,Sporting KC,0,3,1,Real Salt Lake,2021
