,Round,Date,Home,xGH,xGA,Away,Attendance,GHome,GAway,Winner,Season
29,Regular Season,2021-05-01,CF Montréal,1.4,0.2,Columbus Crew,0,0,0,,2021
30,Regular Season,2021-05-01,Houston Dynamo,0.8,1.5,Los Angeles FC,7850,1,1,,2021
31,Regular Season,2021-05-01,New England,2.5,1.3,Atlanta Utd,0,2,1,New England,2021
32,Regular Season,2021-05-01,Orlando City,2.8,1.0,FC Cincinnati,0,3,0,Orlando City,2021
33,Regular Season,2021-05-01,Philadelphia,0.2,2.6,NYCFC,0,0,2,NYCFC,2021
34,Regular Season,2021-05-01,FC Dallas,2.0,0.6,Portland Timbers,8621,4,1,FC Dallas,2021
35,Regular Season,2021-05-01,Minnesota Utd,1.0,2.3,Austin FC,4100,0,1,Austin FC,2021
36,Regular Season,2021-05-01,San Jose,1.5,1.6,D.C. United,0,4,1,San Jose,2021
37,Regular Season,2021-05-02,Nashville,0.7,0.3,Inter Miami,13855,0,0,,2021
38,Regular Season,2021-05-02,Seattle,2.1,1.1,LA Galaxy,7148,3,0,Seattle,2021
39,Regular Season,2021-05-02,Vancouver,1.0,2.0,Colorado Rapids,0,0,1,Colorado Rapids,2021
40,Regular Season,2021-05-07,Real Salt Lake,0.9,1.6,San Jose,10448,1,2,San Jose,2021
41,Regular Season,2021-05-08,Chicago Fire,1.0,1.7,Philadelphia,6457,0,2,Philadelphia,2021
42,Regular Season,2021-05-08,NY Red Bulls,1.6,0.3,Toronto FC,0,2,0,NY Red Bulls,2021
43,Regular Season,2021-05-08,Nashville,1.0,0.9,New England,12510,2,0,Nashville,2021
44,Regular Season,2021-05-08,Columbus Crew,0.4,1.0,D.C. United,5180,3,1,Columbus Crew,2021
45,Regular Season,2021-05-08,Vancouver,1.6,1.4,CF Montréal,0,2,0,Vancouver,2021
46,Regular Season,2021-05-08,FC Dallas,1.4,1.5,Houston Dynamo,8749,1,1,,2021
47,Regular Season,2021-05-08,Orlando City,0.6,1.6,NYCFC,11503,1,1,,2021
48,Regular Season,2021-05-08,LA Galaxy,0.8,1.4,Los Angeles FC,7193,2,1,LA Galaxy,2021
49,Regular Season,2021-05-08,Colorado Rapids,0.9,1.1,Minnesota Utd,0,3,2,Colorado Rapids,2021
51,Regular Season,2021-05-09,Inter Miami,2.4,1.3,Atlanta Utd,8074,1,1,,2021
52,Regular Season,2021-05-09,Portland Timbers,1.7,2.3,Seattle,0,1,2,Seattle,2021
53,Regular Season,2021-05-09,Sporting KC,3.4,0.7,Austin FC,0,2,1,Sporting KC,2021
54,Regular Season,2021-05-12,Toronto FC,1.4,0.7,Columbus Crew,0,2,0,Toronto FC,2021
55,Regular Season,2021-05-12,Philadelphia,2.1,1.4,New England,5000,1,1,,2021
56,Regular Season,2021-05-12,Inter Miami,0.3,1.4,CF Montréal,8220,0,2,CF Montréal,2021
57,Regular Season,2021-05-12,Houston Dynamo,1.1,1.5,Sporting KC,7054,1,0,Houston Dynamo,2021
58,Regular Season,2021-05-12,Minnesota Utd,1.8,0.9,Vancouver,4100,1,0,Minnesota Utd,2021
59,Regular Season,2021-05-12,San Jose,1.8,1.1,Seattle,5000,0,1,Seattle,2021
60,Regular Season,2021-05-13,D.C. United,1.2,1.8,Chicago Fire,3935,1,0,D.C. United,2021
61,Regular Season,2021-05-15,NYCFC,1.8,0.4,Toronto FC,0,1,1,,2021
62,Regular Season,2021-05-15,LA Galaxy,2.6,1.2,Austin FC,7193,2,0,LA Galaxy,2021
63,Regular Season,2021-05-15,Atlanta Utd,0.9,0.7,CF Montréal,40116,1,0,Atlanta Utd,2021
64,Regular Season,2021-05-15,Philadelphia,1.5,1.2,NY Red Bulls,5000,1,0,Philadelphia,2021
65,Regular Season,2021-05-15,Minnesota Utd,1.8,0.9,FC Dallas,4100,1,0,Minnesota Utd,2021
66,Regular Season,2021-05-15,Colorado Rapids,1.7,0.3,Houston Dynamo,0,3,1,Colorado Rapids,2021
67,Regular Season,2021-05-15,Real Salt Lake,0.6,0.7,Nashville,10555,0,0,,2021
68,Regular Season,2021-05-15,San Jose,3.0,2.5,Portland Timbers,0,0,2,Portland Timbers,2021
69,Regular Season,2021-05-16,Sporting KC,2.9,1.1,Vancouver,0,3,0,Sporting KC,2021
70,Regular Season,2021-05-16,FC Cincinnati,1.1,1.9,Inter Miami,6000,2,3,Inter Miami,2021
71,Regular Season,2021-05-16,New England,1.5,0.4,Columbus Crew,0,1,0,New England,2021
72,Regular Season,2021-05-16,D.C. United,1.0,0.4,Orlando City,5280,0,1,Orlando City,2021
73,Regular Season,2021-05-16,Seattle,1.3,0.5,Los Angeles FC,7173,2,0,Seattle,2021
74,Regular Season,2021-05-22,CF Montréal,2.9,1.4,FC Cincinnati,0,1,2,FC Cincinnati,2021
75,Regular Season,2021-05-22,Portland Timbers,3.3,1.2,LA Galaxy,0,3,0,Portland Timbers,2021
77,Regular Season,2021-05-22,Chicago Fire,1.8,0.4,Inter Miami,10844,1,0,Chicago Fire,2021
78,Regular Season,2021-05-22,Orlando City,2.0,1.6,Toronto FC,11525,1,0,Orlando City,2021
79,Regular Season,2021-05-22,NYCFC,1.3,0.6,Columbus Crew,3154,1,2,Columbus Crew,2021
80,Regular Season,2021-05-22,FC Dallas,2.7,1.1,Real Salt Lake,8621,2,2,,2021
81,Regular Season,2021-05-22,New England,3.8,1.2,NY Red Bulls,0,3,1,New England,2021
82,Regular Season,2021-05-22,Houston Dynamo,1.1,1.1,Vancouver,9255,2,1,Houston Dynamo,2021
83,Regular Season,2021-05-22,San Jose,1.9,2.0,Sporting KC,0,1,3,Sporting KC,2021
84,Regular Season,2021-05-22,Los Angeles FC,1.4,1.7,Colorado Rapids,10483,2,1,Los Angeles FC,2021
85,Regular Season,2021-05-23,Seattle,0.3,1.1,Atlanta Utd,11011,1,1,,2021
86,Regular Season,2021-05-23,D.C. United,1.4,1.0,Philadelphia,6200,0,1,Philadelphia,2021
87,Regular Season,2021-05-23,Nashville,2.4,0.6,Austin FC,22421,1,0,Nashville,2021
88,Regular Season,2021-05-29,Chicago Fire,2.0,0.6,CF Montréal,6680,0,1,CF Montréal,2021
89,Regular Season,2021-05-29,NY Red Bulls,1.8,1.1,Orlando City,0,2,1,NY Red Bulls,2021
90,Regular Season,2021-05-29,Columbus Crew,1.1,1.1,Toronto FC,5700,2,1,Columbus Crew,2021
91,Regular Season,2021-05-29,FC Cincinnati,0.7,1.7,New England,11000,0,1,New England,2021
92,Regular Season,2021-05-29,Atlanta Utd,1.1,1.8,Nashville,40748,2,2,,2021
93,Regular Season,2021-05-29,Los Angeles FC,2.2,0.7,NYCFC,10703,1,2,NYCFC,2021
94,Regular Season,2021-05-29,LA Galaxy,1.7,2.6,San Jose,0,1,0,LA Galaxy,2021
95,Regular Season,2021-05-29,Inter Miami,0.7,1.6,D.C. United,0,0,3,D.C. United,2021
96,Regular Season,2021-05-29,Sporting KC,2.3,1.6,Houston Dynamo,20086,3,2,Sporting KC,2021
97,Regular Season,2021-05-29,Colorado Rapids,1.9,1.4,FC Dallas,0,3,0,Colorado Rapids,2021
98,Regular Season,2021-05-29,Real Salt Lake,0.8,0.9,Minnesota Utd,10853,1,1,,2021
99,Regular Season,2021-05-30,Philadelphia,2.7,1.2,Portland Timbers,6635,3,0,Philadelphia,2021
100,Regular Season,2021-05-30,Seattle,0.8,0.7,Austin FC,12895,0,0,,2021
101,Regular Season,2021-06-12,Sporting KC,3.1,1.7,Austin FC,18519,1,1,,2021
103,Regular Season,2021-06-18,NY Red Bulls,0.9,0.6,Nashville,10173,2,0,NY Red Bulls,2021
104,Regular Season,2021-06-18,Real Salt Lake,1.2,1.1,Vancouver,15109,3,1,Real Salt Lake,2021
105,Regular Season,2021-06-19,Columbus Crew,2.3,1.0,Chicago Fire,20064,2,0,Columbus Crew,2021
106,Regular Season,2021-06-19,Toronto FC,2.1,1.5,Orlando City,0,2,3,Orlando City,2021
107,Regular Season,2021-06-19,NYCFC,3.1,1.8,New England,4929,2,3,New England,2021
108,Regular Season,2021-06-19,FC Cincinnati,1.7,0.7,Colorado Rapids,25054,0,2,Colorado Rapids,2021
109,Regular Season,2021-06-19,D.C. United,2.8,0.7,Inter Miami,16,1,0,D.C. United,2021
110,Regular Season,2021-06-19,FC Dallas,0.8,2.7,Minnesota Utd,16455,1,1,,2021
111,Regular Season,2021-06-19,LA Galaxy,1.2,1.8,Seattle,23165,1,2,Seattle,2021
112,Regular Season,2021-06-19,Austin FC,1.5,0.7,San Jose,0,0,0,,2021
113,Regular Season,2021-06-19,Portland Timbers,1.4,1.7,Sporting KC,0,2,1,Portland Timbers,2021
114,Regular Season,2021-06-19,Los Angeles FC,2.0,0.2,Houston Dynamo,22043,1,1,,2021
115,Regular Season,2021-06-20,Atlanta Utd,0.9,2.1,Philadelphia,42523,2,2,,2021
116,Regular Season,2021-06-22,Orlando City,3.1,0.7,San Jose,15476,5,0,Orlando City,2021
117,Regular Season,2021-06-23,New England,1.5,1.1,NY Red Bulls,0,3,2,New England,2021
118,Regular Season,2021-06-23,Philadelphia,0.4,0.6,Columbus Crew,16234,1,0,Philadelphia,2021
119,Regular Season,2021-06-23,NYCFC,2.4,0.4,Atlanta Utd,3564,1,0,NYCFC,2021
120,Regular Season,2021-06-23,Minnesota Utd,1.2,0.8,Austin FC,19209,2,0,Minnesota Utd,2021
121,Regular Season,2021-06-23,Chicago Fire,1.3,2.3,FC Cincinnati,5926,0,1,FC Cincinnati,2021
122,Regular Season,2021-06-23,CF Montréal,0.2,2.8,D.C. United,0,0,0,,2021
123,Regular Season,2021-06-23,Houston Dynamo,1.3,1.3,Portland Timbers,10791,2,2,,2021
124,Regular Season,2021-06-23,Sporting KC,2.2,1.3,Colorado Rapids,18690,3,1,Sporting KC,2021
125,Regular Season,2021-06-23,Nashville,2.7,1.2,Toronto FC,17008,3,2,Nashville,2021
126,Regular Season,2021-06-23,Seattle,2.3,1.1,Real Salt Lake,24652,2,1,Seattle,2021
127,Regular Season,2021-06-23,Los Angeles FC,2.8,0.6,FC Dallas,22510,2,0,Los Angeles FC,2021
129,Regular Season,2021-06-23,Vancouver,0.8,1.1,LA Galaxy,0,1,2,LA Galaxy,2021
130,Regular Season,2021-06-25,Inter Miami,0.7,0.6,Orlando City,17926,1,2,Orlando City,2021
131,Regular Season,2021-06-26,Sporting KC,1.5,0.9,Los Angeles FC,20213,2,1,Sporting KC,2021
132,Regular Season,2021-06-26,Toronto FC,0.5,1.3,FC Cincinnati,0,0,2,FC Cincinnati,2021
133,Regular Season,2021-06-26,Real Salt Lake,1.8,0.9,Houston Dynamo,13588,1,1,,2021
134,Regular Season,2021-06-26,Chicago Fire,1.1,1.1,Philadelphia,7308,3,3,,2021
135,Regular Season,2021-06-26,Nashville,2.1,0.8,CF Montréal,22523,1,1,,2021
136,Regular Season,2021-06-26,Seattle,2.4,1.5,Vancouver,25603,2,2,,2021
137,Regular Season,2021-06-26,San Jose,1.1,2.3,LA Galaxy,18000,1,3,LA Galaxy,2021
138,Regular Season,2021-06-26,Portland Timbers,1.2,2.5,Minnesota Utd,0,0,1,Minnesota Utd,2021
139,Regular Season,2021-06-27,Atlanta Utd,1.1,0.4,NY Red Bulls,42575,0,0,,2021
140,Regular Season,2021-06-27,NYCFC,1.7,1.5,D.C. United,4533,2,1,NYCFC,2021
141,Regular Season,2021-06-27,Austin FC,1.0,0.9,Columbus Crew,20738,0,0,,2021
142,Regular Season,2021-06-27,FC Dallas,1.3,1.3,New England,14889,2,1,FC Dallas,2021
143,Regular Season,2021-07-01,Austin FC,1.4,0.6,Portland Timbers,20738,4,1,Austin FC,2021
144,Regular Season,2021-07-03,Columbus Crew,1.3,1.3,New England,20407,2,2,,2021
145,Regular Season,2021-07-03,D.C. United,2.8,1.3,Toronto FC,14000,7,1,D.C. United,2021
146,Regular Season,2021-07-03,CF Montréal,1.8,0.3,Inter Miami,0,1,0,CF Montréal,2021
147,Regular Season,2021-07-03,Orlando City,1.8,2.0,NY Red Bulls,19009,1,2,NY Red Bulls,2021
148,Regular Season,2021-07-03,Chicago Fire,1.4,1.1,Atlanta Utd,14898,3,0,Chicago Fire,2021
149,Regular Season,2021-07-03,Minnesota Utd,2.8,1.0,San Jose,19687,2,2,,2021
150,Regular Season,2021-07-03,Nashville,1.3,0.9,Philadelphia,21822,1,0,Nashville,2021
151,Regular Season,2021-07-03,Houston Dynamo,1.7,1.5,FC Cincinnati,20021,1,1,,2021
152,Regular Season,2021-07-03,Real Salt Lake,1.1,0.5,Los Angeles FC,18253,0,1,Los Angeles FC,2021
153,Regular Season,2021-07-04,FC Dallas,1.6,1.0,Vancouver,19096,2,2,,2021
155,Regular Season,2021-07-04,Colorado Rapids,0.9,0.7,Seattle,17104,1,1,,2021
156,Regular Season,2021-07-04,LA Galaxy,1.4,1.9,Sporting KC,23556,0,2,Sporting KC,2021
157,Regular Season,2021-07-07,New England,2.4,1.3,Toronto FC,0,2,3,Toronto FC,2021
158,Regular Season,2021-07-07,CF Montréal,2.5,1.0,NYCFC,0,2,1,CF Montréal,2021
159,Regular Season,2021-07-07,Chicago Fire,1.7,2.3,Orlando City,8002,3,1,Chicago Fire,2021
160,Regular Season,2021-07-07,Seattle,1.9,0.7,Houston Dynamo,27421,2,0,Seattle,2021
161,Regular Season,2021-07-07,Colorado Rapids,1.9,0.6,Minnesota Utd,0,2,0,Colorado Rapids,2021
162,Regular Season,2021-07-07,Austin FC,0.8,1.8,Los Angeles FC,20738,0,2,Los Angeles FC,2021
163,Regular Season,2021-07-07,Vancouver,1.0,3.3,Real Salt Lake,12009,0,4,Real Salt Lake,2021
164,Regular Season,2021-07-07,LA Galaxy,1.3,1.5,FC Dallas,16453,3,1,LA Galaxy,2021
165,Regular Season,2021-07-08,NY Red Bulls,2.0,1.0,Philadelphia,10013,1,1,,2021
166,Regular Season,2021-07-08,Nashville,2.0,0.3,Atlanta Utd,22913,2,2,,2021
167,Regular Season,2021-07-09,FC Cincinnati,1.0,0.8,Columbus Crew,25701,2,2,,2021
168,Regular Season,2021-07-17,Atlanta Utd,0.6,1.5,New England,42517,0,1,New England,2021
169,Regular Season,2021-07-17,Philadelphia,1.6,1.4,D.C. United,16821,2,1,Philadelphia,2021
170,Regular Season,2021-07-17,Columbus Crew,0.7,1.3,NYCFC,19113,2,1,Columbus Crew,2021
171,Regular Season,2021-07-17,CF Montréal,3.2,1.4,FC Cincinnati,0,5,4,CF Montréal,2021
172,Regular Season,2021-07-17,Toronto FC,0.5,1.2,Orlando City,7000,1,1,,2021
173,Regular Season,2021-07-17,Nashville,2.5,1.9,Chicago Fire,23113,5,1,Nashville,2021
174,Regular Season,2021-07-17,Colorado Rapids,0.8,0.5,San Jose,14664,1,1,,2021
175,Regular Season,2021-07-17,Vancouver,1.4,0.7,LA Galaxy,0,2,1,Vancouver,2021
176,Regular Season,2021-07-17,Los Angeles FC,3.9,0.6,Real Salt Lake,22490,2,1,Los Angeles FC,2021
177,Regular Season,2021-07-17,Portland Timbers,1.0,1.1,FC Dallas,23255,1,0,Portland Timbers,2021
178,Regular Season,2021-07-18,Minnesota Utd,1.8,0.6,Seattle,19679,1,0,Minnesota Utd,2021
179,Regular Season,2021-07-20,Vancouver,0.7,0.4,Houston Dynamo,0,0,0,,2021
181,Regular Season,2021-07-21,Inter Miami,0.8,2.5,New England,13963,0,5,New England,2021
182,Regular Season,2021-07-21,NYCFC,1.8,0.5,CF Montréal,2873,1,0,NYCFC,2021
183,Regular Season,2021-07-21,Toronto FC,0.3,1.7,NY Red Bulls,0,1,1,,2021
184,Regular Season,2021-07-21,Columbus Crew,1.1,0.4,Nashville,18395,0,0,,2021
185,Regular Season,2021-07-21,Chicago Fire,0.8,2.2,D.C. United,8306,2,2,,2021
186,Regular Season,2021-07-21,FC Cincinnati,1.1,1.6,Atlanta Utd,23162,1,1,,2021
187,Regular Season,2021-07-21,Sporting KC,2.0,1.4,San Jose,17872,1,1,,2021
188,Regular Season,2021-07-21,Colorado Rapids,1.0,0.8,FC Dallas,8321,2,0,Colorado Rapids,2021
189,Regular Season,2021-07-21,Real Salt Lake,0.9,0.9,LA Galaxy,16169,2,2,,2021
190,Regular Season,2021-07-21,Portland Timbers,0.4,1.8,Los Angeles FC,23500,2,1,Portland Timbers,2021
191,Regular Season,2021-07-22,Orlando City,0.9,1.3,Philadelphia,15432,2,1,Orlando City,2021
192,Regular Season,2021-07-22,Austin FC,0.9,0.7,Seattle,20738,0,1,Seattle,2021
193,Regular Season,2021-07-24,Atlanta Utd,1.8,1.2,Columbus Crew,67507,0,1,Columbus Crew,2021
194,Regular Season,2021-07-24,Chicago Fire,3.7,0.9,Toronto FC,12288,1,2,Toronto FC,2021
195,Regular Season,2021-07-24,Minnesota Utd,2.1,0.5,Portland Timbers,19691,2,1,Minnesota Utd,2021
196,Regular Season,2021-07-24,Nashville,1.4,0.4,FC Cincinnati,23832,3,0,Nashville,2021
197,Regular Season,2021-07-24,FC Dallas,1.4,1.0,LA Galaxy,14812,4,0,FC Dallas,2021
198,Regular Season,2021-07-24,San Jose,0.8,0.5,Houston Dynamo,12793,1,1,,2021
199,Regular Season,2021-07-24,Real Salt Lake,0.8,0.3,Colorado Rapids,17325,3,0,Real Salt Lake,2021
200,Regular Season,2021-07-24,Los Angeles FC,1.0,1.3,Vancouver,22049,2,2,,2021
201,Regular Season,2021-07-25,NYCFC,3.9,0.5,Orlando City,13503,5,0,NYCFC,2021
202,Regular Season,2021-07-25,New England,1.1,1.5,CF Montréal,18217,2,1,New England,2021
203,Regular Season,2021-07-25,Inter Miami,1.0,1.5,Philadelphia,14057,1,1,,2021
204,Regular Season,2021-07-25,D.C. United,1.3,0.2,NY Red Bulls,15912,1,0,D.C. United,2021
205,Regular Season,2021-07-25,Seattle,0.8,1.4,Sporting KC,32790,1,3,Sporting KC,2021
207,Regular Season,2021-07-28,Los Angeles FC,1.8,1.0,Minnesota Utd,22003,2,2,,2021
208,Regular Season,2021-07-30,NYCFC,3.8,1.6,Columbus Crew,0,4,1,NYCFC,2021
209,Regular Season,2021-07-30,Orlando City,2.5,0.6,Atlanta Utd,18910,3,2,Orlando City,2021
210,Regular Season,2021-07-30,LA Galaxy,2.4,1.5,Portland Timbers,15644,4,1,LA Galaxy,2021
211,Regular Season,2021-07-31,Seattle,1.2,0.5,San Jose,32704,0,1,San Jose,2021
212,Regular Season,2021-07-31,NY Red Bulls,1.0,2.5,New England,13444,2,3,New England,2021
213,Regular Season,2021-07-31,FC Cincinnati,1.2,0.3,D.C. United,25060,0,0,,2021
214,Regular Season,2021-07-31,Inter Miami,1.8,1.7,CF Montréal,14303,2,1,Inter Miami,2021
215,Regular Season,2021-07-31,Sporting KC,1.3,0.9,FC Dallas,19975,1,2,FC Dallas,2021
216,Regular Season,2021-07-31,Houston Dynamo,1.1,1.3,Real Salt Lake,13462,0,0,,2021
217,Regular Season,2021-07-31,Austin FC,0.6,1.7,Colorado Rapids,20738,0,1,Colorado Rapids,2021
218,Regular Season,2021-07-31,Vancouver,1.6,1.2,Minnesota Utd,0,2,2,,2021
219,Regular Season,2021-08-01,Philadelphia,2.0,0.2,Chicago Fire,16677,1,1,,2021
220,Regular Season,2021-08-01,Toronto FC,0.6,1.0,Nashville,0,1,1,,2021
221,Regular Season,2021-08-04,New England,0.5,0.5,Nashville,10279,0,0,,2021
222,Regular Season,2021-08-04,Columbus Crew,1.3,1.7,D.C. United,18398,2,4,D.C. United,2021
223,Regular Season,2021-08-04,Philadelphia,2.4,1.4,Toronto FC,14303,3,0,Philadelphia,2021
224,Regular Season,2021-08-04,CF Montréal,1.1,1.9,Atlanta Utd,11000,2,2,,2021
225,Regular Season,2021-08-04,Chicago Fire,0.3,1.2,NYCFC,8371,0,0,,2021
226,Regular Season,2021-08-04,Orlando City,0.8,0.3,Inter Miami,17966,1,1,,2021
227,Regular Season,2021-08-04,NY Red Bulls,2.1,0.3,FC Cincinnati,9203,0,0,,2021
228,Regular Season,2021-08-04,Austin FC,1.6,1.1,Houston Dynamo,20738,3,2,Austin FC,2021
229,Regular Season,2021-08-04,Seattle,2.0,0.9,FC Dallas,31628,1,1,,2021
230,Regular Season,2021-08-04,Los Angeles FC,2.3,1.4,Sporting KC,22114,1,4,Sporting KC,2021
231,Regular Season,2021-08-04,Portland Timbers,1.7,2.2,San Jose,22233,1,1,,2021
233,Regular Season,2021-08-04,LA Galaxy,1.4,1.0,Real Salt Lake,15544,1,0,LA Galaxy,2021
234,Regular Season,2021-08-07,FC Cincinnati,1.1,0.9,Orlando City,24113,1,1,,2021
235,Regular Season,2021-08-07,Columbus Crew,1.7,2.5,Atlanta Utd,20094,2,3,Atlanta Utd,2021
236,Regular Season,2021-08-07,Minnesota Utd,1.0,0.6,Houston Dynamo,19625,2,0,Minnesota Utd,2021
237,Regular Season,2021-08-07,Toronto FC,2.3,1.2,NYCFC,9331,2,2,,2021
238,Regular Season,2021-08-07,FC Dallas,0.8,1.2,Austin FC,16625,2,0,FC Dallas,2021
239,Regular Season,2021-08-07,Colorado Rapids,1.8,0.5,Sporting KC,11753,0,0,,2021
240,Regular Season,2021-08-07,Portland Timbers,2.0,2.4,Real Salt Lake,23577,3,2,Portland Timbers,2021
241,Regular Season,2021-08-08,Chicago Fire,0.7,1.4,NY Red Bulls,11894,2,1,Chicago Fire,2021
242,Regular Season,2021-08-08,New England,2.7,1.3,Philadelphia,17054,2,1,New England,2021
243,Regular Season,2021-08-08,Inter Miami,0.9,0.5,Nashville,14062,2,1,Inter Miami,2021
244,Regular Season,2021-08-08,San Jose,1.6,1.5,Los Angeles FC,18000,2,1,San Jose,2021
245,Regular Season,2021-08-08,LA Galaxy,1.7,1.1,Vancouver,16234,1,1,,2021
246,Regular Season,2021-08-08,D.C. United,1.6,0.9,CF Montréal,14169,2,1,D.C. United,2021
247,Regular Season,2021-08-13,San Jose,0.8,0.6,Vancouver,11967,0,0,,2021
248,Regular Season,2021-08-14,Minnesota Utd,1.6,1.5,LA Galaxy,19787,0,1,LA Galaxy,2021
249,Regular Season,2021-08-14,CF Montréal,2.8,1.9,NY Red Bulls,0,2,1,CF Montréal,2021
250,Regular Season,2021-08-14,Toronto FC,1.3,1.1,New England,0,1,2,New England,2021
251,Regular Season,2021-08-14,NYCFC,2.5,0.2,Inter Miami,0,2,0,NYCFC,2021
252,Regular Season,2021-08-14,FC Dallas,2.2,0.6,Sporting KC,14133,0,2,Sporting KC,2021
253,Regular Season,2021-08-14,Houston Dynamo,2.5,2.0,Colorado Rapids,13908,1,3,Colorado Rapids,2021
254,Regular Season,2021-08-14,Real Salt Lake,1.2,0.8,Austin FC,17506,1,0,Real Salt Lake,2021
255,Regular Season,2021-08-15,Atlanta Utd,0.8,0.9,Los Angeles FC,67503,1,0,Atlanta Utd,2021
256,Regular Season,2021-08-15,Chicago Fire,0.9,0.7,Columbus Crew,13005,1,0,Chicago Fire,2021
257,Regular Season,2021-08-15,Nashville,2.1,1.0,D.C. United,20022,5,2,Nashville,2021
259,Regular Season,2021-08-15,Portland Timbers,1.6,2.4,Seattle,25218,2,6,Seattle,2021
260,Regular Season,2021-08-17,LA Galaxy,1.3,2.2,Colorado Rapids,15101,1,2,Colorado Rapids,2021
261,Regular Season,2021-08-17,San Jose,0.2,1.3,Minnesota Utd,10353,1,1,,2021
262,Regular Season,2021-08-18,New England,2.0,1.7,D.C. United,11419,3,2,New England,2021
263,Regular Season,2021-08-18,Atlanta Utd,1.5,1.2,Toronto FC,42502,1,0,Atlanta Utd,2021
264,Regular Season,2021-08-18,Inter Miami,1.4,1.1,Chicago Fire,13196,3,2,Inter Miami,2021
265,Regular Season,2021-08-18,FC Cincinnati,1.0,0.3,CF Montréal,21115,0,0,,2021
266,Regular Season,2021-08-18,Philadelphia,0.5,0.9,NYCFC,15263,1,0,Philadelphia,2021
267,Regular Season,2021-08-18,NY Red Bulls,0.9,1.5,Columbus Crew,10002,1,0,NY Red Bulls,2021
268,Regular Season,2021-08-18,FC Dallas,0.9,0.4,Seattle,11535,0,1,Seattle,2021
269,Regular Season,2021-08-18,Nashville,0.7,0.7,Orlando City,13154,1,1,,2021
270,Regular Season,2021-08-18,Sporting KC,1.4,1.0,Portland Timbers,17081,1,1,,2021
271,Regular Season,2021-08-18,Austin FC,1.0,2.5,Vancouver,20738,1,2,Vancouver,2021
272,Regular Season,2021-08-18,Real Salt Lake,0.8,1.6,Houston Dynamo,13570,2,1,Real Salt Lake,2021
273,Regular Season,2021-08-20,LA Galaxy,1.2,2.0,San Jose,17568,1,2,San Jose,2021
274,Regular Season,2021-08-21,Minnesota Utd,2.7,1.0,Sporting KC,0,0,0,,2021
275,Regular Season,2021-08-21,Columbus Crew,1.0,1.8,Seattle,19401,1,2,Seattle,2021
