,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,1997-03-22,San Jose,MetroStars,CEFCU Stadium,23501,0,0,San Jose,1997
1,Regular Season,1997-03-29,KC Wizards,San Jose,Arrowhead Stadium,10198,2,2,KC Wizards,1997
2,Regular Season,1997-03-29,LA Galaxy,D.C. United,Rose Bowl,53147,0,0,D.C. United,1997
3,Regular Season,1997-03-29,Columbus Crew,Colorado Rapids,Ohio Stadium,14485,1,1,Columbus Crew,1997
4,Regular Season,1997-03-29,Tampa Bay,MetroStars,Houlihan's Stadium,15239,2,1,Tampa Bay,1997
5,Regular Season,1997-03-29,Dallas Burn,New England,Cotton Bowl,11063,0,1,New England,1997
6,Regular Season,1997-04-05,Dallas Burn,San Jose,Cotton Bowl,6195,2,1,Dallas Burn,1997
7,Regular Season,1997-04-05,D.C. United,MetroStars,Robert F. Kennedy Memorial Stadium,28749,2,1,D.C. United,1997
8,Regular Season,1997-04-05,KC Wizards,LA Galaxy,Arrowhead Stadium,8406,3,2,KC Wizards,1997
9,Regular Season,1997-04-05,Colorado Rapids,Columbus Crew,Mile High Stadium,15325,2,0,Colorado Rapids,1997
10,Regular Season,1997-04-06,Tampa Bay,New England,Houlihan's Stadium,10143,4,0,Tampa Bay,1997
11,Regular Season,1997-04-12,San Jose,LA Galaxy,CEFCU Stadium,17628,4,1,San Jose,1997
12,Regular Season,1997-04-12,MetroStars,New England,Giants Stadium,20328,3,1,MetroStars,1997
13,Regular Season,1997-04-12,Tampa Bay,KC Wizards,Houlihan's Stadium,9512,2,1,Tampa Bay,1997
14,Regular Season,1997-04-12,Colorado Rapids,D.C. United,Mile High Stadium,4434,2,5,D.C. United,1997
15,Regular Season,1997-04-13,Columbus Crew,Dallas Burn,Ohio Stadium,10662,2,1,Columbus Crew,1997
16,Regular Season,1997-04-18,LA Galaxy,Colorado Rapids,Rose Bowl,10205,2,1,LA Galaxy,1997
17,Regular Season,1997-04-18,KC Wizards,Dallas Burn,Arrowhead Stadium,6272,2,1,KC Wizards,1997
18,Regular Season,1997-04-19,MetroStars,D.C. United,Giants Stadium,26322,1,2,D.C. United,1997
19,Regular Season,1997-04-19,Columbus Crew,San Jose,Ohio Stadium,18358,1,1,Columbus Crew,1997
20,Regular Season,1997-04-20,New England,Tampa Bay,Foxboro Stadium,57407,2,1,New England,1997
21,Regular Season,1997-04-20,Dallas Burn,Colorado Rapids,Cotton Bowl,5911,4,1,Dallas Burn,1997
22,Regular Season,1997-04-23,Colorado Rapids,Dallas Burn,Mile High Stadium,4120,1,0,Colorado Rapids,1997
23,Regular Season,1997-04-26,New England,Colorado Rapids,Foxboro Stadium,12219,1,1,New England,1997
25,Regular Season,1997-04-26,D.C. United,San Jose,Robert F. Kennedy Memorial Stadium,24775,2,2,San Jose,1997
26,Regular Season,1997-04-26,LA Galaxy,Dallas Burn,Rose Bowl,15247,1,1,Dallas Burn,1997
27,Regular Season,1997-04-26,MetroStars,Columbus Crew,Giants Stadium,18107,2,1,MetroStars,1997
28,Regular Season,1997-04-27,KC Wizards,Tampa Bay,Arrowhead Stadium,9154,2,2,Tampa Bay,1997
29,Regular Season,1997-05-02,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,21424,2,0,D.C. United,1997
30,Regular Season,1997-05-03,San Jose,Columbus Crew,CEFCU Stadium,14295,1,3,Columbus Crew,1997
31,Regular Season,1997-05-03,Colorado Rapids,Tampa Bay,Mile High Stadium,10714,2,0,Colorado Rapids,1997
32,Regular Season,1997-05-03,New England,KC Wizards,Foxboro Stadium,15075,2,1,New England,1997
33,Regular Season,1997-05-04,Dallas Burn,D.C. United,Cotton Bowl,12166,2,2,Dallas Burn,1997
34,Regular Season,1997-05-04,MetroStars,LA Galaxy,Giants Stadium,20624,0,0,MetroStars,1997
35,Regular Season,1997-05-09,MetroStars,San Jose,Giants Stadium,14724,0,1,San Jose,1997
36,Regular Season,1997-05-09,New England,Columbus Crew,Foxboro Stadium,13168,0,2,Columbus Crew,1997
37,Regular Season,1997-05-10,Tampa Bay,Colorado Rapids,Houlihan's Stadium,13490,2,1,Tampa Bay,1997
38,Regular Season,1997-05-10,D.C. United,Dallas Burn,Robert F. Kennedy Memorial Stadium,15493,2,2,Dallas Burn,1997
39,Regular Season,1997-05-10,KC Wizards,LA Galaxy,Arrowhead Stadium,11152,1,0,KC Wizards,1997
40,Regular Season,1997-05-11,Columbus Crew,MetroStars,Ohio Stadium,14701,3,0,Columbus Crew,1997
41,Regular Season,1997-05-16,San Jose,New England,CEFCU Stadium,10532,1,1,New England,1997
42,Regular Season,1997-05-17,Colorado Rapids,Columbus Crew,Mile High Stadium,10054,1,1,Colorado Rapids,1997
43,Regular Season,1997-05-17,Dallas Burn,Tampa Bay,Cotton Bowl,15238,2,0,Dallas Burn,1997
44,Regular Season,1997-05-18,MetroStars,KC Wizards,Giants Stadium,12524,1,0,MetroStars,1997
45,Regular Season,1997-05-18,LA Galaxy,San Jose,Rose Bowl,10338,1,1,LA Galaxy,1997
46,Regular Season,1997-05-18,New England,D.C. United,Foxboro Stadium,15109,0,0,D.C. United,1997
47,Regular Season,1997-05-22,D.C. United,San Jose,Robert F. Kennedy Memorial Stadium,12214,3,1,D.C. United,1997
48,Regular Season,1997-05-22,KC Wizards,Columbus Crew,Arrowhead Stadium,8151,3,1,KC Wizards,1997
49,Regular Season,1997-05-23,Tampa Bay,Dallas Burn,Houlihan's Stadium,10112,1,3,Dallas Burn,1997
51,Regular Season,1997-05-24,Colorado Rapids,New England,Mile High Stadium,9452,1,2,New England,1997
52,Regular Season,1997-05-25,LA Galaxy,Columbus Crew,Rose Bowl,13186,1,0,LA Galaxy,1997
53,Regular Season,1997-05-25,MetroStars,Tampa Bay,Giants Stadium,15610,3,2,MetroStars,1997
54,Regular Season,1997-05-29,Columbus Crew,D.C. United,Ohio Stadium,12299,2,3,D.C. United,1997
55,Regular Season,1997-05-30,LA Galaxy,KC Wizards,Rose Bowl,17246,1,3,KC Wizards,1997
56,Regular Season,1997-05-30,New England,MetroStars,Foxboro Stadium,15849,3,1,New England,1997
