,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2002-03-23,Columbus Crew,Chicago Fire,MAPFRE Stadium,0,0,2,Chicago Fire,2002
1,Regular Season,2002-03-23,KC Wizards,Colorado Rapids,Arrowhead Stadium,0,1,1,,2002
2,Regular Season,2002-03-23,Dallas Burn,San Jose,Cotton Bowl,0,0,2,San Jose,2002
3,Regular Season,2002-03-23,MetroStars,New England,Giants Stadium,0,3,1,MetroStars,2002
4,Regular Season,2002-03-23,LA Galaxy,D.C. United,Rose Bowl,0,2,1,LA Galaxy,2002
5,Regular Season,2002-03-27,MetroStars,Columbus Crew,Giants Stadium,0,0,1,Columbus Crew,2002
6,Regular Season,2002-03-30,Colorado Rapids,San Jose,Empower Field at Mile High,0,1,0,Colorado Rapids,2002
7,Regular Season,2002-03-30,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,0,2,0,D.C. United,2002
8,Regular Season,2002-04-03,Colorado Rapids,D.C. United,Empower Field at Mile High,0,2,0,Colorado Rapids,2002
9,Regular Season,2002-04-06,Dallas Burn,D.C. United,Cotton Bowl,0,2,1,Dallas Burn,2002
10,Regular Season,2002-04-06,Columbus Crew,MetroStars,MAPFRE Stadium,0,1,2,MetroStars,2002
11,Regular Season,2002-04-06,San Jose,New England,CEFCU Stadium,0,2,1,San Jose,2002
12,Regular Season,2002-04-06,LA Galaxy,Chicago Fire,Rose Bowl,0,2,1,LA Galaxy,2002
13,Regular Season,2002-04-13,Colorado Rapids,MetroStars,Empower Field at Mile High,0,1,2,MetroStars,2002
14,Regular Season,2002-04-13,KC Wizards,San Jose,Arrowhead Stadium,0,2,0,KC Wizards,2002
15,Regular Season,2002-04-13,LA Galaxy,Dallas Burn,Rose Bowl,0,1,1,,2002
16,Regular Season,2002-04-20,D.C. United,KC Wizards,Robert F. Kennedy Memorial Stadium,0,2,1,D.C. United,2002
17,Regular Season,2002-04-20,MetroStars,Chicago Fire,Giants Stadium,0,0,2,Chicago Fire,2002
18,Regular Season,2002-04-20,San Jose,Colorado Rapids,CEFCU Stadium,0,2,0,San Jose,2002
19,Regular Season,2002-04-20,Dallas Burn,LA Galaxy,Cotton Bowl,0,1,1,,2002
20,Regular Season,2002-04-20,Columbus Crew,New England,MAPFRE Stadium,0,0,2,New England,2002
21,Regular Season,2002-04-27,Columbus Crew,D.C. United,MAPFRE Stadium,0,1,0,Columbus Crew,2002
22,Regular Season,2002-04-27,Dallas Burn,KC Wizards,Cotton Bowl,0,1,1,,2002
23,Regular Season,2002-04-27,MetroStars,San Jose,Giants Stadium,0,1,1,,2002
25,Regular Season,2002-04-27,LA Galaxy,Colorado Rapids,Rose Bowl,0,0,1,Colorado Rapids,2002
26,Regular Season,2002-04-27,Chicago Fire,New England,Benedetti-Wehrli Stadium,0,2,2,,2002
27,Regular Season,2002-05-04,MetroStars,Dallas Burn,Giants Stadium,0,1,2,Dallas Burn,2002
28,Regular Season,2002-05-04,KC Wizards,LA Galaxy,Arrowhead Stadium,0,1,2,LA Galaxy,2002
29,Regular Season,2002-05-04,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,0,0,3,Chicago Fire,2002
30,Regular Season,2002-05-04,San Jose,Columbus Crew,CEFCU Stadium,0,3,2,San Jose,2002
31,Regular Season,2002-05-11,San Jose,MetroStars,CEFCU Stadium,0,2,1,San Jose,2002
32,Regular Season,2002-05-11,Colorado Rapids,KC Wizards,Empower Field at Mile High,0,2,0,Colorado Rapids,2002
33,Regular Season,2002-05-11,Chicago Fire,LA Galaxy,Benedetti-Wehrli Stadium,0,0,1,LA Galaxy,2002
34,Regular Season,2002-05-11,New England,Dallas Burn,Gillette Stadium,0,2,0,New England,2002
35,Regular Season,2002-05-12,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,0,1,1,,2002
36,Regular Season,2002-05-18,Dallas Burn,Colorado Rapids,Cotton Bowl,0,3,1,Dallas Burn,2002
37,Regular Season,2002-05-18,Columbus Crew,San Jose,MAPFRE Stadium,0,2,0,Columbus Crew,2002
38,Regular Season,2002-05-18,D.C. United,MetroStars,Robert F. Kennedy Memorial Stadium,0,4,2,D.C. United,2002
39,Regular Season,2002-05-18,KC Wizards,LA Galaxy,Arrowhead Stadium,0,2,1,KC Wizards,2002
40,Regular Season,2002-05-19,New England,Chicago Fire,Gillette Stadium,0,1,3,Chicago Fire,2002
41,Regular Season,2002-05-22,Colorado Rapids,New England,Empower Field at Mile High,0,5,2,Colorado Rapids,2002
42,Regular Season,2002-05-25,Columbus Crew,Dallas Burn,MAPFRE Stadium,0,1,1,,2002
43,Regular Season,2002-05-25,MetroStars,KC Wizards,Giants Stadium,0,1,1,,2002
44,Regular Season,2002-05-25,New England,LA Galaxy,Gillette Stadium,0,3,2,New England,2002
45,Regular Season,2002-05-26,Chicago Fire,San Jose,Benedetti-Wehrli Stadium,0,1,1,,2002
46,Regular Season,2002-06-01,KC Wizards,Dallas Burn,Arrowhead Stadium,0,2,2,,2002
47,Regular Season,2002-06-01,Colorado Rapids,LA Galaxy,Empower Field at Mile High,0,3,2,Colorado Rapids,2002
48,Regular Season,2002-06-01,New England,San Jose,Gillette Stadium,0,0,2,San Jose,2002
49,Regular Season,2002-06-02,Chicago Fire,Columbus Crew,Benedetti-Wehrli Stadium,0,5,4,Chicago Fire,2002
51,Regular Season,2002-06-08,D.C. United,New England,Robert F. Kennedy Memorial Stadium,0,3,2,D.C. United,2002
52,Regular Season,2002-06-08,San Jose,KC Wizards,CEFCU Stadium,0,3,0,San Jose,2002
53,Regular Season,2002-06-08,LA Galaxy,Chicago Fire,Rose Bowl,0,1,0,LA Galaxy,2002
54,Regular Season,2002-06-08,Dallas Burn,Colorado Rapids,Cotton Bowl,0,4,1,Dallas Burn,2002
55,Regular Season,2002-06-12,New England,Columbus Crew,Gillette Stadium,0,1,2,Columbus Crew,2002
56,Regular Season,2002-06-15,MetroStars,LA Galaxy,Giants Stadium,0,5,0,MetroStars,2002
57,Regular Season,2002-06-15,KC Wizards,D.C. United,Arrowhead Stadium,0,2,0,KC Wizards,2002
58,Regular Season,2002-06-15,Chicago Fire,Dallas Burn,Benedetti-Wehrli Stadium,0,1,3,Dallas Burn,2002
59,Regular Season,2002-06-15,Columbus Crew,San Jose,MAPFRE Stadium,0,2,1,Columbus Crew,2002
60,Regular Season,2002-06-15,Colorado Rapids,New England,Empower Field at Mile High,0,1,2,New England,2002
61,Regular Season,2002-06-19,Columbus Crew,KC Wizards,MAPFRE Stadium,0,1,1,,2002
62,Regular Season,2002-06-19,D.C. United,Colorado Rapids,Robert F. Kennedy Memorial Stadium,0,2,0,D.C. United,2002
63,Regular Season,2002-06-22,LA Galaxy,Dallas Burn,Rose Bowl,0,3,0,LA Galaxy,2002
64,Regular Season,2002-06-22,San Jose,Colorado Rapids,CEFCU Stadium,0,4,0,San Jose,2002
65,Regular Season,2002-06-22,KC Wizards,New England,Arrowhead Stadium,0,3,2,KC Wizards,2002
66,Regular Season,2002-06-22,Chicago Fire,MetroStars,Benedetti-Wehrli Stadium,0,0,1,MetroStars,2002
67,Regular Season,2002-06-26,MetroStars,Colorado Rapids,Giants Stadium,0,0,1,Colorado Rapids,2002
68,Regular Season,2002-06-29,Dallas Burn,Columbus Crew,Cotton Bowl,0,1,0,Dallas Burn,2002
69,Regular Season,2002-06-29,San Jose,KC Wizards,CEFCU Stadium,0,2,1,San Jose,2002
70,Regular Season,2002-06-29,New England,MetroStars,Gillette Stadium,0,0,2,MetroStars,2002
71,Regular Season,2002-06-29,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,0,1,0,D.C. United,2002
72,Regular Season,2002-07-04,New England,Columbus Crew,Gillette Stadium,0,4,1,New England,2002
73,Regular Season,2002-07-04,Dallas Burn,MetroStars,Cotton Bowl,0,2,0,Dallas Burn,2002
74,Regular Season,2002-07-04,KC Wizards,D.C. United,Arrowhead Stadium,0,2,1,KC Wizards,2002
75,Regular Season,2002-07-04,LA Galaxy,San Jose,Rose Bowl,0,2,1,LA Galaxy,2002
77,Regular Season,2002-07-04,Colorado Rapids,Chicago Fire,Empower Field at Mile High,0,3,2,Colorado Rapids,2002
78,Regular Season,2002-07-06,New England,D.C. United,Gillette Stadium,0,2,0,New England,2002
79,Regular Season,2002-07-06,Columbus Crew,MetroStars,MAPFRE Stadium,0,2,3,MetroStars,2002
80,Regular Season,2002-07-06,KC Wizards,Dallas Burn,Arrowhead Stadium,0,1,1,,2002
81,Regular Season,2002-07-07,Chicago Fire,Colorado Rapids,Benedetti-Wehrli Stadium,0,2,1,Chicago Fire,2002
82,Regular Season,2002-07-07,San Jose,LA Galaxy,CEFCU Stadium,0,1,0,San Jose,2002
83,Regular Season,2002-07-13,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,0,1,3,Columbus Crew,2002
84,Regular Season,2002-07-13,MetroStars,Chicago Fire,Giants Stadium,0,2,3,Chicago Fire,2002
85,Regular Season,2002-07-13,New England,KC Wizards,Gillette Stadium,0,2,4,KC Wizards,2002
86,Regular Season,2002-07-13,Dallas Burn,San Jose,Cotton Bowl,0,2,1,Dallas Burn,2002
87,Regular Season,2002-07-13,Colorado Rapids,LA Galaxy,Empower Field at Mile High,0,1,3,LA Galaxy,2002
88,Regular Season,2002-07-20,MetroStars,New England,Giants Stadium,0,4,3,MetroStars,2002
89,Regular Season,2002-07-20,San Jose,Dallas Burn,CEFCU Stadium,0,4,0,San Jose,2002
90,Regular Season,2002-07-20,Columbus Crew,Colorado Rapids,MAPFRE Stadium,0,1,1,,2002
91,Regular Season,2002-07-20,LA Galaxy,KC Wizards,Rose Bowl,0,2,2,,2002
92,Regular Season,2002-07-20,Chicago Fire,D.C. United,Benedetti-Wehrli Stadium,0,0,0,,2002
93,Regular Season,2002-07-24,Columbus Crew,D.C. United,MAPFRE Stadium,0,1,0,Columbus Crew,2002
94,Regular Season,2002-07-24,KC Wizards,MetroStars,Arrowhead Stadium,0,1,3,MetroStars,2002
95,Regular Season,2002-07-24,New England,Colorado Rapids,Gillette Stadium,0,2,3,Colorado Rapids,2002
96,Regular Season,2002-07-24,San Jose,Chicago Fire,CEFCU Stadium,0,1,0,San Jose,2002
97,Regular Season,2002-07-27,Chicago Fire,MetroStars,Benedetti-Wehrli Stadium,0,3,0,Chicago Fire,2002
98,Regular Season,2002-07-27,Colorado Rapids,Dallas Burn,Empower Field at Mile High,0,2,2,,2002
99,Regular Season,2002-07-27,LA Galaxy,Columbus Crew,Rose Bowl,0,2,1,LA Galaxy,2002
100,Regular Season,2002-07-27,D.C. United,New England,Robert F. Kennedy Memorial Stadium,0,0,1,New England,2002
101,Regular Season,2002-07-27,KC Wizards,San Jose,Arrowhead Stadium,0,2,1,KC Wizards,2002
103,Regular Season,2002-07-31,Chicago Fire,D.C. United,Benedetti-Wehrli Stadium,0,0,0,,2002
104,Regular Season,2002-07-31,Dallas Burn,KC Wizards,Cotton Bowl,0,0,1,KC Wizards,2002
105,Regular Season,2002-07-31,MetroStars,Columbus Crew,Giants Stadium,0,2,3,Columbus Crew,2002
106,Regular Season,2002-08-10,Colorado Rapids,Columbus Crew,Empower Field at Mile High,0,2,1,Colorado Rapids,2002
107,Regular Season,2002-08-10,Dallas Burn,Chicago Fire,Cotton Bowl,0,3,1,Dallas Burn,2002
108,Regular Season,2002-08-10,D.C. United,KC Wizards,Robert F. Kennedy Memorial Stadium,0,0,0,,2002
109,Regular Season,2002-08-10,LA Galaxy,New England,Rose Bowl,0,2,1,LA Galaxy,2002
110,Regular Season,2002-08-14,Chicago Fire,KC Wizards,Benedetti-Wehrli Stadium,0,5,1,Chicago Fire,2002
111,Regular Season,2002-08-14,Columbus Crew,LA Galaxy,MAPFRE Stadium,0,3,2,Columbus Crew,2002
112,Regular Season,2002-08-17,San Jose,D.C. United,CEFCU Stadium,0,2,2,,2002
113,Regular Season,2002-08-17,MetroStars,Dallas Burn,Giants Stadium,0,1,3,Dallas Burn,2002
114,Regular Season,2002-08-17,LA Galaxy,Colorado Rapids,Rose Bowl,0,4,0,LA Galaxy,2002
115,Regular Season,2002-08-18,KC Wizards,Columbus Crew,Arrowhead Stadium,0,0,4,Columbus Crew,2002
116,Regular Season,2002-08-18,New England,Chicago Fire,Gillette Stadium,0,0,2,Chicago Fire,2002
117,Regular Season,2002-08-21,San Jose,Dallas Burn,CEFCU Stadium,0,3,1,San Jose,2002
118,Regular Season,2002-08-21,LA Galaxy,KC Wizards,Rose Bowl,0,2,1,LA Galaxy,2002
119,Regular Season,2002-08-24,Colorado Rapids,San Jose,Empower Field at Mile High,0,3,0,Colorado Rapids,2002
120,Regular Season,2002-08-24,Chicago Fire,New England,Benedetti-Wehrli Stadium,0,1,2,New England,2002
121,Regular Season,2002-08-24,Dallas Burn,LA Galaxy,Cotton Bowl,0,1,0,Dallas Burn,2002
