,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2011-03-15,Seattle,LA Galaxy,CenturyLink Field,0,0,1,LA Galaxy,2011
1,Regular Season,2011-03-19,NY Red Bulls,Seattle,Red Bull Arena,0,1,0,NY Red Bulls,2011
2,Regular Season,2011-03-19,Houston Dynamo,Philadelphia,Robertson Stadium,0,0,1,Philadelphia,2011
3,Regular Season,2011-03-19,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,0,3,1,D.C. United,2011
4,Regular Season,2011-03-19,Vancouver,Toronto FC,Empire Field,0,4,2,Vancouver,2011
5,Regular Season,2011-03-19,Chivas USA,Sporting KC,Dignity Health Sports Park,0,2,3,Sporting KC,2011
6,Regular Season,2011-03-19,FC Dallas,Chicago Fire,Toyota Stadium,0,1,1,,2011
7,Regular Season,2011-03-19,San Jose,Real Salt Lake,Stevens Stadium,0,0,1,Real Salt Lake,2011
8,Regular Season,2011-03-19,Colorado Rapids,Portland Timbers,Dick's Sporting Goods Park,0,3,1,Colorado Rapids,2011
9,Regular Season,2011-03-20,LA Galaxy,New England,Dignity Health Sports Park,0,1,1,,2011
10,Regular Season,2011-03-25,Seattle,Houston Dynamo,CenturyLink Field,0,1,1,,2011
11,Regular Season,2011-03-26,FC Dallas,San Jose,Toyota Stadium,0,0,2,San Jose,2011
12,Regular Season,2011-03-26,New England,D.C. United,Gillette Stadium,0,2,1,New England,2011
13,Regular Season,2011-03-26,Real Salt Lake,LA Galaxy,Rio Tinto Stadium,0,4,1,Real Salt Lake,2011
14,Regular Season,2011-03-26,Philadelphia,Vancouver,Subaru Park,0,1,0,Philadelphia,2011
15,Regular Season,2011-03-26,Toronto FC,Portland Timbers,BMO Field,0,2,0,Toronto FC,2011
16,Regular Season,2011-03-26,Columbus Crew,NY Red Bulls,MAPFRE Stadium,0,0,0,,2011
17,Regular Season,2011-03-26,Chivas USA,Colorado Rapids,Dignity Health Sports Park,0,0,1,Colorado Rapids,2011
18,Regular Season,2011-03-26,Chicago Fire,Sporting KC,SeatGeek Stadium,0,3,2,Chicago Fire,2011
19,Regular Season,2011-04-01,Columbus Crew,FC Dallas,MAPFRE Stadium,0,2,0,Columbus Crew,2011
20,Regular Season,2011-04-02,Toronto FC,Chivas USA,BMO Field,0,1,1,,2011
21,Regular Season,2011-04-02,San Jose,Seattle,Stevens Stadium,0,2,2,,2011
22,Regular Season,2011-04-02,New England,Portland Timbers,Gillette Stadium,0,1,1,,2011
23,Regular Season,2011-04-02,NY Red Bulls,Houston Dynamo,Red Bull Arena,0,1,1,,2011
25,Regular Season,2011-04-02,Vancouver,Sporting KC,Empire Field,0,3,3,,2011
26,Regular Season,2011-04-02,LA Galaxy,Philadelphia,Dignity Health Sports Park,0,1,0,LA Galaxy,2011
27,Regular Season,2011-04-03,Colorado Rapids,D.C. United,Dick's Sporting Goods Park,0,4,1,Colorado Rapids,2011
28,Regular Season,2011-04-06,Vancouver,New England,Empire Field,0,1,1,,2011
29,Regular Season,2011-04-08,FC Dallas,Colorado Rapids,Toyota Stadium,0,3,0,FC Dallas,2011
30,Regular Season,2011-04-09,Seattle,Chicago Fire,CenturyLink Field,0,2,1,Seattle,2011
31,Regular Season,2011-04-09,Philadelphia,NY Red Bulls,Subaru Park,0,1,0,Philadelphia,2011
32,Regular Season,2011-04-09,San Jose,Toronto FC,Stevens Stadium,0,1,1,,2011
33,Regular Season,2011-04-09,New England,Real Salt Lake,Gillette Stadium,0,0,2,Real Salt Lake,2011
34,Regular Season,2011-04-09,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,0,1,1,,2011
35,Regular Season,2011-04-09,Chivas USA,Columbus Crew,Dignity Health Sports Park,0,0,0,,2011
36,Regular Season,2011-04-10,Houston Dynamo,Vancouver,Robertson Stadium,0,3,1,Houston Dynamo,2011
37,Regular Season,2011-04-13,Real Salt Lake,Colorado Rapids,Rio Tinto Stadium,0,1,0,Real Salt Lake,2011
38,Regular Season,2011-04-13,Toronto FC,LA Galaxy,BMO Field,0,0,0,,2011
39,Regular Season,2011-04-14,Portland Timbers,Chicago Fire,Providence Park,0,4,2,Portland Timbers,2011
40,Regular Season,2011-04-16,Vancouver,Chivas USA,Empire Field,0,0,0,,2011
