,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2014-03-08,FC Dallas,Montreal Impact,Toyota Stadium,18011,3,2,FC Dallas,2014
1,Regular Season,2014-03-08,Seattle,Sporting KC,CenturyLink Field,39240,1,0,Seattle,2014
2,Regular Season,2014-03-08,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,13840,0,3,Columbus Crew,2014
3,Regular Season,2014-03-08,Vancouver,NY Red Bulls,BC Place,21000,4,1,Vancouver,2014
4,Regular Season,2014-03-08,Houston Dynamo,New England,BBVA Compass Stadium,22320,4,0,Houston Dynamo,2014
5,Regular Season,2014-03-08,LA Galaxy,Real Salt Lake,Dignity Health Sports Park,25634,0,1,Real Salt Lake,2014
6,Regular Season,2014-03-08,Portland Timbers,Philadelphia,Providence Park,20674,1,1,,2014
7,Regular Season,2014-03-09,Chivas USA,Chicago Fire,Dignity Health Sports Park,8320,3,2,Chivas USA,2014
8,Regular Season,2014-03-15,NY Red Bulls,Colorado Rapids,Red Bull Arena,20542,1,1,,2014
9,Regular Season,2014-03-15,Philadelphia,New England,Subaru Park,18651,1,0,Philadelphia,2014
10,Regular Season,2014-03-15,Seattle,Toronto FC,CenturyLink Field,38441,1,2,Toronto FC,2014
11,Regular Season,2014-03-15,Houston Dynamo,Montreal Impact,BBVA Compass Stadium,18245,1,0,Houston Dynamo,2014
12,Regular Season,2014-03-15,Sporting KC,FC Dallas,Children's Mercy Park,19431,1,1,,2014
13,Regular Season,2014-03-15,San Jose,Real Salt Lake,Stevens Stadium,10525,3,3,,2014
14,Regular Season,2014-03-16,Portland Timbers,Chicago Fire,Providence Park,20814,1,1,,2014
15,Regular Season,2014-03-16,Chivas USA,Vancouver,Dignity Health Sports Park,6684,1,1,,2014
16,Regular Season,2014-03-22,New England,Vancouver,Gillette Stadium,13103,0,0,,2014
17,Regular Season,2014-03-22,Real Salt Lake,LA Galaxy,Rio Tinto Stadium,20466,1,1,,2014
18,Regular Season,2014-03-22,Toronto FC,D.C. United,BMO Field,22591,1,0,Toronto FC,2014
19,Regular Season,2014-03-22,Colorado Rapids,Portland Timbers,Dick's Sporting Goods Park,15135,2,0,Colorado Rapids,2014
20,Regular Season,2014-03-22,Columbus Crew,Philadelphia,MAPFRE Stadium,17517,2,1,Columbus Crew,2014
21,Regular Season,2014-03-22,Sporting KC,San Jose,Children's Mercy Park,19368,1,0,Sporting KC,2014
22,Regular Season,2014-03-22,FC Dallas,Chivas USA,Toyota Stadium,15564,3,1,FC Dallas,2014
23,Regular Season,2014-03-23,Chicago Fire,NY Red Bulls,SeatGeek Stadium,16228,1,1,,2014
25,Regular Season,2014-03-23,Montreal Impact,Seattle,Olympic Stadium,27207,0,2,Seattle,2014
26,Regular Season,2014-03-29,Philadelphia,Montreal Impact,Subaru Park,15691,1,1,,2014
27,Regular Season,2014-03-29,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,9445,2,2,,2014
