,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
74,Regular Season,2015-04-26,Seattle,Portland Timbers,CenturyLink Field,41451,1,0,Seattle,2015
75,Regular Season,2015-04-29,NY Red Bulls,Colorado Rapids,Avaya Stadium,12540,1,1,,2015
77,Regular Season,2015-05-01,Houston Dynamo,FC Dallas,BBVA Compass Stadium,19975,1,4,FC Dallas,2015
78,Regular Season,2015-05-01,Real Salt Lake,San Jose,Rio Tinto Stadium,19715,1,1,,2015
79,Regular Season,2015-05-02,Philadelphia,Toronto FC,Subaru Park,17859,0,1,Toronto FC,2015
80,Regular Season,2015-05-02,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,13107,2,0,D.C. United,2015
81,Regular Season,2015-05-02,New England,NY Red Bulls,Gillette Stadium,18296,2,1,New England,2015
82,Regular Season,2015-05-02,LA Galaxy,Colorado Rapids,Dignity Health Sports Park,16676,1,1,,2015
83,Regular Season,2015-05-02,Portland Timbers,Vancouver,Providence Park,21144,0,0,,2015
84,Regular Season,2015-05-03,Sporting KC,Chicago Fire,Children's Mercy Park,19581,1,0,Sporting KC,2015
85,Regular Season,2015-05-03,NYCFC,Seattle,Yankee Stadium,25384,1,3,Seattle,2015
86,Regular Season,2015-05-05,Houston Dynamo,San Jose,BBVA Compass Stadium,16018,0,1,San Jose,2015
87,Regular Season,2015-05-06,Real Salt Lake,LA Galaxy,Rio Tinto Stadium,19296,0,0,,2015
88,Regular Season,2015-05-08,Orlando City,New England,Camping World Stadium,27243,2,2,,2015
89,Regular Season,2015-05-08,Colorado Rapids,San Jose,Dick's Sporting Goods Park,14169,1,1,,2015
90,Regular Season,2015-05-09,Chicago Fire,Real Salt Lake,SeatGeek Stadium,16017,1,2,Real Salt Lake,2015
91,Regular Season,2015-05-09,Montreal Impact,Portland Timbers,Saputo Stadium,13020,1,2,Portland Timbers,2015
92,Regular Season,2015-05-09,Vancouver,Philadelphia,BC Place,20183,3,0,Vancouver,2015
93,Regular Season,2015-05-09,D.C. United,Sporting KC,Robert F. Kennedy Memorial Stadium,16221,1,1,,2015
94,Regular Season,2015-05-09,Columbus Crew,Seattle,MAPFRE Stadium,16714,3,2,Columbus Crew,2015
95,Regular Season,2015-05-09,FC Dallas,LA Galaxy,Toyota Stadium,13829,2,1,FC Dallas,2015
96,Regular Season,2015-05-10,Toronto FC,Houston Dynamo,BMO Field,30226,1,2,Houston Dynamo,2015
97,Regular Season,2015-05-10,NY Red Bulls,NYCFC,Red Bull Arena,25217,2,1,NY Red Bulls,2015
98,Regular Season,2015-05-13,D.C. United,Orlando City,Robert F. Kennedy Memorial Stadium,12532,2,1,D.C. United,2015
99,Regular Season,2015-05-15,NYCFC,Chicago Fire,Yankee Stadium,23315,2,2,,2015
100,Regular Season,2015-05-15,FC Dallas,NY Red Bulls,Toyota Stadium,12640,0,0,,2015
101,Regular Season,2015-05-16,Montreal Impact,Real Salt Lake,Saputo Stadium,12158,4,1,Montreal Impact,2015
103,Regular Season,2015-05-16,Vancouver,Seattle,BC Place,21000,0,2,Seattle,2015
104,Regular Season,2015-05-16,New England,Toronto FC,Gillette Stadium,24269,1,1,,2015
105,Regular Season,2015-05-16,Houston Dynamo,Portland Timbers,BBVA Compass Stadium,20844,3,1,Houston Dynamo,2015
106,Regular Season,2015-05-16,San Jose,Columbus Crew,Avaya Stadium,18000,2,0,San Jose,2015
107,Regular Season,2015-05-17,Orlando City,LA Galaxy,Camping World Stadium,40122,4,0,Orlando City,2015
108,Regular Season,2015-05-17,Philadelphia,D.C. United,Subaru Park,16853,1,0,Philadelphia,2015
109,Regular Season,2015-05-20,Sporting KC,New England,Children's Mercy Park,18864,4,2,Sporting KC,2015
110,Regular Season,2015-05-22,Columbus Crew,Chicago Fire,MAPFRE Stadium,13118,2,2,,2015
111,Regular Season,2015-05-22,LA Galaxy,Houston Dynamo,Dignity Health Sports Park,20195,1,0,LA Galaxy,2015
112,Regular Season,2015-05-23,Toronto FC,Portland Timbers,BMO Field,23569,1,0,Toronto FC,2015
