,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2016-03-06,NY Red Bulls,Toronto FC,Red Bull Arena,21303,0,2,Toronto FC,2016
1,Regular Season,2016-03-06,Chicago Fire,NYCFC,SeatGeek Stadium,17768,3,4,NYCFC,2016
2,Regular Season,2016-03-06,Orlando City,Real Salt Lake,Camping World Stadium,60147,2,2,,2016
3,Regular Season,2016-03-06,San Jose,Colorado Rapids,Avaya Stadium,18000,1,0,San Jose,2016
4,Regular Season,2016-03-06,Houston Dynamo,New England,BBVA Compass Stadium,21594,3,3,,2016
5,Regular Season,2016-03-06,FC Dallas,Philadelphia,Toyota Stadium,14248,2,0,FC Dallas,2016
6,Regular Season,2016-03-06,Portland Timbers,Columbus Crew,Providence Park,21144,2,1,Portland Timbers,2016
7,Regular Season,2016-03-06,Vancouver,Montreal Impact,BC Place,22120,2,3,Montreal Impact,2016
8,Regular Season,2016-03-06,Seattle,Sporting KC,CenturyLink Field,39525,0,1,Sporting KC,2016
9,Regular Season,2016-03-06,LA Galaxy,D.C. United,Dignity Health Sports Park,25667,4,1,LA Galaxy,2016
10,Regular Season,2016-03-11,Orlando City,Chicago Fire,Camping World Stadium,29041,1,1,,2016
11,Regular Season,2016-03-12,New England,D.C. United,Gillette Stadium,16102,0,0,,2016
12,Regular Season,2016-03-12,Real Salt Lake,Seattle,Rio Tinto Stadium,19282,2,1,Real Salt Lake,2016
13,Regular Season,2016-03-12,Montreal Impact,NY Red Bulls,Olympic Stadium,27545,3,0,Montreal Impact,2016
14,Regular Season,2016-03-12,Colorado Rapids,LA Galaxy,Dick's Sporting Goods Park,17474,1,0,Colorado Rapids,2016
15,Regular Season,2016-03-12,Columbus Crew,Philadelphia,MAPFRE Stadium,17015,1,2,Philadelphia,2016
16,Regular Season,2016-03-12,Houston Dynamo,FC Dallas,BBVA Compass Stadium,21601,5,0,Houston Dynamo,2016
17,Regular Season,2016-03-12,Sporting KC,Vancouver,Children's Mercy Park,20178,2,1,Sporting KC,2016
18,Regular Season,2016-03-13,NYCFC,Toronto FC,Yankee Stadium,30315,2,2,,2016
19,Regular Season,2016-03-13,San Jose,Portland Timbers,Avaya Stadium,18000,2,1,San Jose,2016
20,Regular Season,2016-03-18,NYCFC,Orlando City,Yankee Stadium,24597,0,1,Orlando City,2016
21,Regular Season,2016-03-19,Chicago Fire,Columbus Crew,SeatGeek Stadium,12605,0,0,,2016
22,Regular Season,2016-03-19,NY Red Bulls,Houston Dynamo,Red Bull Arena,15167,4,3,NY Red Bulls,2016
23,Regular Season,2016-03-19,FC Dallas,Montreal Impact,Toyota Stadium,14502,2,0,FC Dallas,2016
25,Regular Season,2016-03-19,Seattle,Vancouver,CenturyLink Field,40012,1,2,Vancouver,2016
26,Regular Season,2016-03-19,LA Galaxy,San Jose,Dignity Health Sports Park,25667,3,1,LA Galaxy,2016
27,Regular Season,2016-03-19,Portland Timbers,Real Salt Lake,Providence Park,21144,2,2,,2016
28,Regular Season,2016-03-20,Philadelphia,New England,Subaru Park,17027,3,0,Philadelphia,2016
29,Regular Season,2016-03-20,D.C. United,Colorado Rapids,Robert F. Kennedy Memorial Stadium,15334,1,1,,2016
30,Regular Season,2016-03-20,Sporting KC,Toronto FC,Children's Mercy Park,19867,1,0,Sporting KC,2016
31,Regular Season,2016-03-26,NYCFC,New England,Yankee Stadium,23425,1,1,,2016
32,Regular Season,2016-03-26,D.C. United,FC Dallas,Robert F. Kennedy Memorial Stadium,14201,0,3,FC Dallas,2016
33,Regular Season,2016-03-26,Vancouver,Houston Dynamo,BC Place,22120,1,0,Vancouver,2016
34,Regular Season,2016-04-01,New England,NY Red Bulls,Gillette Stadium,11849,1,0,New England,2016
35,Regular Season,2016-04-02,Chicago Fire,Philadelphia,SeatGeek Stadium,12073,1,0,Chicago Fire,2016
36,Regular Season,2016-04-02,Colorado Rapids,Toronto FC,Dick's Sporting Goods Park,10772,1,0,Colorado Rapids,2016
37,Regular Season,2016-04-02,Sporting KC,Real Salt Lake,Children's Mercy Park,20553,1,2,Real Salt Lake,2016
38,Regular Season,2016-04-02,FC Dallas,Columbus Crew,Toyota Stadium,13174,1,1,,2016
39,Regular Season,2016-04-02,Seattle,Montreal Impact,CenturyLink Field,39705,1,0,Seattle,2016
40,Regular Season,2016-04-02,Vancouver,LA Galaxy,BC Place,27038,0,0,,2016
41,Regular Season,2016-04-02,San Jose,D.C. United,Avaya Stadium,18000,1,1,,2016
42,Regular Season,2016-04-03,Orlando City,Portland Timbers,Camping World Stadium,31114,4,1,Orlando City,2016
43,Regular Season,2016-04-08,Philadelphia,Orlando City,Subaru Park,15011,2,1,Philadelphia,2016
44,Regular Season,2016-04-09,New England,Toronto FC,Gillette Stadium,16935,1,1,,2016
45,Regular Season,2016-04-09,Montreal Impact,Columbus Crew,Olympic Stadium,22053,2,0,Montreal Impact,2016
46,Regular Season,2016-04-09,D.C. United,Vancouver,Robert F. Kennedy Memorial Stadium,14088,4,0,D.C. United,2016
47,Regular Season,2016-04-09,NY Red Bulls,Sporting KC,Red Bull Arena,21406,0,2,Sporting KC,2016
48,Regular Season,2016-04-09,FC Dallas,San Jose,Toyota Stadium,13386,2,2,,2016
49,Regular Season,2016-04-09,Real Salt Lake,Colorado Rapids,Rio Tinto Stadium,19224,1,0,Real Salt Lake,2016
51,Regular Season,2016-04-10,Houston Dynamo,Seattle,BBVA Compass Stadium,20975,1,1,,2016
52,Regular Season,2016-04-10,NYCFC,Chicago Fire,Yankee Stadium,22930,0,0,,2016
53,Regular Season,2016-04-10,LA Galaxy,Portland Timbers,Dignity Health Sports Park,25667,1,1,,2016
54,Regular Season,2016-04-13,Sporting KC,Colorado Rapids,Children's Mercy Park,19168,1,2,Colorado Rapids,2016
55,Regular Season,2016-04-13,San Jose,NY Red Bulls,Avaya Stadium,18000,2,0,San Jose,2016
56,Regular Season,2016-04-13,Portland Timbers,FC Dallas,Providence Park,21144,1,3,FC Dallas,2016
57,Regular Season,2016-04-15,Houston Dynamo,LA Galaxy,BBVA Compass Stadium,20563,1,4,LA Galaxy,2016
58,Regular Season,2016-04-16,Chicago Fire,Montreal Impact,SeatGeek Stadium,14509,1,2,Montreal Impact,2016
59,Regular Season,2016-04-16,D.C. United,Toronto FC,Robert F. Kennedy Memorial Stadium,16236,0,1,Toronto FC,2016
60,Regular Season,2016-04-16,Columbus Crew,NYCFC,MAPFRE Stadium,16715,3,2,Columbus Crew,2016
61,Regular Season,2016-04-16,Colorado Rapids,NY Red Bulls,Dick's Sporting Goods Park,10670,2,1,Colorado Rapids,2016
62,Regular Season,2016-04-16,Seattle,Philadelphia,CenturyLink Field,39620,2,1,Seattle,2016
63,Regular Season,2016-04-16,Real Salt Lake,Vancouver,Rio Tinto Stadium,19720,1,0,Real Salt Lake,2016
64,Regular Season,2016-04-16,Portland Timbers,San Jose,Providence Park,21144,3,1,Portland Timbers,2016
65,Regular Season,2016-04-17,Orlando City,New England,Camping World Stadium,36048,2,2,,2016
66,Regular Season,2016-04-17,FC Dallas,Sporting KC,Toyota Stadium,16215,2,1,FC Dallas,2016
67,Regular Season,2016-04-23,Montreal Impact,Toronto FC,Saputo Stadium,20801,0,2,Toronto FC,2016
68,Regular Season,2016-04-23,Philadelphia,NYCFC,Subaru Park,18681,2,0,Philadelphia,2016
69,Regular Season,2016-04-23,D.C. United,New England,Robert F. Kennedy Memorial Stadium,16005,3,0,D.C. United,2016
70,Regular Season,2016-04-23,Columbus Crew,Houston Dynamo,MAPFRE Stadium,17705,1,0,Columbus Crew,2016
71,Regular Season,2016-04-23,Colorado Rapids,Seattle,Dick's Sporting Goods Park,17294,3,1,Colorado Rapids,2016
72,Regular Season,2016-04-23,LA Galaxy,Real Salt Lake,Dignity Health Sports Park,25867,5,2,LA Galaxy,2016
73,Regular Season,2016-04-23,Vancouver,FC Dallas,BC Place,22120,3,0,Vancouver,2016
74,Regular Season,2016-04-24,San Jose,Sporting KC,Avaya Stadium,18000,1,0,San Jose,2016
75,Regular Season,2016-04-24,NY Red Bulls,Orlando City,Red Bull Arena,18238,3,2,NY Red Bulls,2016
77,Regular Season,2016-04-27,NYCFC,Montreal Impact,Yankee Stadium,23352,1,1,,2016
78,Regular Season,2016-04-27,New England,Portland Timbers,Gillette Stadium,10144,1,1,,2016
79,Regular Season,2016-04-27,Vancouver,Sporting KC,BC Place,18836,1,1,,2016
80,Regular Season,2016-04-29,NY Red Bulls,FC Dallas,Red Bull Arena,18025,4,0,NY Red Bulls,2016
81,Regular Season,2016-04-30,Seattle,Columbus Crew,CenturyLink Field,39473,1,0,Seattle,2016
82,Regular Season,2016-04-30,Montreal Impact,Colorado Rapids,Saputo Stadium,20801,2,2,,2016
83,Regular Season,2016-04-30,Philadelphia,San Jose,Subaru Park,16079,1,1,,2016
84,Regular Season,2016-04-30,NYCFC,Vancouver,Yankee Stadium,25438,3,2,NYCFC,2016
85,Regular Season,2016-04-30,Chicago Fire,D.C. United,SeatGeek Stadium,13114,1,1,,2016
86,Regular Season,2016-04-30,New England,Orlando City,Gillette Stadium,25203,2,2,,2016
87,Regular Season,2016-04-30,Real Salt Lake,Houston Dynamo,Rio Tinto Stadium,19950,2,1,Real Salt Lake,2016
88,Regular Season,2016-05-01,Portland Timbers,Toronto FC,Providence Park,21144,2,1,Portland Timbers,2016
89,Regular Season,2016-05-01,Sporting KC,LA Galaxy,Children's Mercy Park,19431,1,1,,2016
90,Regular Season,2016-05-06,Orlando City,NY Red Bulls,Camping World Stadium,31264,1,1,,2016
91,Regular Season,2016-05-07,Vancouver,Portland Timbers,BC Place,22120,2,1,Vancouver,2016
92,Regular Season,2016-05-07,Toronto FC,FC Dallas,BMO Field,30025,1,0,Toronto FC,2016
93,Regular Season,2016-05-07,Columbus Crew,Montreal Impact,MAPFRE Stadium,14095,4,4,,2016
94,Regular Season,2016-05-07,Houston Dynamo,Sporting KC,BBVA Compass Stadium,20071,2,0,Houston Dynamo,2016
95,Regular Season,2016-05-07,Colorado Rapids,Real Salt Lake,Dick's Sporting Goods Park,14638,1,0,Colorado Rapids,2016
96,Regular Season,2016-05-07,Seattle,San Jose,CenturyLink Field,39570,2,0,Seattle,2016
97,Regular Season,2016-05-08,LA Galaxy,New England,Dignity Health Sports Park,21237,4,2,LA Galaxy,2016
98,Regular Season,2016-05-08,D.C. United,NYCFC,Robert F. Kennedy Memorial Stadium,14504,0,2,NYCFC,2016
99,Regular Season,2016-05-11,Philadelphia,LA Galaxy,Subaru Park,17985,2,2,,2016
100,Regular Season,2016-05-11,Colorado Rapids,Sporting KC,Dick's Sporting Goods Park,12857,1,0,Colorado Rapids,2016
101,Regular Season,2016-05-11,FC Dallas,Portland Timbers,Toyota Stadium,10381,2,1,FC Dallas,2016
103,Regular Season,2016-05-11,Vancouver,Chicago Fire,BC Place,19638,2,1,Vancouver,2016
104,Regular Season,2016-05-11,San Jose,Houston Dynamo,Avaya Stadium,18000,3,1,San Jose,2016
105,Regular Season,2016-05-13,D.C. United,NY Red Bulls,Robert F. Kennedy Memorial Stadium,19632,2,0,D.C. United,2016
106,Regular Season,2016-05-14,Montreal Impact,Philadelphia,Saputo Stadium,20801,1,1,,2016
107,Regular Season,2016-05-14,New England,Chicago Fire,Gillette Stadium,18997,2,0,New England,2016
108,Regular Season,2016-05-14,Columbus Crew,Colorado Rapids,MAPFRE Stadium,15023,1,1,,2016
109,Regular Season,2016-05-14,Toronto FC,Vancouver,BMO Field,54748,3,4,Vancouver,2016
110,Regular Season,2016-05-14,FC Dallas,Seattle,Toyota Stadium,14630,2,0,FC Dallas,2016
111,Regular Season,2016-05-15,Houston Dynamo,Real Salt Lake,BBVA Compass Stadium,17943,1,0,Houston Dynamo,2016
112,Regular Season,2016-05-15,Sporting KC,Orlando City,Children's Mercy Park,19080,2,1,Sporting KC,2016
113,Regular Season,2016-05-15,Portland Timbers,NYCFC,Providence Park,21144,1,2,NYCFC,2016
114,Regular Season,2016-05-18,Toronto FC,NYCFC,BMO Field,30262,1,1,,2016
115,Regular Season,2016-05-18,NY Red Bulls,Chicago Fire,Red Bull Arena,16624,1,0,NY Red Bulls,2016
116,Regular Season,2016-05-20,Philadelphia,D.C. United,Subaru Park,17364,1,0,Philadelphia,2016
117,Regular Season,2016-05-21,NYCFC,NY Red Bulls,Yankee Stadium,37858,0,7,NY Red Bulls,2016
118,Regular Season,2016-05-21,Chicago Fire,Houston Dynamo,SeatGeek Stadium,15363,1,0,Chicago Fire,2016
119,Regular Season,2016-05-21,Toronto FC,Columbus Crew,BMO Field,26252,0,0,,2016
120,Regular Season,2016-05-21,New England,FC Dallas,Gillette Stadium,23472,2,4,FC Dallas,2016
121,Regular Season,2016-05-21,Orlando City,Montreal Impact,Camping World Stadium,34081,2,1,Orlando City,2016
122,Regular Season,2016-05-21,Sporting KC,Real Salt Lake,Children's Mercy Park,20618,1,3,Real Salt Lake,2016
123,Regular Season,2016-05-21,Seattle,Colorado Rapids,CenturyLink Field,41028,0,1,Colorado Rapids,2016
124,Regular Season,2016-05-22,Portland Timbers,Vancouver,Providence Park,21144,4,2,Portland Timbers,2016
125,Regular Season,2016-05-22,LA Galaxy,San Jose,Dignity Health Sports Park,27167,1,1,,2016
126,Regular Season,2016-05-25,Orlando City,Philadelphia,Camping World Stadium,24109,2,2,,2016
127,Regular Season,2016-05-27,Sporting KC,D.C. United,Children's Mercy Park,19118,0,1,D.C. United,2016
129,Regular Season,2016-05-28,Vancouver,Houston Dynamo,BC Place,22120,1,1,,2016
130,Regular Season,2016-05-28,NY Red Bulls,Toronto FC,Red Bull Arena,20324,3,0,NY Red Bulls,2016
131,Regular Season,2016-05-28,New England,Seattle,Gillette Stadium,21456,2,1,New England,2016
132,Regular Season,2016-05-28,Montreal Impact,LA Galaxy,Saputo Stadium,20801,3,2,Montreal Impact,2016
133,Regular Season,2016-05-28,Chicago Fire,Portland Timbers,SeatGeek Stadium,14729,1,1,,2016
134,Regular Season,2016-05-28,Colorado Rapids,Philadelphia,Dick's Sporting Goods Park,18015,1,1,,2016
135,Regular Season,2016-05-28,Columbus Crew,Real Salt Lake,MAPFRE Stadium,14894,4,3,Columbus Crew,2016
136,Regular Season,2016-05-28,San Jose,FC Dallas,Avaya Stadium,18000,0,0,,2016
137,Regular Season,2016-05-29,NYCFC,Orlando City,Yankee Stadium,25039,2,2,,2016
138,Regular Season,2016-06-01,Philadelphia,Columbus Crew,Subaru Park,15543,3,2,Philadelphia,2016
139,Regular Season,2016-06-01,D.C. United,Seattle,Robert F. Kennedy Memorial Stadium,15174,0,2,Seattle,2016
140,Regular Season,2016-06-01,Portland Timbers,San Jose,Providence Park,21144,1,0,Portland Timbers,2016
141,Regular Season,2016-06-02,NYCFC,Real Salt Lake,Yankee Stadium,22736,2,3,Real Salt Lake,2016
142,Regular Season,2016-06-02,FC Dallas,Houston Dynamo,Toyota Stadium,13457,1,1,,2016
143,Regular Season,2016-06-02,LA Galaxy,Sporting KC,Dignity Health Sports Park,19651,0,0,,2016
144,Regular Season,2016-06-18,NYCFC,Philadelphia,Yankee Stadium,27456,3,2,NYCFC,2016
145,Regular Season,2016-06-18,Vancouver,New England,BC Place,22120,1,2,New England,2016
146,Regular Season,2016-06-18,Columbus Crew,Montreal Impact,MAPFRE Stadium,14814,0,0,,2016
147,Regular Season,2016-06-18,Orlando City,San Jose,Camping World Stadium,37194,2,2,,2016
148,Regular Season,2016-06-18,Toronto FC,LA Galaxy,BMO Field,30025,1,0,Toronto FC,2016
149,Regular Season,2016-06-18,Colorado Rapids,Chicago Fire,Dick's Sporting Goods Park,18103,2,1,Colorado Rapids,2016
150,Regular Season,2016-06-18,Houston Dynamo,D.C. United,BBVA Compass Stadium,19774,0,0,,2016
151,Regular Season,2016-06-18,Real Salt Lake,Portland Timbers,Rio Tinto Stadium,20317,2,2,,2016
152,Regular Season,2016-06-19,Sporting KC,FC Dallas,Children's Mercy Park,18927,2,0,Sporting KC,2016
153,Regular Season,2016-06-19,NY Red Bulls,Seattle,Red Bull Arena,21102,2,0,NY Red Bulls,2016
155,Regular Season,2016-06-22,Philadelphia,Chicago Fire,Subaru Park,16667,4,3,Philadelphia,2016
156,Regular Season,2016-06-22,Real Salt Lake,NY Red Bulls,Rio Tinto Stadium,18036,2,1,Real Salt Lake,2016
157,Regular Season,2016-06-22,LA Galaxy,Colorado Rapids,Dignity Health Sports Park,21884,0,0,,2016
158,Regular Season,2016-06-25,Seattle,NYCFC,CenturyLink Field,47537,0,2,NYCFC,2016
159,Regular Season,2016-06-25,D.C. United,New England,Robert F. Kennedy Memorial Stadium,16051,2,0,D.C. United,2016
160,Regular Season,2016-06-25,Philadelphia,Vancouver,Subaru Park,17225,2,3,Vancouver,2016
161,Regular Season,2016-06-25,Columbus Crew,NY Red Bulls,MAPFRE Stadium,20389,1,1,,2016
162,Regular Season,2016-06-25,Orlando City,Toronto FC,Camping World Stadium,27818,3,2,Orlando City,2016
163,Regular Season,2016-06-25,Montreal Impact,Sporting KC,Saputo Stadium,20032,2,2,,2016
164,Regular Season,2016-06-25,FC Dallas,Real Salt Lake,Toyota Stadium,13128,2,0,FC Dallas,2016
165,Regular Season,2016-06-25,San Jose,LA Galaxy,Stanford Stadium,50816,1,1,,2016
166,Regular Season,2016-06-26,Portland Timbers,Houston Dynamo,Providence Park,21144,3,2,Portland Timbers,2016
167,Regular Season,2016-07-01,Chicago Fire,San Jose,SeatGeek Stadium,16487,1,0,Chicago Fire,2016
168,Regular Season,2016-07-01,Real Salt Lake,D.C. United,Rio Tinto Stadium,20389,1,1,,2016
169,Regular Season,2016-07-02,Montreal Impact,New England,Saputo Stadium,20279,3,2,Montreal Impact,2016
170,Regular Season,2016-07-02,Toronto FC,Seattle,BMO Field,26750,1,1,,2016
171,Regular Season,2016-07-02,Houston Dynamo,Philadelphia,BBVA Compass Stadium,18457,1,0,Houston Dynamo,2016
172,Regular Season,2016-07-03,NYCFC,NY Red Bulls,Yankee Stadium,33613,2,0,NYCFC,2016
173,Regular Season,2016-07-03,Sporting KC,Columbus Crew,Children's Mercy Park,19332,3,2,Sporting KC,2016
174,Regular Season,2016-07-04,Colorado Rapids,Portland Timbers,Dick's Sporting Goods Park,18759,0,0,,2016
175,Regular Season,2016-07-04,FC Dallas,Orlando City,Toyota Stadium,16195,4,0,FC Dallas,2016
176,Regular Season,2016-07-04,LA Galaxy,Vancouver,Dignity Health Sports Park,27167,2,0,LA Galaxy,2016
177,Regular Season,2016-07-06,New England,NYCFC,Gillette Stadium,18187,0,1,NYCFC,2016
178,Regular Season,2016-07-08,Orlando City,Houston Dynamo,Camping World Stadium,28104,0,0,,2016
179,Regular Season,2016-07-08,San Jose,FC Dallas,Avaya Stadium,18000,0,1,FC Dallas,2016
181,Regular Season,2016-07-09,Seattle,LA Galaxy,CenturyLink Field,40813,0,1,LA Galaxy,2016
182,Regular Season,2016-07-09,Philadelphia,D.C. United,Subaru Park,18463,3,0,Philadelphia,2016
183,Regular Season,2016-07-09,Toronto FC,Chicago Fire,BMO Field,27934,1,0,Toronto FC,2016
184,Regular Season,2016-07-09,New England,Columbus Crew,Gillette Stadium,18434,3,1,New England,2016
185,Regular Season,2016-07-09,Vancouver,Colorado Rapids,BC Place,22120,2,2,,2016
186,Regular Season,2016-07-09,Real Salt Lake,Montreal Impact,Rio Tinto Stadium,20086,1,1,,2016
187,Regular Season,2016-07-10,NY Red Bulls,Portland Timbers,Red Bull Arena,19985,0,0,,2016
188,Regular Season,2016-07-10,Sporting KC,NYCFC,Children's Mercy Park,19881,3,1,Sporting KC,2016
189,Regular Season,2016-07-13,Columbus Crew,Toronto FC,MAPFRE Stadium,13410,1,1,,2016
190,Regular Season,2016-07-13,NY Red Bulls,Orlando City,Red Bull Arena,19121,2,0,NY Red Bulls,2016
191,Regular Season,2016-07-13,Chicago Fire,Sporting KC,SeatGeek Stadium,13879,1,0,Chicago Fire,2016
192,Regular Season,2016-07-13,Portland Timbers,Montreal Impact,Providence Park,21144,1,1,,2016
193,Regular Season,2016-07-13,Seattle,FC Dallas,CenturyLink Field,40101,5,0,Seattle,2016
194,Regular Season,2016-07-13,Vancouver,Real Salt Lake,BC Place,22120,2,0,Vancouver,2016
195,Regular Season,2016-07-15,LA Galaxy,Houston Dynamo,Dignity Health Sports Park,25667,1,0,LA Galaxy,2016
196,Regular Season,2016-07-16,Columbus Crew,D.C. United,MAPFRE Stadium,20065,1,1,,2016
197,Regular Season,2016-07-16,Colorado Rapids,Sporting KC,Dick's Sporting Goods Park,18461,1,0,Colorado Rapids,2016
198,Regular Season,2016-07-16,FC Dallas,Chicago Fire,Toyota Stadium,13942,3,1,FC Dallas,2016
199,Regular Season,2016-07-16,Vancouver,Orlando City,BC Place,22120,2,2,,2016
200,Regular Season,2016-07-16,Real Salt Lake,New England,Rio Tinto Stadium,19246,0,0,,2016
201,Regular Season,2016-07-16,San Jose,Toronto FC,Avaya Stadium,18000,2,1,San Jose,2016
202,Regular Season,2016-07-17,Portland Timbers,Seattle,Providence Park,21144,3,1,Portland Timbers,2016
203,Regular Season,2016-07-17,Montreal Impact,NYCFC,Saputo Stadium,20801,1,3,NYCFC,2016
204,Regular Season,2016-07-17,Philadelphia,NY Red Bulls,Subaru Park,18500,2,2,,2016
205,Regular Season,2016-07-22,Real Salt Lake,San Jose,Rio Tinto Stadium,19842,1,1,,2016
207,Regular Season,2016-07-23,Portland Timbers,LA Galaxy,Providence Park,21144,1,2,LA Galaxy,2016
208,Regular Season,2016-07-23,Toronto FC,D.C. United,BMO Field,26349,4,1,Toronto FC,2016
209,Regular Season,2016-07-23,New England,Chicago Fire,Gillette Stadium,21872,1,0,New England,2016
210,Regular Season,2016-07-23,Montreal Impact,Philadelphia,Saputo Stadium,20801,5,1,Montreal Impact,2016
211,Regular Season,2016-07-23,Columbus Crew,Orlando City,MAPFRE Stadium,20034,2,2,,2016
212,Regular Season,2016-07-23,Colorado Rapids,FC Dallas,Dick's Sporting Goods Park,18178,1,1,,2016
213,Regular Season,2016-07-23,Houston Dynamo,Vancouver,BBVA Compass Stadium,16465,0,0,,2016
214,Regular Season,2016-07-24,NY Red Bulls,NYCFC,Red Bull Arena,25218,4,1,NY Red Bulls,2016
215,Regular Season,2016-07-24,Sporting KC,Seattle,Children's Mercy Park,18563,3,0,Sporting KC,2016
216,Regular Season,2016-07-30,NYCFC,Colorado Rapids,Yankee Stadium,25711,5,1,NYCFC,2016
217,Regular Season,2016-07-31,Sporting KC,Portland Timbers,Children's Mercy Park,19098,1,0,Sporting KC,2016
218,Regular Season,2016-07-31,Seattle,LA Galaxy,CenturyLink Field,48458,1,1,,2016
219,Regular Season,2016-07-31,FC Dallas,Vancouver,Toyota Stadium,13824,2,0,FC Dallas,2016
220,Regular Season,2016-07-31,D.C. United,Montreal Impact,Robert F. Kennedy Memorial Stadium,16728,1,1,,2016
221,Regular Season,2016-07-31,Chicago Fire,NY Red Bulls,SeatGeek Stadium,17221,2,2,,2016
222,Regular Season,2016-07-31,Philadelphia,Real Salt Lake,Subaru Park,18091,1,2,Real Salt Lake,2016
223,Regular Season,2016-07-31,Orlando City,New England,Camping World Stadium,27768,3,1,Orlando City,2016
224,Regular Season,2016-07-31,Toronto FC,Columbus Crew,BMO Field,23979,3,0,Toronto FC,2016
225,Regular Season,2016-07-31,Houston Dynamo,San Jose,BBVA Compass Stadium,15045,1,1,,2016
226,Regular Season,2016-08-03,Toronto FC,Real Salt Lake,BMO Field,27859,1,0,Toronto FC,2016
227,Regular Season,2016-08-05,San Jose,NYCFC,Avaya Stadium,18000,0,0,,2016
228,Regular Season,2016-08-06,D.C. United,Philadelphia,Robert F. Kennedy Memorial Stadium,16392,2,2,,2016
