,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,1999-03-20,LA Galaxy,Colorado Rapids,Rose Bowl,17343,1,1,LA Galaxy,1999
1,Regular Season,1999-03-20,Dallas Burn,KC Wizards,Cotton Bowl,17112,4,0,Dallas Burn,1999
2,Regular Season,1999-03-20,Miami Fusion,MetroStars,Lockhart Stadium,13648,2,2,MetroStars,1999
3,Regular Season,1999-03-20,Tampa Bay,D.C. United,Raymond James Stadium,16872,2,5,D.C. United,1999
4,Regular Season,1999-03-20,San Jose,Chicago Fire,CEFCU Stadium,15238,1,3,Chicago Fire,1999
5,Regular Season,1999-03-27,KC Wizards,Chicago Fire,Arrowhead Stadium,15509,0,3,Chicago Fire,1999
6,Regular Season,1999-03-27,San Jose,Colorado Rapids,CEFCU Stadium,8841,2,2,San Jose,1999
7,Regular Season,1999-03-28,Miami Fusion,New England,Lockhart Stadium,7211,1,1,Miami Fusion,1999
8,Regular Season,1999-03-28,MetroStars,Columbus Crew,Giants Stadium,20307,1,0,MetroStars,1999
9,Regular Season,1999-03-28,LA Galaxy,Dallas Burn,Rose Bowl,27034,0,0,LA Galaxy,1999
10,Regular Season,1999-04-03,Miami Fusion,Chicago Fire,Lockhart Stadium,8854,1,4,Chicago Fire,1999
11,Regular Season,1999-04-03,Tampa Bay,Columbus Crew,Raymond James Stadium,13456,2,3,Columbus Crew,1999
12,Regular Season,1999-04-03,KC Wizards,New England,Arrowhead Stadium,8313,0,1,New England,1999
13,Regular Season,1999-04-03,MetroStars,D.C. United,Giants Stadium,20978,0,1,D.C. United,1999
14,Regular Season,1999-04-03,San Jose,LA Galaxy,CEFCU Stadium,12017,1,1,San Jose,1999
15,Regular Season,1999-04-08,LA Galaxy,Columbus Crew,Rose Bowl,4825,1,1,Columbus Crew,1999
16,Regular Season,1999-04-10,Colorado Rapids,Miami Fusion,Mile High Stadium,15592,4,1,Colorado Rapids,1999
17,Regular Season,1999-04-10,New England,D.C. United,Foxboro Stadium,18373,2,2,D.C. United,1999
18,Regular Season,1999-04-10,KC Wizards,San Jose,Arrowhead Stadium,4815,1,1,San Jose,1999
19,Regular Season,1999-04-10,Chicago Fire,Dallas Burn,Soldier Field,27311,0,0,Dallas Burn,1999
20,Regular Season,1999-04-11,Tampa Bay,MetroStars,Raymond James Stadium,8264,1,1,MetroStars,1999
21,Regular Season,1999-04-15,Miami Fusion,Dallas Burn,Lockhart Stadium,7013,1,1,Miami Fusion,1999
22,Regular Season,1999-04-17,D.C. United,San Jose,Robert F. Kennedy Memorial Stadium,35167,1,1,San Jose,1999
23,Regular Season,1999-04-17,Colorado Rapids,KC Wizards,Mile High Stadium,8592,1,1,Colorado Rapids,1999
25,Regular Season,1999-04-17,Chicago Fire,LA Galaxy,Soldier Field,9972,1,0,Chicago Fire,1999
26,Regular Season,1999-04-17,New England,Columbus Crew,Foxboro Stadium,14732,0,0,Columbus Crew,1999
27,Regular Season,1999-04-18,Dallas Burn,Tampa Bay,Cotton Bowl,13697,2,1,Dallas Burn,1999
28,Regular Season,1999-04-24,Miami Fusion,KC Wizards,Lockhart Stadium,6759,1,0,Miami Fusion,1999
29,Regular Season,1999-04-24,Dallas Burn,Columbus Crew,Cotton Bowl,12241,2,0,Dallas Burn,1999
30,Regular Season,1999-04-24,D.C. United,New England,Robert F. Kennedy Memorial Stadium,15132,2,3,New England,1999
31,Regular Season,1999-04-24,LA Galaxy,San Jose,Rose Bowl,16700,1,0,LA Galaxy,1999
32,Regular Season,1999-04-25,MetroStars,Tampa Bay,Giants Stadium,23765,0,1,Tampa Bay,1999
33,Regular Season,1999-04-28,KC Wizards,Columbus Crew,Arrowhead Stadium,6069,0,1,Columbus Crew,1999
34,Regular Season,1999-04-30,San Jose,Dallas Burn,CEFCU Stadium,10071,1,1,San Jose,1999
35,Regular Season,1999-05-01,New England,Colorado Rapids,Foxboro Stadium,13427,1,2,Colorado Rapids,1999
36,Regular Season,1999-05-01,Chicago Fire,D.C. United,Soldier Field,20840,3,2,Chicago Fire,1999
37,Regular Season,1999-05-01,MetroStars,LA Galaxy,Giants Stadium,13778,0,0,LA Galaxy,1999
38,Regular Season,1999-05-01,Tampa Bay,Miami Fusion,Raymond James Stadium,15120,2,1,Tampa Bay,1999
39,Regular Season,1999-05-08,Dallas Burn,Colorado Rapids,Cotton Bowl,10550,1,1,Colorado Rapids,1999
40,Regular Season,1999-05-08,KC Wizards,LA Galaxy,Arrowhead Stadium,8287,2,1,KC Wizards,1999
41,Regular Season,1999-05-08,Tampa Bay,Chicago Fire,Raymond James Stadium,10428,1,1,Tampa Bay,1999
42,Regular Season,1999-05-08,New England,Miami Fusion,Foxboro Stadium,11173,0,0,New England,1999
43,Regular Season,1999-05-08,D.C. United,MetroStars,Robert F. Kennedy Memorial Stadium,15499,2,1,D.C. United,1999
44,Regular Season,1999-05-09,San Jose,Columbus Crew,CEFCU Stadium,9931,1,2,Columbus Crew,1999
45,Regular Season,1999-05-15,MetroStars,Miami Fusion,Giants Stadium,14879,3,2,MetroStars,1999
46,Regular Season,1999-05-15,Columbus Crew,New England,MAPFRE Stadium,24741,2,0,Columbus Crew,1999
47,Regular Season,1999-05-15,KC Wizards,D.C. United,Arrowhead Stadium,11186,3,3,D.C. United,1999
48,Regular Season,1999-05-15,LA Galaxy,Tampa Bay,Rose Bowl,11378,0,0,Tampa Bay,1999
49,Regular Season,1999-05-15,Dallas Burn,San Jose,Cotton Bowl,16372,2,1,Dallas Burn,1999
51,Regular Season,1999-05-16,Chicago Fire,Colorado Rapids,Soldier Field,25201,0,1,Colorado Rapids,1999
52,Regular Season,1999-05-22,Colorado Rapids,MetroStars,Mile High Stadium,20005,2,0,Colorado Rapids,1999
53,Regular Season,1999-05-22,San Jose,Dallas Burn,CEFCU Stadium,12133,1,1,San Jose,1999
54,Regular Season,1999-05-22,Miami Fusion,D.C. United,Lockhart Stadium,7113,1,3,D.C. United,1999
55,Regular Season,1999-05-22,Columbus Crew,Tampa Bay,MAPFRE Stadium,20782,0,0,Tampa Bay,1999
56,Regular Season,1999-05-22,Chicago Fire,KC Wizards,Soldier Field,27308,3,1,Chicago Fire,1999
57,Regular Season,1999-05-23,LA Galaxy,New England,Rose Bowl,7581,1,0,LA Galaxy,1999
58,Regular Season,1999-05-26,Dallas Burn,Miami Fusion,Cotton Bowl,7529,2,1,Dallas Burn,1999
59,Regular Season,1999-05-27,Colorado Rapids,San Jose,Mile High Stadium,4746,4,2,Colorado Rapids,1999
60,Regular Season,1999-05-29,MetroStars,New England,Giants Stadium,43192,3,3,New England,1999
61,Regular Season,1999-05-29,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,21840,3,1,D.C. United,1999
62,Regular Season,1999-05-29,Miami Fusion,Tampa Bay,Lockhart Stadium,8628,2,1,Miami Fusion,1999
63,Regular Season,1999-05-29,Columbus Crew,LA Galaxy,MAPFRE Stadium,16596,1,1,Columbus Crew,1999
64,Regular Season,1999-06-03,San Jose,Colorado Rapids,CEFCU Stadium,6824,4,3,San Jose,1999
65,Regular Season,1999-06-05,New England,Chicago Fire,Foxboro Stadium,21313,2,0,New England,1999
66,Regular Season,1999-06-05,MetroStars,Dallas Burn,Giants Stadium,11567,2,5,Dallas Burn,1999
67,Regular Season,1999-06-05,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,18234,1,0,D.C. United,1999
68,Regular Season,1999-06-05,Tampa Bay,Miami Fusion,Raymond James Stadium,18377,1,0,Tampa Bay,1999
69,Regular Season,1999-06-06,LA Galaxy,KC Wizards,Rose Bowl,6871,1,0,LA Galaxy,1999
70,Regular Season,1999-06-10,D.C. United,Miami Fusion,Robert F. Kennedy Memorial Stadium,12136,3,1,D.C. United,1999
71,Regular Season,1999-06-12,MetroStars,Colorado Rapids,Giants Stadium,13723,0,1,Colorado Rapids,1999
72,Regular Season,1999-06-12,KC Wizards,Dallas Burn,Arrowhead Stadium,9336,1,0,KC Wizards,1999
73,Regular Season,1999-06-12,LA Galaxy,Chicago Fire,Rose Bowl,18102,2,1,LA Galaxy,1999
74,Regular Season,1999-06-12,San Jose,Tampa Bay,CEFCU Stadium,14472,1,1,San Jose,1999
75,Regular Season,1999-06-13,New England,Miami Fusion,Foxboro Stadium,19069,3,3,New England,1999
77,Regular Season,1999-06-13,Columbus Crew,D.C. United,MAPFRE Stadium,17386,1,2,D.C. United,1999
