,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
38,Regular Season,2013-03-30,NY Red Bulls,Philadelphia,0,2,1,NY Red Bulls,2013
39,Regular Season,2013-03-30,Colorado Rapids,Portland Timbers,0,2,2,,2013
40,Regular Season,2013-03-30,Chivas USA,Vancouver,0,2,1,Chivas USA,2013
41,Regular Season,2013-03-30,New England,FC Dallas,0,0,1,FC Dallas,2013
42,Regular Season,2013-03-30,Toronto FC,LA Galaxy,0,2,2,,2013
43,Regular Season,2013-04-05,Sporting KC,D.C. United,0,1,0,Sporting KC,2013
44,Regular Season,2013-04-06,San Jose,Vancouver,0,1,1,,2013
45,Regular Season,2013-04-06,Columbus Crew,Philadelphia,0,1,1,,2013
46,Regular Season,2013-04-06,Toronto FC,FC Dallas,0,2,2,,2013
47,Regular Season,2013-04-06,Portland Timbers,Houston Dynamo,0,2,0,Portland Timbers,2013
48,Regular Season,2013-04-06,Colorado Rapids,Real Salt Lake,0,1,0,Colorado Rapids,2013
49,Regular Season,2013-04-07,Chicago Fire,NY Red Bulls,0,3,1,Chicago Fire,2013
51,Regular Season,2013-04-13,Chivas USA,Colorado Rapids,0,0,1,Colorado Rapids,2013
52,Regular Season,2013-04-13,FC Dallas,LA Galaxy,0,1,0,FC Dallas,2013
53,Regular Season,2013-04-13,Vancouver,Real Salt Lake,0,1,1,,2013
54,Regular Season,2013-04-13,Philadelphia,Toronto FC,0,1,1,,2013
55,Regular Season,2013-04-13,Seattle,New England,0,0,0,,2013
56,Regular Season,2013-04-13,D.C. United,NY Red Bulls,0,0,2,NY Red Bulls,2013
57,Regular Season,2013-04-14,Houston Dynamo,Chicago Fire,0,2,1,Houston Dynamo,2013
58,Regular Season,2013-04-14,Portland Timbers,San Jose,0,1,0,Portland Timbers,2013
59,Regular Season,2013-04-14,Montreal Impact,Columbus Crew,0,1,1,,2013
60,Regular Season,2013-04-17,NY Red Bulls,Sporting KC,0,0,1,Sporting KC,2013
61,Regular Season,2013-04-20,Real Salt Lake,Chivas USA,0,1,0,Real Salt Lake,2013
62,Regular Season,2013-04-20,NY Red Bulls,New England,0,4,1,NY Red Bulls,2013
63,Regular Season,2013-04-20,LA Galaxy,Sporting KC,0,2,0,LA Galaxy,2013
64,Regular Season,2013-04-20,FC Dallas,Vancouver,0,2,0,FC Dallas,2013
65,Regular Season,2013-04-20,Toronto FC,Houston Dynamo,0,1,1,,2013
66,Regular Season,2013-04-20,Chicago Fire,Columbus Crew,0,1,0,Chicago Fire,2013
67,Regular Season,2013-04-20,Colorado Rapids,Seattle,0,0,1,Seattle,2013
68,Regular Season,2013-04-21,San Jose,Portland Timbers,0,1,1,,2013
69,Regular Season,2013-04-21,D.C. United,Philadelphia,0,2,3,Philadelphia,2013
70,Regular Season,2013-04-27,Real Salt Lake,LA Galaxy,0,0,2,LA Galaxy,2013
71,Regular Season,2013-04-27,Montreal Impact,Chicago Fire,0,2,0,Montreal Impact,2013
72,Regular Season,2013-04-27,Toronto FC,NY Red Bulls,0,1,2,NY Red Bulls,2013
73,Regular Season,2013-04-27,Chivas USA,San Jose,0,2,2,,2013
74,Regular Season,2013-04-27,New England,Philadelphia,0,2,0,New England,2013
75,Regular Season,2013-04-27,Vancouver,FC Dallas,0,2,2,,2013
77,Regular Season,2013-04-27,Sporting KC,Portland Timbers,0,2,3,Portland Timbers,2013
78,Regular Season,2013-04-27,Columbus Crew,D.C. United,0,3,0,Columbus Crew,2013
79,Regular Season,2013-04-28,Houston Dynamo,Colorado Rapids,0,1,1,,2013
80,Regular Season,2013-05-02,Portland Timbers,New England,0,0,0,,2013
81,Regular Season,2013-05-04,Real Salt Lake,Vancouver,0,2,0,Real Salt Lake,2013
82,Regular Season,2013-05-04,Columbus Crew,NY Red Bulls,0,0,1,NY Red Bulls,2013
83,Regular Season,2013-05-04,San Jose,Montreal Impact,0,2,2,,2013
84,Regular Season,2013-05-04,Colorado Rapids,Toronto FC,0,1,0,Colorado Rapids,2013
85,Regular Season,2013-05-04,Philadelphia,Seattle,0,2,2,,2013
86,Regular Season,2013-05-05,Sporting KC,Chivas USA,0,4,0,Sporting KC,2013
87,Regular Season,2013-05-05,LA Galaxy,Houston Dynamo,0,0,1,Houston Dynamo,2013
88,Regular Season,2013-05-08,New England,Real Salt Lake,0,1,2,Real Salt Lake,2013
89,Regular Season,2013-05-08,San Jose,Toronto FC,0,2,1,San Jose,2013
90,Regular Season,2013-05-08,D.C. United,Houston Dynamo,0,0,4,Houston Dynamo,2013
91,Regular Season,2013-05-08,Sporting KC,Seattle,0,0,1,Seattle,2013
92,Regular Season,2013-05-08,FC Dallas,Portland Timbers,0,1,1,,2013
93,Regular Season,2013-05-08,NY Red Bulls,Montreal Impact,0,2,1,NY Red Bulls,2013
94,Regular Season,2013-05-11,Seattle,San Jose,0,4,0,Seattle,2013
95,Regular Season,2013-05-11,Columbus Crew,Colorado Rapids,0,0,2,Colorado Rapids,2013
96,Regular Season,2013-05-11,Chicago Fire,Philadelphia,0,0,1,Philadelphia,2013
97,Regular Season,2013-05-11,FC Dallas,D.C. United,0,2,1,FC Dallas,2013
98,Regular Season,2013-05-11,Vancouver,LA Galaxy,0,3,1,Vancouver,2013
99,Regular Season,2013-05-11,Montreal Impact,Real Salt Lake,0,3,2,Montreal Impact,2013
100,Regular Season,2013-05-11,New England,NY Red Bulls,0,1,1,,2013
101,Regular Season,2013-05-12,Portland Timbers,Chivas USA,0,3,0,Portland Timbers,2013
103,Regular Season,2013-05-12,Houston Dynamo,Sporting KC,0,0,1,Sporting KC,2013
104,Regular Season,2013-05-15,Philadelphia,LA Galaxy,0,1,4,LA Galaxy,2013
105,Regular Season,2013-05-18,Vancouver,Portland Timbers,0,2,2,,2013
106,Regular Season,2013-05-18,Philadelphia,Chicago Fire,0,1,0,Philadelphia,2013
107,Regular Season,2013-05-18,Houston Dynamo,New England,0,0,2,New England,2013
108,Regular Season,2013-05-18,San Jose,Colorado Rapids,0,1,1,,2013
109,Regular Season,2013-05-18,Seattle,FC Dallas,0,4,2,Seattle,2013
110,Regular Season,2013-05-18,Toronto FC,Columbus Crew,0,0,1,Columbus Crew,2013
111,Regular Season,2013-05-19,NY Red Bulls,LA Galaxy,0,1,0,NY Red Bulls,2013
112,Regular Season,2013-05-19,D.C. United,Sporting KC,0,1,1,,2013
113,Regular Season,2013-05-19,Chivas USA,Real Salt Lake,0,1,4,Real Salt Lake,2013
114,Regular Season,2013-05-25,Montreal Impact,Philadelphia,0,5,3,Montreal Impact,2013
115,Regular Season,2013-05-25,FC Dallas,San Jose,0,1,0,FC Dallas,2013
116,Regular Season,2013-05-25,Real Salt Lake,Chicago Fire,0,1,1,,2013
117,Regular Season,2013-05-25,Colorado Rapids,Chivas USA,0,2,0,Colorado Rapids,2013
118,Regular Season,2013-05-25,New England,Toronto FC,0,2,0,New England,2013
119,Regular Season,2013-05-25,D.C. United,Portland Timbers,0,0,2,Portland Timbers,2013
120,Regular Season,2013-05-26,Sporting KC,Houston Dynamo,0,1,1,,2013
121,Regular Season,2013-05-26,LA Galaxy,Seattle,0,4,0,LA Galaxy,2013
122,Regular Season,2013-05-26,NY Red Bulls,Columbus Crew,0,2,2,,2013
123,Regular Season,2013-06-01,NY Red Bulls,Vancouver,0,1,2,Vancouver,2013
124,Regular Season,2013-06-01,Chivas USA,Seattle,0,0,2,Seattle,2013
125,Regular Season,2013-06-01,Real Salt Lake,San Jose,0,3,0,Real Salt Lake,2013
126,Regular Season,2013-06-01,Columbus Crew,Houston Dynamo,0,1,1,,2013
127,Regular Season,2013-06-01,Sporting KC,Montreal Impact,0,1,2,Montreal Impact,2013
129,Regular Season,2013-06-01,Toronto FC,Philadelphia,0,1,1,,2013
130,Regular Season,2013-06-01,Colorado Rapids,FC Dallas,0,2,2,,2013
131,Regular Season,2013-06-02,New England,LA Galaxy,0,5,0,New England,2013
132,Regular Season,2013-06-02,Chicago Fire,D.C. United,0,2,0,Chicago Fire,2013
133,Regular Season,2013-06-05,Philadelphia,Columbus Crew,0,3,0,Philadelphia,2013
134,Regular Season,2013-06-08,Chicago Fire,Portland Timbers,0,2,2,,2013
135,Regular Season,2013-06-08,New England,D.C. United,0,0,0,,2013
136,Regular Season,2013-06-08,Seattle,Vancouver,0,3,2,Seattle,2013
137,Regular Season,2013-06-08,Real Salt Lake,LA Galaxy,0,3,1,Real Salt Lake,2013
138,Regular Season,2013-06-15,D.C. United,Toronto FC,0,1,2,Toronto FC,2013
139,Regular Season,2013-06-15,Colorado Rapids,San Jose,0,1,2,San Jose,2013
140,Regular Season,2013-06-15,Portland Timbers,FC Dallas,0,1,0,Portland Timbers,2013
141,Regular Season,2013-06-15,Vancouver,New England,0,4,3,Vancouver,2013
142,Regular Season,2013-06-15,Columbus Crew,Montreal Impact,0,2,0,Columbus Crew,2013
143,Regular Season,2013-06-19,LA Galaxy,Portland Timbers,0,0,0,,2013
144,Regular Season,2013-06-19,Montreal Impact,Houston Dynamo,0,2,0,Montreal Impact,2013
145,Regular Season,2013-06-19,Vancouver,Chivas USA,0,3,1,Vancouver,2013
146,Regular Season,2013-06-19,Chicago Fire,Colorado Rapids,0,2,1,Chicago Fire,2013
147,Regular Season,2013-06-22,FC Dallas,Sporting KC,0,2,2,,2013
148,Regular Season,2013-06-22,Real Salt Lake,Seattle,0,2,0,Real Salt Lake,2013
149,Regular Season,2013-06-22,Houston Dynamo,Toronto FC,0,0,0,,2013
150,Regular Season,2013-06-22,Columbus Crew,Chicago Fire,0,1,2,Chicago Fire,2013
151,Regular Season,2013-06-22,D.C. United,San Jose,0,1,0,D.C. United,2013
152,Regular Season,2013-06-23,Portland Timbers,Colorado Rapids,0,3,0,Portland Timbers,2013
153,Regular Season,2013-06-23,Chivas USA,LA Galaxy,0,0,1,LA Galaxy,2013
155,Regular Season,2013-06-23,Philadelphia,NY Red Bulls,0,3,0,Philadelphia,2013
156,Regular Season,2013-06-29,D.C. United,Vancouver,0,0,1,Vancouver,2013
157,Regular Season,2013-06-29,Toronto FC,Real Salt Lake,0,0,1,Real Salt Lake,2013
158,Regular Season,2013-06-29,Sporting KC,Columbus Crew,0,3,2,Sporting KC,2013
159,Regular Season,2013-06-29,Philadelphia,FC Dallas,0,2,2,,2013
160,Regular Season,2013-06-29,San Jose,LA Galaxy,0,3,2,San Jose,2013
161,Regular Season,2013-06-29,Chivas USA,New England,0,1,1,,2013
162,Regular Season,2013-06-29,Montreal Impact,Colorado Rapids,0,3,4,Colorado Rapids,2013
163,Regular Season,2013-06-30,NY Red Bulls,Houston Dynamo,0,2,0,NY Red Bulls,2013
164,Regular Season,2013-07-03,Real Salt Lake,Philadelphia,0,2,2,,2013
165,Regular Season,2013-07-03,Sporting KC,Vancouver,0,1,1,,2013
166,Regular Season,2013-07-03,Toronto FC,Montreal Impact,0,3,3,,2013
167,Regular Season,2013-07-03,Seattle,D.C. United,0,2,0,Seattle,2013
168,Regular Season,2013-07-03,Chicago Fire,San Jose,0,3,2,Chicago Fire,2013
169,Regular Season,2013-07-04,LA Galaxy,Columbus Crew,0,2,1,LA Galaxy,2013
170,Regular Season,2013-07-04,Colorado Rapids,NY Red Bulls,0,2,0,Colorado Rapids,2013
171,Regular Season,2013-07-04,FC Dallas,Chivas USA,0,0,0,,2013
172,Regular Season,2013-07-06,Vancouver,Seattle,0,2,0,Vancouver,2013
173,Regular Season,2013-07-06,New England,San Jose,0,2,0,New England,2013
174,Regular Season,2013-07-06,Houston Dynamo,Philadelphia,0,1,0,Houston Dynamo,2013
175,Regular Season,2013-07-07,Colorado Rapids,D.C. United,0,0,0,,2013
176,Regular Season,2013-07-07,Columbus Crew,Portland Timbers,0,1,0,Columbus Crew,2013
177,Regular Season,2013-07-07,Chicago Fire,Sporting KC,0,1,2,Sporting KC,2013
178,Regular Season,2013-07-07,LA Galaxy,FC Dallas,0,2,0,LA Galaxy,2013
179,Regular Season,2013-07-07,Montreal Impact,Chivas USA,0,1,1,,2013
181,Regular Season,2013-07-12,Philadelphia,Chivas USA,0,3,1,Philadelphia,2013
182,Regular Season,2013-07-13,New England,Houston Dynamo,0,1,2,Houston Dynamo,2013
183,Regular Season,2013-07-13,Portland Timbers,LA Galaxy,0,2,1,Portland Timbers,2013
184,Regular Season,2013-07-13,FC Dallas,Real Salt Lake,0,0,3,Real Salt Lake,2013
185,Regular Season,2013-07-13,San Jose,Seattle,0,1,0,San Jose,2013
186,Regular Season,2013-07-13,NY Red Bulls,Montreal Impact,0,4,0,NY Red Bulls,2013
187,Regular Season,2013-07-13,Sporting KC,Toronto FC,0,3,0,Sporting KC,2013
188,Regular Season,2013-07-14,Vancouver,Chicago Fire,0,3,1,Vancouver,2013
189,Regular Season,2013-07-17,Chivas USA,Toronto FC,0,1,0,Chivas USA,2013
190,Regular Season,2013-07-17,Colorado Rapids,New England,0,2,1,Colorado Rapids,2013
191,Regular Season,2013-07-20,Seattle,Colorado Rapids,0,1,1,,2013
192,Regular Season,2013-07-20,Chicago Fire,D.C. United,0,4,1,Chicago Fire,2013
193,Regular Season,2013-07-20,Philadelphia,Portland Timbers,0,0,0,,2013
194,Regular Season,2013-07-20,Montreal Impact,FC Dallas,0,0,0,,2013
195,Regular Season,2013-07-20,Toronto FC,NY Red Bulls,0,0,0,,2013
196,Regular Season,2013-07-20,LA Galaxy,Vancouver,0,2,1,LA Galaxy,2013
197,Regular Season,2013-07-20,Real Salt Lake,Sporting KC,0,1,2,Sporting KC,2013
198,Regular Season,2013-07-20,Columbus Crew,New England,0,0,2,New England,2013
199,Regular Season,2013-07-27,Houston Dynamo,Chicago Fire,0,1,1,,2013
200,Regular Season,2013-07-27,Colorado Rapids,LA Galaxy,0,2,0,Colorado Rapids,2013
201,Regular Season,2013-07-27,San Jose,Portland Timbers,0,2,1,San Jose,2013
202,Regular Season,2013-07-27,Vancouver,Philadelphia,0,0,1,Philadelphia,2013
203,Regular Season,2013-07-27,Montreal Impact,Sporting KC,0,1,0,Montreal Impact,2013
204,Regular Season,2013-07-27,Toronto FC,Columbus Crew,0,2,1,Toronto FC,2013
205,Regular Season,2013-07-27,D.C. United,New England,0,1,2,New England,2013
207,Regular Season,2013-07-27,NY Red Bulls,Real Salt Lake,0,4,3,NY Red Bulls,2013
208,Regular Season,2013-07-28,Seattle,Chivas USA,0,2,1,Seattle,2013
209,Regular Season,2013-08-03,San Jose,Chivas USA,0,2,0,San Jose,2013
210,Regular Season,2013-08-03,Sporting KC,NY Red Bulls,0,2,3,NY Red Bulls,2013
211,Regular Season,2013-08-03,Houston Dynamo,Columbus Crew,0,3,1,Houston Dynamo,2013
212,Regular Season,2013-08-03,Portland Timbers,Vancouver,0,1,1,,2013
213,Regular Season,2013-08-03,Colorado Rapids,Real Salt Lake,0,2,2,,2013
214,Regular Season,2013-08-03,Seattle,FC Dallas,0,3,0,Seattle,2013
215,Regular Season,2013-08-03,Philadelphia,Chicago Fire,0,1,2,Chicago Fire,2013
216,Regular Season,2013-08-03,D.C. United,Montreal Impact,0,3,1,D.C. United,2013
217,Regular Season,2013-08-04,New England,Toronto FC,0,0,1,Toronto FC,2013
218,Regular Season,2013-08-10,Chicago Fire,Montreal Impact,0,2,1,Chicago Fire,2013
219,Regular Season,2013-08-10,Vancouver,San Jose,0,2,0,Vancouver,2013
220,Regular Season,2013-08-10,Sporting KC,New England,0,3,0,Sporting KC,2013
221,Regular Season,2013-08-10,Real Salt Lake,Houston Dynamo,0,1,0,Real Salt Lake,2013
222,Regular Season,2013-08-10,Columbus Crew,NY Red Bulls,0,2,0,Columbus Crew,2013
223,Regular Season,2013-08-10,Philadelphia,D.C. United,0,2,0,Philadelphia,2013
224,Regular Season,2013-08-10,Toronto FC,Seattle,0,1,2,Seattle,2013
225,Regular Season,2013-08-11,FC Dallas,LA Galaxy,0,3,3,,2013
226,Regular Season,2013-08-11,Chivas USA,Colorado Rapids,0,1,1,,2013
227,Regular Season,2013-08-17,Portland Timbers,FC Dallas,0,2,1,Portland Timbers,2013
228,Regular Season,2013-08-17,Houston Dynamo,Seattle,0,3,1,Houston Dynamo,2013
229,Regular Season,2013-08-17,LA Galaxy,Real Salt Lake,0,4,2,LA Galaxy,2013
230,Regular Season,2013-08-17,Montreal Impact,D.C. United,0,2,1,Montreal Impact,2013
231,Regular Season,2013-08-17,New England,Chicago Fire,0,2,0,New England,2013
233,Regular Season,2013-08-17,Columbus Crew,Toronto FC,0,2,0,Columbus Crew,2013
234,Regular Season,2013-08-17,NY Red Bulls,Philadelphia,0,0,0,,2013
235,Regular Season,2013-08-17,Colorado Rapids,Vancouver,0,2,0,Colorado Rapids,2013
236,Regular Season,2013-08-18,San Jose,Sporting KC,0,1,0,San Jose,2013
237,Regular Season,2013-08-21,Portland Timbers,Real Salt Lake,0,3,3,,2013
238,Regular Season,2013-08-21,Chivas USA,FC Dallas,0,1,3,FC Dallas,2013
239,Regular Season,2013-08-23,Chicago Fire,Sporting KC,0,1,0,Chicago Fire,2013
240,Regular Season,2013-08-24,D.C. United,Toronto FC,0,1,1,,2013
241,Regular Season,2013-08-24,Montreal Impact,Houston Dynamo,0,5,0,Montreal Impact,2013
242,Regular Season,2013-08-24,FC Dallas,San Jose,0,2,2,,2013
243,Regular Season,2013-08-24,Vancouver,LA Galaxy,0,0,1,LA Galaxy,2013
244,Regular Season,2013-08-24,Real Salt Lake,Columbus Crew,0,4,0,Real Salt Lake,2013
245,Regular Season,2013-08-25,Seattle,Portland Timbers,0,1,0,Seattle,2013
246,Regular Season,2013-08-25,New England,Philadelphia,0,5,1,New England,2013
247,Regular Season,2013-08-25,Chivas USA,NY Red Bulls,0,3,2,Chivas USA,2013
248,Regular Season,2013-08-30,Real Salt Lake,Portland Timbers,0,4,2,Real Salt Lake,2013
249,Regular Season,2013-08-30,Toronto FC,New England,0,1,1,,2013
250,Regular Season,2013-08-31,NY Red Bulls,D.C. United,0,2,1,NY Red Bulls,2013
251,Regular Season,2013-08-31,Philadelphia,Montreal Impact,0,0,0,,2013
252,Regular Season,2013-08-31,Columbus Crew,Seattle,0,0,1,Seattle,2013
253,Regular Season,2013-08-31,LA Galaxy,San Jose,0,3,0,LA Galaxy,2013
254,Regular Season,2013-08-31,Sporting KC,Colorado Rapids,0,2,1,Sporting KC,2013
255,Regular Season,2013-09-01,Chicago Fire,Houston Dynamo,0,1,1,,2013
256,Regular Season,2013-09-01,Vancouver,Chivas USA,0,2,2,,2013
257,Regular Season,2013-09-04,Columbus Crew,Houston Dynamo,0,2,0,Columbus Crew,2013
259,Regular Season,2013-09-04,Seattle,Chivas USA,0,1,0,Seattle,2013
260,Regular Season,2013-09-07,Seattle,Chicago Fire,0,2,1,Seattle,2013
261,Regular Season,2013-09-07,LA Galaxy,Colorado Rapids,0,0,1,Colorado Rapids,2013
262,Regular Season,2013-09-07,FC Dallas,Vancouver,0,3,1,FC Dallas,2013
263,Regular Season,2013-09-07,Portland Timbers,Toronto FC,0,4,0,Portland Timbers,2013
264,Regular Season,2013-09-07,Sporting KC,Columbus Crew,0,3,0,Sporting KC,2013
265,Regular Season,2013-09-08,New England,Montreal Impact,0,2,4,Montreal Impact,2013
266,Regular Season,2013-09-08,San Jose,Philadelphia,0,1,0,San Jose,2013
267,Regular Season,2013-09-08,Houston Dynamo,NY Red Bulls,0,1,4,NY Red Bulls,2013
268,Regular Season,2013-09-08,Chivas USA,D.C. United,0,1,0,Chivas USA,2013
269,Regular Season,2013-09-11,Toronto FC,Chicago Fire,0,1,1,,2013
270,Regular Season,2013-09-13,Seattle,Real Salt Lake,0,2,0,Seattle,2013
271,Regular Season,2013-09-14,Philadelphia,Houston Dynamo,0,0,1,Houston Dynamo,2013
272,Regular Season,2013-09-14,NY Red Bulls,Toronto FC,0,2,0,NY Red Bulls,2013
273,Regular Season,2013-09-14,D.C. United,LA Galaxy,0,2,2,,2013
274,Regular Season,2013-09-14,San Jose,Vancouver,0,0,0,,2013
275,Regular Season,2013-09-14,Chivas USA,Portland Timbers,0,1,1,,2013
276,Regular Season,2013-09-14,Montreal Impact,Columbus Crew,0,1,2,Columbus Crew,2013
277,Regular Season,2013-09-14,Chicago Fire,New England,0,3,2,Chicago Fire,2013
278,Regular Season,2013-09-14,Colorado Rapids,FC Dallas,0,2,1,Colorado Rapids,2013
279,Regular Season,2013-09-20,Portland Timbers,Colorado Rapids,0,1,0,Portland Timbers,2013
280,Regular Season,2013-09-21,Real Salt Lake,San Jose,0,1,2,San Jose,2013
281,Regular Season,2013-09-21,Toronto FC,Sporting KC,0,1,2,Sporting KC,2013
282,Regular Season,2013-09-21,New England,D.C. United,0,2,1,New England,2013
283,Regular Season,2013-09-21,Columbus Crew,Chicago Fire,0,3,0,Columbus Crew,2013
285,Regular Season,2013-09-21,Houston Dynamo,Chivas USA,0,5,1,Houston Dynamo,2013
286,Regular Season,2013-09-21,Montreal Impact,Vancouver,0,0,3,Vancouver,2013
287,Regular Season,2013-09-21,LA Galaxy,Seattle,0,1,1,,2013
288,Regular Season,2013-09-22,NY Red Bulls,FC Dallas,0,1,0,NY Red Bulls,2013
289,Regular Season,2013-09-27,Sporting KC,Philadelphia,0,0,1,Philadelphia,2013
290,Regular Season,2013-09-28,Toronto FC,D.C. United,0,4,1,Toronto FC,2013
291,Regular Season,2013-09-28,New England,Houston Dynamo,0,1,1,,2013
292,Regular Season,2013-09-28,Vancouver,Real Salt Lake,0,0,1,Real Salt Lake,2013
293,Regular Season,2013-09-28,Chicago Fire,Montreal Impact,0,2,2,,2013
294,Regular Season,2013-09-29,Seattle,NY Red Bulls,0,1,1,,2013
295,Regular Season,2013-09-29,Chivas USA,San Jose,0,0,1,San Jose,2013
296,Regular Season,2013-09-29,Portland Timbers,LA Galaxy,0,1,0,Portland Timbers,2013
297,Regular Season,2013-09-29,FC Dallas,Columbus Crew,0,2,4,Columbus Crew,2013
298,Regular Season,2013-10-04,D.C. United,Chicago Fire,0,0,3,Chicago Fire,2013
299,Regular Season,2013-10-04,Houston Dynamo,Montreal Impact,0,1,0,Houston Dynamo,2013
300,Regular Season,2013-10-05,Real Salt Lake,FC Dallas,0,1,1,,2013
301,Regular Season,2013-10-05,Philadelphia,Toronto FC,0,1,0,Philadelphia,2013
302,Regular Season,2013-10-05,NY Red Bulls,New England,0,2,2,,2013
303,Regular Season,2013-10-05,Columbus Crew,Sporting KC,0,0,1,Sporting KC,2013
304,Regular Season,2013-10-05,Colorado Rapids,Seattle,0,5,1,Colorado Rapids,2013
305,Regular Season,2013-10-06,Vancouver,Portland Timbers,0,2,2,,2013
306,Regular Season,2013-10-06,LA Galaxy,Chivas USA,0,5,0,LA Galaxy,2013
307,Regular Season,2013-10-09,Seattle,Vancouver,0,1,4,Vancouver,2013
308,Regular Season,2013-10-09,San Jose,Colorado Rapids,0,1,0,San Jose,2013
309,Regular Season,2013-10-09,Houston Dynamo,Sporting KC,0,0,0,,2013
311,Regular Season,2013-10-12,Montreal Impact,New England,0,0,1,New England,2013
312,Regular Season,2013-10-12,D.C. United,Philadelphia,0,1,1,,2013
313,Regular Season,2013-10-12,FC Dallas,Chicago Fire,0,2,3,Chicago Fire,2013
314,Regular Season,2013-10-13,Portland Timbers,Seattle,0,1,0,Portland Timbers,2013
315,Regular Season,2013-10-16,LA Galaxy,Montreal Impact,0,1,0,LA Galaxy,2013
316,Regular Season,2013-10-18,Sporting KC,D.C. United,0,1,0,Sporting KC,2013
317,Regular Season,2013-10-19,New England,Columbus Crew,0,3,2,New England,2013
318,Regular Season,2013-10-19,Chicago Fire,Toronto FC,0,1,0,Chicago Fire,2013
319,Regular Season,2013-10-19,FC Dallas,Seattle,0,2,0,FC Dallas,2013
320,Regular Season,2013-10-19,Colorado Rapids,Vancouver,0,3,2,Colorado Rapids,2013
321,Regular Season,2013-10-19,Portland Timbers,Real Salt Lake,0,0,0,,2013
322,Regular Season,2013-10-19,Montreal Impact,Philadelphia,0,2,1,Montreal Impact,2013
323,Regular Season,2013-10-20,Houston Dynamo,NY Red Bulls,0,0,3,NY Red Bulls,2013
324,Regular Season,2013-10-20,LA Galaxy,San Jose,0,0,0,,2013
325,Regular Season,2013-10-23,Real Salt Lake,Chivas USA,0,2,1,Real Salt Lake,2013
326,Regular Season,2013-10-26,Toronto FC,Montreal Impact,0,1,0,Toronto FC,2013
327,Regular Season,2013-10-26,San Jose,FC Dallas,0,2,1,San Jose,2013
