,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2013-03-02,FC Dallas,Colorado Rapids,0,1,0,FC Dallas,2013
1,Regular Season,2013-03-02,Houston Dynamo,D.C. United,0,2,0,Houston Dynamo,2013
2,Regular Season,2013-03-02,Seattle,Montreal Impact,0,0,1,Montreal Impact,2013
3,Regular Season,2013-03-02,Philadelphia,Sporting KC,0,1,3,Sporting KC,2013
4,Regular Season,2013-03-02,Chivas USA,Columbus Crew,0,0,3,Columbus Crew,2013
5,Regular Season,2013-03-02,Vancouver,Toronto FC,0,1,0,Vancouver,2013
6,Regular Season,2013-03-03,San Jose,Real Salt Lake,0,0,2,Real Salt Lake,2013
7,Regular Season,2013-03-03,Portland Timbers,NY Red Bulls,0,3,3,,2013
8,Regular Season,2013-03-03,LA Galaxy,Chicago Fire,0,4,0,LA Galaxy,2013
9,Regular Season,2013-03-09,Vancouver,Columbus Crew,0,2,1,Vancouver,2013
10,Regular Season,2013-03-09,Chicago Fire,New England,0,0,1,New England,2013
11,Regular Season,2013-03-09,Toronto FC,Sporting KC,0,2,1,Toronto FC,2013
12,Regular Season,2013-03-09,D.C. United,Real Salt Lake,0,1,0,D.C. United,2013
13,Regular Season,2013-03-09,Portland Timbers,Montreal Impact,0,1,2,Montreal Impact,2013
14,Regular Season,2013-03-10,Colorado Rapids,Philadelphia,0,1,2,Philadelphia,2013
15,Regular Season,2013-03-10,San Jose,NY Red Bulls,0,2,1,San Jose,2013
16,Regular Season,2013-03-10,Chivas USA,FC Dallas,0,3,1,Chivas USA,2013
17,Regular Season,2013-03-16,Sporting KC,Chicago Fire,0,0,0,,2013
18,Regular Season,2013-03-16,Columbus Crew,San Jose,0,1,1,,2013
19,Regular Season,2013-03-16,Real Salt Lake,Colorado Rapids,0,1,1,,2013
20,Regular Season,2013-03-16,NY Red Bulls,D.C. United,0,0,0,,2013
21,Regular Season,2013-03-16,Montreal Impact,Toronto FC,0,2,1,Montreal Impact,2013
22,Regular Season,2013-03-16,Philadelphia,New England,0,1,0,Philadelphia,2013
23,Regular Season,2013-03-16,Seattle,Portland Timbers,0,1,1,,2013
25,Regular Season,2013-03-17,LA Galaxy,Chivas USA,0,1,1,,2013
26,Regular Season,2013-03-17,FC Dallas,Houston Dynamo,0,3,2,FC Dallas,2013
27,Regular Season,2013-03-23,San Jose,Seattle,0,1,0,San Jose,2013
28,Regular Season,2013-03-23,D.C. United,Columbus Crew,0,1,2,Columbus Crew,2013
29,Regular Season,2013-03-23,Montreal Impact,NY Red Bulls,0,1,0,Montreal Impact,2013
30,Regular Season,2013-03-23,Houston Dynamo,Vancouver,0,2,1,Houston Dynamo,2013
31,Regular Season,2013-03-23,LA Galaxy,Colorado Rapids,0,1,0,LA Galaxy,2013
32,Regular Season,2013-03-23,FC Dallas,Real Salt Lake,0,2,0,FC Dallas,2013
33,Regular Season,2013-03-23,New England,Sporting KC,0,0,0,,2013
34,Regular Season,2013-03-24,Chicago Fire,Chivas USA,0,1,4,Chivas USA,2013
35,Regular Season,2013-03-30,Houston Dynamo,San Jose,0,2,0,Houston Dynamo,2013
36,Regular Season,2013-03-30,Real Salt Lake,Seattle,0,2,1,Real Salt Lake,2013
37,Regular Season,2013-03-30,Sporting KC,Montreal Impact,0,2,0,Sporting KC,2013
