,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
20,Regular Season,1998-04-11,San Jose,Chicago Fire,CEFCU Stadium,9937,1,0,San Jose,1998
21,Regular Season,1998-04-11,Columbus Crew,New England,Ohio Stadium,10121,3,2,Columbus Crew,1998
22,Regular Season,1998-04-11,D.C. United,Colorado Rapids,Robert F. Kennedy Memorial Stadium,14009,3,3,D.C. United,1998
23,Regular Season,1998-04-11,MetroStars,LA Galaxy,Giants Stadium,29380,2,3,LA Galaxy,1998
25,Regular Season,1998-04-17,Chicago Fire,MetroStars,Soldier Field,24661,0,1,MetroStars,1998
26,Regular Season,1998-04-18,Dallas Burn,San Jose,Cotton Bowl,12939,1,2,San Jose,1998
27,Regular Season,1998-04-18,Columbus Crew,Miami Fusion,Ohio Stadium,12636,5,1,Columbus Crew,1998
28,Regular Season,1998-04-18,KC Wizards,LA Galaxy,Arrowhead Stadium,11500,1,2,LA Galaxy,1998
29,Regular Season,1998-04-18,New England,D.C. United,Foxboro Stadium,24133,1,1,New England,1998
30,Regular Season,1998-04-19,Colorado Rapids,Tampa Bay,Mile High Stadium,7842,3,0,Colorado Rapids,1998
31,Regular Season,1998-04-25,Colorado Rapids,Chicago Fire,Mile High Stadium,10736,4,4,Colorado Rapids,1998
32,Regular Season,1998-04-25,MetroStars,San Jose,Giants Stadium,17380,4,3,MetroStars,1998
33,Regular Season,1998-04-25,Dallas Burn,KC Wizards,Cotton Bowl,13134,3,1,Dallas Burn,1998
34,Regular Season,1998-04-25,New England,Miami Fusion,Foxboro Stadium,15326,3,0,New England,1998
35,Regular Season,1998-04-25,LA Galaxy,Tampa Bay,Rose Bowl,23121,5,1,LA Galaxy,1998
36,Regular Season,1998-04-26,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,11338,1,1,D.C. United,1998
37,Regular Season,1998-04-29,KC Wizards,LA Galaxy,Arrowhead Stadium,4406,0,2,LA Galaxy,1998
38,Regular Season,1998-04-29,D.C. United,San Jose,Robert F. Kennedy Memorial Stadium,9755,3,1,D.C. United,1998
39,Regular Season,1998-04-30,Tampa Bay,Columbus Crew,Houlihan's Stadium,4892,0,1,Columbus Crew,1998
40,Regular Season,1998-05-02,Miami Fusion,Colorado Rapids,Lockhart Stadium,10096,3,2,Miami Fusion,1998
41,Regular Season,1998-05-02,Chicago Fire,D.C. United,Soldier Field,27136,1,3,D.C. United,1998
42,Regular Season,1998-05-03,San Jose,New England,CEFCU Stadium,13563,1,3,New England,1998
43,Regular Season,1998-05-03,Tampa Bay,MetroStars,Houlihan's Stadium,6142,0,1,MetroStars,1998
44,Regular Season,1998-05-06,LA Galaxy,Colorado Rapids,Rose Bowl,12013,7,4,LA Galaxy,1998
45,Regular Season,1998-05-06,MetroStars,Dallas Burn,Giants Stadium,10300,0,1,Dallas Burn,1998
46,Regular Season,1998-05-09,Miami Fusion,Columbus Crew,Lockhart Stadium,9010,2,0,Miami Fusion,1998
47,Regular Season,1998-05-09,Colorado Rapids,San Jose,Mile High Stadium,11543,2,3,San Jose,1998
48,Regular Season,1998-05-09,D.C. United,MetroStars,Robert F. Kennedy Memorial Stadium,17027,2,0,D.C. United,1998
49,Regular Season,1998-05-10,New England,Tampa Bay,Foxboro Stadium,14723,4,3,New England,1998
51,Regular Season,1998-05-13,Tampa Bay,KC Wizards,Houlihan's Stadium,4473,2,1,Tampa Bay,1998
52,Regular Season,1998-05-13,D.C. United,New England,Robert F. Kennedy Memorial Stadium,14442,3,2,D.C. United,1998
53,Regular Season,1998-05-16,San Jose,Miami Fusion,CEFCU Stadium,23861,2,0,San Jose,1998
54,Regular Season,1998-05-16,MetroStars,D.C. United,Giants Stadium,15322,4,3,MetroStars,1998
55,Regular Season,1998-05-16,Tampa Bay,Chicago Fire,Houlihan's Stadium,6391,1,2,Chicago Fire,1998
56,Regular Season,1998-05-16,New England,KC Wizards,Foxboro Stadium,20613,1,3,KC Wizards,1998
57,Regular Season,1998-05-16,Dallas Burn,Colorado Rapids,Cotton Bowl,15280,2,1,Dallas Burn,1998
58,Regular Season,1998-05-17,Columbus Crew,LA Galaxy,Ohio Stadium,10854,2,4,LA Galaxy,1998
59,Regular Season,1998-05-20,Chicago Fire,LA Galaxy,Soldier Field,10520,3,1,Chicago Fire,1998
60,Regular Season,1998-05-20,Dallas Burn,KC Wizards,Cotton Bowl,9197,1,1,KC Wizards,1998
61,Regular Season,1998-05-22,New England,Columbus Crew,Foxboro Stadium,14302,0,2,Columbus Crew,1998
62,Regular Season,1998-05-23,D.C. United,Tampa Bay,Robert F. Kennedy Memorial Stadium,16991,3,2,D.C. United,1998
63,Regular Season,1998-05-23,MetroStars,Miami Fusion,Giants Stadium,56404,4,2,MetroStars,1998
64,Regular Season,1998-05-23,KC Wizards,San Jose,Arrowhead Stadium,10333,0,1,San Jose,1998
65,Regular Season,1998-05-23,LA Galaxy,Dallas Burn,Rose Bowl,21173,4,1,LA Galaxy,1998
66,Regular Season,1998-05-23,Chicago Fire,Colorado Rapids,Soldier Field,23789,5,0,Chicago Fire,1998
67,Regular Season,1998-05-27,KC Wizards,Columbus Crew,Arrowhead Stadium,5027,1,1,KC Wizards,1998
68,Regular Season,1998-05-28,Colorado Rapids,Miami Fusion,Mile High Stadium,6954,3,0,Colorado Rapids,1998
69,Regular Season,1998-05-30,Columbus Crew,San Jose,Ohio Stadium,10903,4,1,Columbus Crew,1998
70,Regular Season,1998-05-30,Tampa Bay,D.C. United,Houlihan's Stadium,8324,1,1,D.C. United,1998
71,Regular Season,1998-05-30,LA Galaxy,Chicago Fire,Rose Bowl,28241,1,1,Chicago Fire,1998
72,Regular Season,1998-05-31,Colorado Rapids,KC Wizards,Mile High Stadium,11273,2,1,Colorado Rapids,1998
73,Regular Season,1998-05-31,Dallas Burn,Miami Fusion,Cotton Bowl,10101,2,0,Dallas Burn,1998
74,Regular Season,1998-05-31,New England,MetroStars,Foxboro Stadium,18692,1,1,MetroStars,1998
75,Regular Season,1998-06-03,San Jose,D.C. United,CEFCU Stadium,10191,0,4,D.C. United,1998
77,Regular Season,1998-06-03,MetroStars,Tampa Bay,Giants Stadium,8826,1,2,Tampa Bay,1998
78,Regular Season,1998-06-04,Dallas Burn,LA Galaxy,Cotton Bowl,10047,1,8,LA Galaxy,1998
79,Regular Season,1998-06-06,KC Wizards,Tampa Bay,Arrowhead Stadium,10067,1,0,KC Wizards,1998
80,Regular Season,1998-06-06,Colorado Rapids,San Jose,Mile High Stadium,18473,2,0,Colorado Rapids,1998
81,Regular Season,1998-06-06,Chicago Fire,Columbus Crew,Soldier Field,19801,2,0,Chicago Fire,1998
82,Regular Season,1998-06-07,Miami Fusion,MetroStars,Lockhart Stadium,9073,1,2,MetroStars,1998
83,Regular Season,1998-06-07,LA Galaxy,New England,Rose Bowl,38383,5,1,LA Galaxy,1998
84,Regular Season,1998-06-07,D.C. United,Dallas Burn,Robert F. Kennedy Memorial Stadium,13454,4,4,Dallas Burn,1998
85,Regular Season,1998-06-11,Chicago Fire,San Jose,Soldier Field,7598,5,2,Chicago Fire,1998
86,Regular Season,1998-06-13,MetroStars,Miami Fusion,Giants Stadium,15215,3,1,MetroStars,1998
87,Regular Season,1998-06-13,Columbus Crew,D.C. United,Ohio Stadium,13347,3,3,D.C. United,1998
88,Regular Season,1998-06-14,New England,Chicago Fire,Foxboro Stadium,17054,1,3,Chicago Fire,1998
89,Regular Season,1998-06-17,Chicago Fire,Dallas Burn,Soldier Field,9638,1,0,Chicago Fire,1998
90,Regular Season,1998-06-18,LA Galaxy,Colorado Rapids,Rose Bowl,9741,2,1,LA Galaxy,1998
91,Regular Season,1998-06-20,Columbus Crew,MetroStars,Ohio Stadium,11301,2,1,Columbus Crew,1998
92,Regular Season,1998-06-21,Dallas Burn,Tampa Bay,Cotton Bowl,10238,0,1,Tampa Bay,1998
93,Regular Season,1998-06-24,MetroStars,New England,Giants Stadium,10310,5,3,MetroStars,1998
94,Regular Season,1998-06-24,Chicago Fire,KC Wizards,Soldier Field,13396,4,1,Chicago Fire,1998
95,Regular Season,1998-06-25,Colorado Rapids,D.C. United,Mile High Stadium,9132,3,1,Colorado Rapids,1998
96,Regular Season,1998-06-27,Miami Fusion,Tampa Bay,Lockhart Stadium,8343,1,1,Miami Fusion,1998
97,Regular Season,1998-06-27,San Jose,LA Galaxy,CEFCU Stadium,22694,1,2,LA Galaxy,1998
98,Regular Season,1998-06-27,New England,Dallas Burn,Foxboro Stadium,18206,3,3,Dallas Burn,1998
99,Regular Season,1998-07-01,Chicago Fire,Dallas Burn,Soldier Field,13615,4,1,Chicago Fire,1998
100,Regular Season,1998-07-01,KC Wizards,New England,Arrowhead Stadium,5304,1,0,KC Wizards,1998
101,Regular Season,1998-07-02,D.C. United,Miami Fusion,Robert F. Kennedy Memorial Stadium,13030,3,1,D.C. United,1998
103,Regular Season,1998-07-03,San Jose,Columbus Crew,CEFCU Stadium,10326,1,1,San Jose,1998
104,Regular Season,1998-07-04,Colorado Rapids,MetroStars,Mile High Stadium,46722,1,0,Colorado Rapids,1998
105,Regular Season,1998-07-04,Dallas Burn,Chicago Fire,Cotton Bowl,12372,0,1,Chicago Fire,1998
106,Regular Season,1998-07-04,Tampa Bay,New England,Houlihan's Stadium,22704,2,3,New England,1998
107,Regular Season,1998-07-04,LA Galaxy,KC Wizards,Rose Bowl,53655,2,0,LA Galaxy,1998
108,Regular Season,1998-07-09,Columbus Crew,Chicago Fire,Ohio Stadium,10091,3,0,Columbus Crew,1998
109,Regular Season,1998-07-10,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,23631,3,0,D.C. United,1998
110,Regular Season,1998-07-11,KC Wizards,Dallas Burn,Arrowhead Stadium,10053,2,0,KC Wizards,1998
111,Regular Season,1998-07-11,Colorado Rapids,New England,Mile High Stadium,8996,2,1,Colorado Rapids,1998
112,Regular Season,1998-07-11,MetroStars,Tampa Bay,Giants Stadium,14322,1,2,Tampa Bay,1998
113,Regular Season,1998-07-15,Tampa Bay,LA Galaxy,Houlihan's Stadium,6560,1,3,LA Galaxy,1998
114,Regular Season,1998-07-15,Miami Fusion,San Jose,Lockhart Stadium,8078,2,2,Miami Fusion,1998
115,Regular Season,1998-07-15,New England,D.C. United,Foxboro Stadium,17206,0,1,D.C. United,1998
116,Regular Season,1998-07-18,LA Galaxy,Miami Fusion,Rose Bowl,16882,2,2,Miami Fusion,1998
117,Regular Season,1998-07-18,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,16779,4,1,D.C. United,1998
118,Regular Season,1998-07-18,San Jose,Tampa Bay,CEFCU Stadium,10136,0,1,Tampa Bay,1998
119,Regular Season,1998-07-18,Dallas Burn,New England,Cotton Bowl,10073,1,3,New England,1998
120,Regular Season,1998-07-19,KC Wizards,Colorado Rapids,Arrowhead Stadium,5458,4,1,KC Wizards,1998
121,Regular Season,1998-07-19,MetroStars,Columbus Crew,Giants Stadium,13826,3,0,MetroStars,1998
122,Regular Season,1998-07-25,Columbus Crew,Dallas Burn,Ohio Stadium,15628,1,2,Dallas Burn,1998
123,Regular Season,1998-07-25,San Jose,KC Wizards,CEFCU Stadium,10182,1,1,San Jose,1998
124,Regular Season,1998-07-25,MetroStars,Chicago Fire,Giants Stadium,15130,3,2,MetroStars,1998
125,Regular Season,1998-07-25,LA Galaxy,D.C. United,Rose Bowl,26873,0,1,D.C. United,1998
126,Regular Season,1998-07-25,Tampa Bay,Colorado Rapids,Houlihan's Stadium,10088,2,3,Colorado Rapids,1998
127,Regular Season,1998-07-26,New England,Miami Fusion,Foxboro Stadium,18337,1,2,Miami Fusion,1998
129,Regular Season,1998-07-29,New England,Colorado Rapids,Foxboro Stadium,13074,1,3,Colorado Rapids,1998
130,Regular Season,1998-07-29,Dallas Burn,LA Galaxy,Cotton Bowl,9720,3,0,Dallas Burn,1998
131,Regular Season,1998-07-29,D.C. United,Tampa Bay,Robert F. Kennedy Memorial Stadium,11062,2,2,D.C. United,1998
132,Regular Season,1998-07-29,MetroStars,KC Wizards,Giants Stadium,10624,2,2,MetroStars,1998
133,Regular Season,1998-07-29,San Jose,Chicago Fire,CEFCU Stadium,12299,3,0,San Jose,1998
134,Regular Season,1998-07-29,Miami Fusion,Columbus Crew,Lockhart Stadium,8182,3,2,Miami Fusion,1998
135,Regular Season,1998-08-05,Colorado Rapids,LA Galaxy,Mile High Stadium,9342,1,6,LA Galaxy,1998
136,Regular Season,1998-08-05,New England,San Jose,Foxboro Stadium,14163,3,0,New England,1998
137,Regular Season,1998-08-06,Tampa Bay,Miami Fusion,Houlihan's Stadium,6511,3,1,Tampa Bay,1998
138,Regular Season,1998-08-07,Dallas Burn,D.C. United,Cotton Bowl,9437,0,1,D.C. United,1998
139,Regular Season,1998-08-08,Columbus Crew,New England,Ohio Stadium,13712,6,1,Columbus Crew,1998
140,Regular Season,1998-08-08,KC Wizards,Colorado Rapids,Arrowhead Stadium,9380,3,1,KC Wizards,1998
141,Regular Season,1998-08-08,Chicago Fire,LA Galaxy,Soldier Field,37122,1,2,LA Galaxy,1998
142,Regular Season,1998-08-09,San Jose,MetroStars,CEFCU Stadium,9102,5,1,San Jose,1998
143,Regular Season,1998-08-12,MetroStars,Columbus Crew,Giants Stadium,12117,3,1,MetroStars,1998
144,Regular Season,1998-08-13,LA Galaxy,KC Wizards,Rose Bowl,10291,3,0,LA Galaxy,1998
145,Regular Season,1998-08-14,Tampa Bay,New England,Houlihan's Stadium,8429,1,1,New England,1998
146,Regular Season,1998-08-15,Chicago Fire,San Jose,Soldier Field,16610,2,1,Chicago Fire,1998
147,Regular Season,1998-08-15,Miami Fusion,MetroStars,Lockhart Stadium,10271,3,1,Miami Fusion,1998
148,Regular Season,1998-08-15,Colorado Rapids,Dallas Burn,Mile High Stadium,8321,0,1,Dallas Burn,1998
149,Regular Season,1998-08-16,Columbus Crew,KC Wizards,Ohio Stadium,11922,5,3,Columbus Crew,1998
150,Regular Season,1998-08-18,MetroStars,Colorado Rapids,Giants Stadium,10217,4,1,MetroStars,1998
151,Regular Season,1998-08-19,Miami Fusion,Dallas Burn,Lockhart Stadium,7051,2,1,Miami Fusion,1998
152,Regular Season,1998-08-21,Colorado Rapids,Chicago Fire,Mile High Stadium,24450,0,2,Chicago Fire,1998
153,Regular Season,1998-08-22,Columbus Crew,Tampa Bay,Ohio Stadium,15110,3,1,Columbus Crew,1998
155,Regular Season,1998-08-22,D.C. United,MetroStars,Robert F. Kennedy Memorial Stadium,16729,2,1,D.C. United,1998
156,Regular Season,1998-08-22,San Jose,Dallas Burn,CEFCU Stadium,11706,1,1,San Jose,1998
157,Regular Season,1998-08-22,New England,LA Galaxy,Foxboro Stadium,24143,1,5,LA Galaxy,1998
158,Regular Season,1998-08-23,KC Wizards,Miami Fusion,Arrowhead Stadium,8283,2,0,KC Wizards,1998
159,Regular Season,1998-08-26,KC Wizards,D.C. United,Arrowhead Stadium,6401,1,2,D.C. United,1998
160,Regular Season,1998-08-29,Tampa Bay,D.C. United,Houlihan's Stadium,12670,2,2,Tampa Bay,1998
161,Regular Season,1998-08-29,Dallas Burn,MetroStars,Cotton Bowl,11235,2,0,Dallas Burn,1998
162,Regular Season,1998-08-29,San Jose,Colorado Rapids,CEFCU Stadium,15101,1,3,Colorado Rapids,1998
163,Regular Season,1998-08-29,KC Wizards,Chicago Fire,Arrowhead Stadium,8621,2,2,Chicago Fire,1998
164,Regular Season,1998-08-29,LA Galaxy,Columbus Crew,Rose Bowl,19633,0,3,Columbus Crew,1998
165,Regular Season,1998-08-30,Miami Fusion,New England,Lockhart Stadium,6127,3,2,Miami Fusion,1998
166,Regular Season,1998-09-02,MetroStars,New England,Giants Stadium,10826,0,2,New England,1998
167,Regular Season,1998-09-02,LA Galaxy,Dallas Burn,Rose Bowl,9113,3,0,LA Galaxy,1998
168,Regular Season,1998-09-02,Colorado Rapids,KC Wizards,Mile High Stadium,5485,3,2,Colorado Rapids,1998
169,Regular Season,1998-09-02,Chicago Fire,Miami Fusion,Soldier Field,11319,3,2,Chicago Fire,1998
170,Regular Season,1998-09-03,Tampa Bay,San Jose,Houlihan's Stadium,5880,2,1,Tampa Bay,1998
171,Regular Season,1998-09-05,Miami Fusion,LA Galaxy,Lockhart Stadium,14731,3,5,LA Galaxy,1998
172,Regular Season,1998-09-05,KC Wizards,San Jose,Arrowhead Stadium,6755,5,1,KC Wizards,1998
173,Regular Season,1998-09-06,Columbus Crew,MetroStars,Ohio Stadium,13598,4,3,Columbus Crew,1998
174,Regular Season,1998-09-09,Columbus Crew,Miami Fusion,Ohio Stadium,9305,1,0,Columbus Crew,1998
175,Regular Season,1998-09-10,Dallas Burn,Chicago Fire,Cotton Bowl,9745,3,2,Dallas Burn,1998
176,Regular Season,1998-09-12,New England,Columbus Crew,Foxboro Stadium,35462,2,0,New England,1998
177,Regular Season,1998-09-13,Dallas Burn,San Jose,Cotton Bowl,10325,1,3,San Jose,1998
178,Regular Season,1998-09-13,Chicago Fire,Colorado Rapids,Soldier Field,15014,3,1,Chicago Fire,1998
179,Regular Season,1998-09-13,Miami Fusion,D.C. United,Lockhart Stadium,8255,4,3,Miami Fusion,1998
181,Regular Season,1998-09-13,Tampa Bay,MetroStars,Houlihan's Stadium,27957,2,1,Tampa Bay,1998
182,Regular Season,1998-09-16,Columbus Crew,Colorado Rapids,Ohio Stadium,9166,2,4,Colorado Rapids,1998
183,Regular Season,1998-09-16,San Jose,LA Galaxy,CEFCU Stadium,15893,0,0,LA Galaxy,1998
184,Regular Season,1998-09-16,MetroStars,D.C. United,Giants Stadium,14117,0,5,D.C. United,1998
185,Regular Season,1998-09-17,Chicago Fire,KC Wizards,Soldier Field,8283,1,0,Chicago Fire,1998
186,Regular Season,1998-09-19,D.C. United,Miami Fusion,Robert F. Kennedy Memorial Stadium,23069,1,3,Miami Fusion,1998
187,Regular Season,1998-09-19,KC Wizards,Dallas Burn,Arrowhead Stadium,13146,0,1,Dallas Burn,1998
188,Regular Season,1998-09-19,Colorado Rapids,Columbus Crew,Mile High Stadium,23452,2,1,Colorado Rapids,1998
189,Regular Season,1998-09-19,New England,Tampa Bay,Foxboro Stadium,16807,3,0,New England,1998
190,Regular Season,1998-09-20,LA Galaxy,San Jose,Rose Bowl,11123,0,1,San Jose,1998
191,Regular Season,1998-09-23,Chicago Fire,New England,Soldier Field,11244,3,2,Chicago Fire,1998
192,Regular Season,1998-09-24,Columbus Crew,Tampa Bay,Ohio Stadium,14552,3,4,Tampa Bay,1998
193,Regular Season,1998-09-26,New England,MetroStars,Foxboro Stadium,24763,0,0,MetroStars,1998
194,Regular Season,1998-09-26,Colorado Rapids,Dallas Burn,Mile High Stadium,15022,3,1,Colorado Rapids,1998
195,Regular Season,1998-09-27,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,14440,2,2,D.C. United,1998
196,Regular Season,1998-09-27,LA Galaxy,Chicago Fire,Rose Bowl,20105,1,0,LA Galaxy,1998
197,Regular Season,1998-09-27,San Jose,KC Wizards,CEFCU Stadium,18362,2,0,San Jose,1998
198,Regular Season,1998-09-27,Miami Fusion,Tampa Bay,Lockhart Stadium,7849,1,3,Tampa Bay,1998
199,Conference Semifinals,1998-09-30,D.C. United,Miami Fusion,Robert F. Kennedy Memorial Stadium,15187,2,1,D.C. United,1998
200,Conference Semifinals,1998-09-30,Columbus Crew,MetroStars,Ohio Stadium,10996,5,3,Columbus Crew,1998
201,Conference Semifinals,1998-10-01,Chicago Fire,Colorado Rapids,Soldier Field,12610,1,1,Chicago Fire,1998
202,Conference Semifinals,1998-10-01,LA Galaxy,Dallas Burn,Rose Bowl,10047,6,1,LA Galaxy,1998
203,Conference Semifinals,1998-10-03,MetroStars,Columbus Crew,Giants Stadium,11686,1,1,Columbus Crew,1998
204,Conference Semifinals,1998-10-04,Miami Fusion,D.C. United,Lockhart Stadium,13128,0,0,D.C. United,1998
205,Conference Semifinals,1998-10-04,Dallas Burn,LA Galaxy,Cotton Bowl,8130,2,3,LA Galaxy,1998
207,Conference Semifinals,1998-10-05,Colorado Rapids,Chicago Fire,Mile High Stadium,6582,0,1,Chicago Fire,1998
208,Conference Finals,1998-10-10,LA Galaxy,Chicago Fire,Rose Bowl,25107,0,1,Chicago Fire,1998
209,Conference Finals,1998-10-11,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,17755,2,0,D.C. United,1998
210,Conference Finals,1998-10-16,Chicago Fire,LA Galaxy,Soldier Field,32744,1,1,Chicago Fire,1998
211,Conference Finals,1998-10-18,Columbus Crew,D.C. United,Ohio Stadium,13193,4,2,Columbus Crew,1998
212,Conference Finals,1998-10-21,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,21453,3,0,D.C. United,1998
213,MLS Cup '98,1998-10-25,Chicago Fire,D.C. United,Rose Bowl (Neutral Site),51350,2,0,Chicago Fire,1998
