,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,1998-03-15,Miami Fusion,D.C. United,Lockhart Stadium,20450,0,2,D.C. United,1998
1,Regular Season,1998-03-21,D.C. United,KC Wizards,Robert F. Kennedy Memorial Stadium,18108,3,2,D.C. United,1998
2,Regular Season,1998-03-21,LA Galaxy,San Jose,Rose Bowl,36281,3,3,LA Galaxy,1998
3,Regular Season,1998-03-21,Tampa Bay,Columbus Crew,Houlihan's Stadium,16122,1,2,Columbus Crew,1998
4,Regular Season,1998-03-21,Miami Fusion,Chicago Fire,Lockhart Stadium,14653,0,2,Chicago Fire,1998
5,Regular Season,1998-03-21,Dallas Burn,Colorado Rapids,Cotton Bowl,11103,1,1,Dallas Burn,1998
6,Regular Season,1998-03-26,Tampa Bay,Miami Fusion,Houlihan's Stadium,6036,0,0,Miami Fusion,1998
7,Regular Season,1998-03-28,San Jose,Colorado Rapids,CEFCU Stadium,15028,2,2,Colorado Rapids,1998
8,Regular Season,1998-03-28,LA Galaxy,MetroStars,Rose Bowl,11921,3,2,LA Galaxy,1998
9,Regular Season,1998-03-29,Dallas Burn,Columbus Crew,Cotton Bowl,10216,2,1,Dallas Burn,1998
10,Regular Season,1998-03-29,D.C. United,New England,Robert F. Kennedy Memorial Stadium,22263,1,1,D.C. United,1998
11,Regular Season,1998-04-04,KC Wizards,MetroStars,Arrowhead Stadium,10299,2,0,KC Wizards,1998
12,Regular Season,1998-04-04,Columbus Crew,D.C. United,Ohio Stadium,14148,2,1,Columbus Crew,1998
13,Regular Season,1998-04-04,Miami Fusion,New England,Lockhart Stadium,11132,2,1,Miami Fusion,1998
14,Regular Season,1998-04-04,Chicago Fire,Tampa Bay,Soldier Field,36444,2,0,Chicago Fire,1998
15,Regular Season,1998-04-04,Colorado Rapids,LA Galaxy,Mile High Stadium,19252,0,1,LA Galaxy,1998
16,Regular Season,1998-04-05,San Jose,Dallas Burn,CEFCU Stadium,10069,2,2,Dallas Burn,1998
17,Regular Season,1998-04-08,KC Wizards,Chicago Fire,Arrowhead Stadium,4130,1,0,KC Wizards,1998
18,Regular Season,1998-04-11,Tampa Bay,Dallas Burn,Houlihan's Stadium,11820,3,1,Tampa Bay,1998
19,Regular Season,1998-04-11,Miami Fusion,KC Wizards,Lockhart Stadium,11247,1,1,Miami Fusion,1998
