,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2009-03-19,Seattle,NY Red Bulls,CenturyLink Field,0,3,0,Seattle,2009
1,Regular Season,2009-03-21,San Jose,New England,Stevens Stadium,0,0,1,New England,2009
2,Regular Season,2009-03-21,Chivas USA,Colorado Rapids,Dignity Health Sports Park,0,2,1,Chivas USA,2009
3,Regular Season,2009-03-21,FC Dallas,Chicago Fire,Toyota Stadium,0,1,3,Chicago Fire,2009
4,Regular Season,2009-03-21,Houston Dynamo,Columbus Crew,Robertson Stadium,0,1,1,,2009
5,Regular Season,2009-03-21,KC Wizards,Toronto FC,JustBats Field at T-Bones Stadium,0,2,3,Toronto FC,2009
6,Regular Season,2009-03-22,LA Galaxy,D.C. United,Dignity Health Sports Park,0,2,2,,2009
7,Regular Season,2009-03-28,NY Red Bulls,New England,Giants Stadium,0,1,1,,2009
8,Regular Season,2009-03-28,Seattle,Real Salt Lake,CenturyLink Field,0,2,0,Seattle,2009
9,Regular Season,2009-03-28,San Jose,Houston Dynamo,Stevens Stadium,0,3,2,San Jose,2009
10,Regular Season,2009-03-28,Columbus Crew,Toronto FC,MAPFRE Stadium,0,1,1,,2009
11,Regular Season,2009-03-28,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,0,1,1,,2009
12,Regular Season,2009-03-28,Colorado Rapids,KC Wizards,Dick's Sporting Goods Park,0,2,1,Colorado Rapids,2009
13,Regular Season,2009-03-29,FC Dallas,Chivas USA,Toyota Stadium,0,0,2,Chivas USA,2009
14,Regular Season,2009-04-02,Real Salt Lake,Columbus Crew,Rio Tinto Stadium,0,4,1,Real Salt Lake,2009
15,Regular Season,2009-04-04,LA Galaxy,Colorado Rapids,Dignity Health Sports Park,0,2,3,Colorado Rapids,2009
16,Regular Season,2009-04-04,Toronto FC,Seattle,BMO Field,0,0,2,Seattle,2009
17,Regular Season,2009-04-04,New England,FC Dallas,Gillette Stadium,0,2,1,New England,2009
18,Regular Season,2009-04-04,D.C. United,Houston Dynamo,Robert F. Kennedy Memorial Stadium,0,1,0,D.C. United,2009
19,Regular Season,2009-04-05,Chivas USA,Columbus Crew,Dignity Health Sports Park,0,2,1,Chivas USA,2009
20,Regular Season,2009-04-05,KC Wizards,San Jose,JustBats Field at T-Bones Stadium,0,2,0,KC Wizards,2009
21,Regular Season,2009-04-05,Chicago Fire,NY Red Bulls,SeatGeek Stadium,0,1,0,Chicago Fire,2009
22,Regular Season,2009-04-11,Toronto FC,FC Dallas,BMO Field,0,1,1,,2009
23,Regular Season,2009-04-11,LA Galaxy,Chivas USA,Dignity Health Sports Park,0,0,0,,2009
25,Regular Season,2009-04-11,Houston Dynamo,NY Red Bulls,Robertson Stadium,0,0,0,,2009
26,Regular Season,2009-04-11,Seattle,KC Wizards,CenturyLink Field,0,0,1,KC Wizards,2009
27,Regular Season,2009-04-11,San Jose,Chicago Fire,Stevens Stadium,0,3,3,,2009
28,Regular Season,2009-04-11,Real Salt Lake,D.C. United,Rio Tinto Stadium,0,2,1,Real Salt Lake,2009
29,Regular Season,2009-04-11,Columbus Crew,Colorado Rapids,MAPFRE Stadium,0,1,1,,2009
30,Regular Season,2009-04-17,D.C. United,New England,Robert F. Kennedy Memorial Stadium,0,1,1,,2009
31,Regular Season,2009-04-18,San Jose,LA Galaxy,RingCentral Coliseum,0,1,1,,2009
32,Regular Season,2009-04-18,NY Red Bulls,Real Salt Lake,Giants Stadium,0,2,0,NY Red Bulls,2009
33,Regular Season,2009-04-18,Chicago Fire,KC Wizards,SeatGeek Stadium,0,2,2,,2009
34,Regular Season,2009-04-18,Chivas USA,Seattle,Dignity Health Sports Park,0,2,0,Chivas USA,2009
35,Regular Season,2009-04-19,FC Dallas,Toronto FC,Toyota Stadium,0,3,2,FC Dallas,2009
36,Regular Season,2009-04-19,Houston Dynamo,Colorado Rapids,Robertson Stadium,0,1,0,Houston Dynamo,2009
37,Regular Season,2009-04-22,Toronto FC,Chivas USA,BMO Field,0,1,0,Toronto FC,2009
38,Regular Season,2009-04-23,KC Wizards,NY Red Bulls,JustBats Field at T-Bones Stadium,0,1,0,KC Wizards,2009
39,Regular Season,2009-04-25,Chivas USA,FC Dallas,Dignity Health Sports Park,0,2,0,Chivas USA,2009
40,Regular Season,2009-04-25,Seattle,San Jose,CenturyLink Field,0,2,0,Seattle,2009
41,Regular Season,2009-04-25,Columbus Crew,Chicago Fire,MAPFRE Stadium,0,2,2,,2009
42,Regular Season,2009-04-25,Real Salt Lake,New England,Rio Tinto Stadium,0,6,0,Real Salt Lake,2009
43,Regular Season,2009-04-25,Colorado Rapids,LA Galaxy,Dick's Sporting Goods Park,0,1,1,,2009
44,Regular Season,2009-04-26,Toronto FC,KC Wizards,BMO Field,0,1,0,Toronto FC,2009
45,Regular Season,2009-04-26,NY Red Bulls,D.C. United,Giants Stadium,0,2,3,D.C. United,2009
46,Regular Season,2009-05-02,LA Galaxy,NY Red Bulls,Dignity Health Sports Park,0,1,0,LA Galaxy,2009
47,Regular Season,2009-05-02,Toronto FC,Columbus Crew,BMO Field,0,1,1,,2009
48,Regular Season,2009-05-02,Chicago Fire,Seattle,SeatGeek Stadium,0,1,1,,2009
