,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2004-04-03,Dallas Burn,Colorado Rapids,Cotton Bowl,0,1,1,,2004
1,Regular Season,2004-04-03,Columbus Crew,MetroStars,MAPFRE Stadium,0,1,3,MetroStars,2004
2,Regular Season,2004-04-03,D.C. United,San Jose,Robert F. Kennedy Memorial Stadium,0,2,1,D.C. United,2004
3,Regular Season,2004-04-03,KC Wizards,Chicago Fire,Arrowhead Stadium,0,0,0,,2004
4,Regular Season,2004-04-03,LA Galaxy,New England,Dignity Health Sports Park,0,3,2,LA Galaxy,2004
5,Regular Season,2004-04-10,LA Galaxy,D.C. United,Dignity Health Sports Park,0,1,1,,2004
6,Regular Season,2004-04-10,San Jose,Chicago Fire,CEFCU Stadium,0,0,0,,2004
7,Regular Season,2004-04-17,Chicago Fire,Dallas Burn,Soldier Field,0,0,2,Dallas Burn,2004
8,Regular Season,2004-04-17,MetroStars,D.C. United,Giants Stadium,0,3,2,MetroStars,2004
9,Regular Season,2004-04-17,Colorado Rapids,LA Galaxy,Empower Field at Mile High,0,1,1,,2004
10,Regular Season,2004-04-17,New England,San Jose,Gillette Stadium,0,1,3,San Jose,2004
11,Regular Season,2004-04-17,KC Wizards,Columbus Crew,Arrowhead Stadium,0,1,0,KC Wizards,2004
12,Regular Season,2004-04-24,LA Galaxy,Columbus Crew,Dignity Health Sports Park,0,2,0,LA Galaxy,2004
13,Regular Season,2004-04-24,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,0,0,1,Chicago Fire,2004
14,Regular Season,2004-04-24,Dallas Burn,KC Wizards,Cotton Bowl,0,1,0,Dallas Burn,2004
15,Regular Season,2004-04-24,Colorado Rapids,San Jose,Empower Field at Mile High,0,1,0,Colorado Rapids,2004
16,Regular Season,2004-04-25,MetroStars,New England,Giants Stadium,0,1,1,,2004
17,Regular Season,2004-05-01,San Jose,D.C. United,CEFCU Stadium,0,1,1,,2004
18,Regular Season,2004-05-01,Columbus Crew,Dallas Burn,MAPFRE Stadium,0,0,0,,2004
19,Regular Season,2004-05-01,KC Wizards,Colorado Rapids,Arrowhead Stadium,0,2,0,KC Wizards,2004
20,Regular Season,2004-05-01,Chicago Fire,MetroStars,Soldier Field,0,3,0,Chicago Fire,2004
21,Regular Season,2004-05-01,New England,LA Galaxy,Gillette Stadium,0,2,1,New England,2004
22,Regular Season,2004-05-07,Colorado Rapids,New England,Empower Field at Mile High,0,0,0,,2004
23,Regular Season,2004-05-08,San Jose,MetroStars,CEFCU Stadium,0,5,5,,2004
25,Regular Season,2004-05-08,KC Wizards,Chicago Fire,Arrowhead Stadium,0,2,2,,2004
26,Regular Season,2004-05-08,Dallas Burn,LA Galaxy,Cotton Bowl,0,1,3,LA Galaxy,2004
27,Regular Season,2004-05-08,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,0,1,1,,2004
28,Regular Season,2004-05-15,Dallas Burn,San Jose,Cotton Bowl,0,1,2,San Jose,2004
29,Regular Season,2004-05-15,D.C. United,KC Wizards,Robert F. Kennedy Memorial Stadium,0,1,0,D.C. United,2004
30,Regular Season,2004-05-15,LA Galaxy,Colorado Rapids,Dignity Health Sports Park,0,1,1,,2004
31,Regular Season,2004-05-15,MetroStars,Chicago Fire,Giants Stadium,0,1,1,,2004
32,Regular Season,2004-05-15,Columbus Crew,New England,MAPFRE Stadium,0,1,0,Columbus Crew,2004
33,Regular Season,2004-05-19,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,0,2,4,LA Galaxy,2004
34,Regular Season,2004-05-22,Colorado Rapids,D.C. United,Empower Field at Mile High,0,2,1,Colorado Rapids,2004
35,Regular Season,2004-05-22,KC Wizards,Dallas Burn,Arrowhead Stadium,0,2,0,KC Wizards,2004
36,Regular Season,2004-05-22,New England,MetroStars,Gillette Stadium,0,1,1,,2004
37,Regular Season,2004-05-22,San Jose,LA Galaxy,CEFCU Stadium,0,4,2,San Jose,2004
38,Regular Season,2004-05-23,Chicago Fire,Columbus Crew,Soldier Field,0,1,3,Columbus Crew,2004
39,Regular Season,2004-05-29,Chicago Fire,Colorado Rapids,Soldier Field,0,1,0,Chicago Fire,2004
40,Regular Season,2004-05-29,LA Galaxy,Dallas Burn,Dignity Health Sports Park,0,4,1,LA Galaxy,2004
41,Regular Season,2004-05-29,New England,D.C. United,Gillette Stadium,0,0,1,D.C. United,2004
42,Regular Season,2004-05-29,Columbus Crew,San Jose,MAPFRE Stadium,0,1,0,Columbus Crew,2004
43,Regular Season,2004-05-30,MetroStars,KC Wizards,Giants Stadium,0,1,0,MetroStars,2004
44,Regular Season,2004-06-02,KC Wizards,New England,Arrowhead Stadium,0,2,3,New England,2004
45,Regular Season,2004-06-05,MetroStars,Dallas Burn,Giants Stadium,0,0,2,Dallas Burn,2004
46,Regular Season,2004-06-05,LA Galaxy,KC Wizards,Dignity Health Sports Park,0,1,2,KC Wizards,2004
47,Regular Season,2004-06-05,Chicago Fire,D.C. United,Soldier Field,0,3,0,Chicago Fire,2004
48,Regular Season,2004-06-06,New England,Columbus Crew,Gillette Stadium,0,1,2,Columbus Crew,2004
49,Regular Season,2004-06-09,Colorado Rapids,KC Wizards,Empower Field at Mile High,0,0,1,KC Wizards,2004
51,Regular Season,2004-06-12,LA Galaxy,Chicago Fire,Dignity Health Sports Park,0,3,2,LA Galaxy,2004
52,Regular Season,2004-06-12,Columbus Crew,KC Wizards,MAPFRE Stadium,0,2,2,,2004
53,Regular Season,2004-06-12,Dallas Burn,New England,Cotton Bowl,0,3,1,Dallas Burn,2004
54,Regular Season,2004-06-12,D.C. United,Colorado Rapids,Robert F. Kennedy Memorial Stadium,0,0,0,,2004
55,Regular Season,2004-06-12,San Jose,MetroStars,CEFCU Stadium,0,3,1,San Jose,2004
56,Regular Season,2004-06-19,MetroStars,LA Galaxy,Giants Stadium,0,2,1,MetroStars,2004
57,Regular Season,2004-06-19,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,0,3,1,D.C. United,2004
58,Regular Season,2004-06-19,Colorado Rapids,Dallas Burn,Empower Field at Mile High,0,1,1,,2004
59,Regular Season,2004-06-19,Chicago Fire,San Jose,Soldier Field,0,1,1,,2004
60,Regular Season,2004-06-19,New England,KC Wizards,Gillette Stadium,0,1,3,KC Wizards,2004
61,Regular Season,2004-06-23,LA Galaxy,MetroStars,Dignity Health Sports Park,0,0,3,MetroStars,2004
62,Regular Season,2004-06-26,New England,MetroStars,Gillette Stadium,0,2,1,New England,2004
63,Regular Season,2004-06-26,Dallas Burn,D.C. United,Cotton Bowl,0,1,1,,2004
64,Regular Season,2004-06-26,Columbus Crew,Colorado Rapids,MAPFRE Stadium,0,1,2,Colorado Rapids,2004
65,Regular Season,2004-06-26,San Jose,KC Wizards,CEFCU Stadium,0,1,1,,2004
66,Regular Season,2004-06-27,Chicago Fire,LA Galaxy,Soldier Field,0,0,1,LA Galaxy,2004
67,Regular Season,2004-06-30,MetroStars,Colorado Rapids,Giants Stadium,0,2,3,Colorado Rapids,2004
68,Regular Season,2004-07-03,D.C. United,MetroStars,Robert F. Kennedy Memorial Stadium,0,6,2,D.C. United,2004
69,Regular Season,2004-07-03,Columbus Crew,Chicago Fire,MAPFRE Stadium,0,2,0,Columbus Crew,2004
70,Regular Season,2004-07-03,KC Wizards,Dallas Burn,Arrowhead Stadium,0,5,1,KC Wizards,2004
71,Regular Season,2004-07-04,Colorado Rapids,New England,Empower Field at Mile High,0,1,0,Colorado Rapids,2004
72,Regular Season,2004-07-04,LA Galaxy,San Jose,Dignity Health Sports Park,0,2,1,LA Galaxy,2004
73,Regular Season,2004-07-07,San Jose,Dallas Burn,CEFCU Stadium,0,1,2,Dallas Burn,2004
74,Regular Season,2004-07-10,Dallas Burn,Columbus Crew,Cotton Bowl,0,0,0,,2004
75,Regular Season,2004-07-10,MetroStars,San Jose,Giants Stadium,0,2,0,MetroStars,2004
77,Regular Season,2004-07-10,LA Galaxy,Colorado Rapids,Dignity Health Sports Park,0,2,0,LA Galaxy,2004
78,Regular Season,2004-07-10,KC Wizards,D.C. United,Arrowhead Stadium,0,1,0,KC Wizards,2004
79,Regular Season,2004-07-11,Chicago Fire,New England,Soldier Field,0,1,1,,2004
80,Regular Season,2004-07-14,Colorado Rapids,LA Galaxy,Empower Field at Mile High,0,0,0,,2004
81,Regular Season,2004-07-14,New England,Chicago Fire,Gillette Stadium,0,3,1,New England,2004
82,Regular Season,2004-07-17,Dallas Burn,KC Wizards,Cotton Bowl,0,0,1,KC Wizards,2004
83,Regular Season,2004-07-17,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,0,1,1,,2004
84,Regular Season,2004-07-17,San Jose,Colorado Rapids,CEFCU Stadium,0,3,1,San Jose,2004
85,Regular Season,2004-07-17,Columbus Crew,New England,MAPFRE Stadium,0,1,1,,2004
86,Regular Season,2004-07-17,Chicago Fire,MetroStars,Soldier Field,0,1,1,,2004
87,Regular Season,2004-07-24,KC Wizards,LA Galaxy,Arrowhead Stadium,0,2,2,,2004
88,Regular Season,2004-07-24,San Jose,New England,CEFCU Stadium,0,2,2,,2004
89,Regular Season,2004-07-24,Dallas Burn,D.C. United,Cotton Bowl,0,5,1,Dallas Burn,2004
90,Regular Season,2004-07-24,Colorado Rapids,Columbus Crew,Empower Field at Mile High,0,0,0,,2004
91,Regular Season,2004-07-24,MetroStars,Chicago Fire,Giants Stadium,0,2,1,MetroStars,2004
92,Regular Season,2004-07-28,KC Wizards,MetroStars,Arrowhead Stadium,0,1,2,MetroStars,2004
93,Regular Season,2004-07-28,Columbus Crew,Dallas Burn,MAPFRE Stadium,0,2,1,Columbus Crew,2004
94,Regular Season,2004-07-28,Colorado Rapids,Chicago Fire,Empower Field at Mile High,0,2,0,Colorado Rapids,2004
95,Regular Season,2004-08-07,Dallas Burn,Colorado Rapids,Cotton Bowl,0,1,0,Dallas Burn,2004
96,Regular Season,2004-08-07,San Jose,D.C. United,CEFCU Stadium,0,2,0,San Jose,2004
97,Regular Season,2004-08-07,New England,Columbus Crew,Gillette Stadium,0,2,2,,2004
98,Regular Season,2004-08-08,MetroStars,LA Galaxy,Giants Stadium,0,3,0,MetroStars,2004
99,Regular Season,2004-08-11,D.C. United,Colorado Rapids,Robert F. Kennedy Memorial Stadium,0,3,1,D.C. United,2004
100,Regular Season,2004-08-11,Dallas Burn,New England,Cotton Bowl,0,0,3,New England,2004
101,Regular Season,2004-08-11,Chicago Fire,San Jose,Soldier Field,0,2,1,Chicago Fire,2004
103,Regular Season,2004-08-14,D.C. United,New England,Robert F. Kennedy Memorial Stadium,0,2,2,,2004
104,Regular Season,2004-08-14,Chicago Fire,Colorado Rapids,Soldier Field,0,0,3,Colorado Rapids,2004
105,Regular Season,2004-08-14,KC Wizards,San Jose,Arrowhead Stadium,0,0,2,San Jose,2004
106,Regular Season,2004-08-14,LA Galaxy,Columbus Crew,Dignity Health Sports Park,0,0,0,,2004
107,Regular Season,2004-08-15,MetroStars,Dallas Burn,Giants Stadium,0,0,1,Dallas Burn,2004
108,Regular Season,2004-08-18,Columbus Crew,KC Wizards,MAPFRE Stadium,0,2,1,Columbus Crew,2004
109,Regular Season,2004-08-21,New England,KC Wizards,Gillette Stadium,0,1,2,KC Wizards,2004
110,Regular Season,2004-08-21,LA Galaxy,Chicago Fire,Dignity Health Sports Park,0,1,1,,2004
111,Regular Season,2004-08-21,Columbus Crew,D.C. United,MAPFRE Stadium,0,2,2,,2004
112,Regular Season,2004-08-21,San Jose,Dallas Burn,CEFCU Stadium,0,3,0,San Jose,2004
113,Regular Season,2004-08-21,Colorado Rapids,MetroStars,Empower Field at Mile High,0,1,0,Colorado Rapids,2004
114,Regular Season,2004-08-28,Dallas Burn,Chicago Fire,Cotton Bowl,0,4,1,Dallas Burn,2004
115,Regular Season,2004-08-28,San Jose,Colorado Rapids,CEFCU Stadium,0,0,0,,2004
116,Regular Season,2004-08-28,New England,D.C. United,Gillette Stadium,0,0,0,,2004
117,Regular Season,2004-08-29,MetroStars,Columbus Crew,Giants Stadium,0,1,1,,2004
118,Regular Season,2004-09-01,Chicago Fire,KC Wizards,Soldier Field,0,3,1,Chicago Fire,2004
119,Regular Season,2004-09-04,Columbus Crew,LA Galaxy,MAPFRE Stadium,0,3,1,Columbus Crew,2004
120,Regular Season,2004-09-04,New England,San Jose,Gillette Stadium,0,0,1,San Jose,2004
121,Regular Season,2004-09-04,KC Wizards,MetroStars,Arrowhead Stadium,0,1,0,KC Wizards,2004
