,Round,Date,Home,xGH,xGA,Away,Venue,Attendance,GHome,GAway,Winner,Season
16,Regular Season,2019-03-09,Real Salt Lake,1.4,1.1,Vancouver,Rio Tinto Stadium,17096,1,0,Real Salt Lake,2019
17,Regular Season,2019-03-09,San Jose,1.2,1.8,Minnesota Utd,Avaya Stadium,16411,0,3,Minnesota Utd,2019
18,Regular Season,2019-03-09,Seattle,1.9,0.7,Colorado Rapids,CenturyLink Field,37725,2,0,Seattle,2019
19,Regular Season,2019-03-10,Sporting KC,1.9,1.7,Philadelphia,Children's Mercy Park,18738,2,0,Sporting KC,2019
20,Regular Season,2019-03-10,NYCFC,0.7,0.9,D.C. United,Yankee Stadium,24361,0,0,,2019
21,Regular Season,2019-03-10,Atlanta Utd,0.6,0.7,FC Cincinnati,Mercedes-Benz Stadium,70382,1,1,,2019
22,Regular Season,2019-03-10,Los Angeles FC,3.5,0.6,Portland Timbers,Banc of California Stadium,22003,4,1,Los Angeles FC,2019
23,Regular Season,2019-03-16,Chicago Fire,1.9,3.3,Seattle,SeatGeek Stadium,10032,2,4,Seattle,2019
25,Regular Season,2019-03-16,Columbus Crew,0.8,0.6,FC Dallas,MAPFRE Stadium,9687,1,0,Columbus Crew,2019
26,Regular Season,2019-03-16,Houston Dynamo,3.8,1.2,Vancouver,BBVA Compass Stadium,13549,3,2,Houston Dynamo,2019
27,Regular Season,2019-03-16,NY Red Bulls,2.8,0.6,San Jose,Red Bull Arena,15621,4,1,NY Red Bulls,2019
28,Regular Season,2019-03-16,Orlando City,1.8,2.7,Montreal Impact,Exploria Stadium,22352,1,3,Montreal Impact,2019
29,Regular Season,2019-03-16,D.C. United,3.9,0.3,Real Salt Lake,Audi Field,17190,5,0,D.C. United,2019
30,Regular Season,2019-03-16,LA Galaxy,2.9,1.4,Minnesota Utd,Dignity Health Sports Park,21177,3,2,LA Galaxy,2019
31,Regular Season,2019-03-17,NYCFC,1.1,2.0,Los Angeles FC,Yankee Stadium,20339,2,2,,2019
32,Regular Season,2019-03-17,FC Cincinnati,1.7,1.1,Portland Timbers,Nippert Stadium,32250,3,0,FC Cincinnati,2019
33,Regular Season,2019-03-17,Atlanta Utd,1.2,1.5,Philadelphia,Mercedes-Benz Stadium,42651,1,1,,2019
34,Regular Season,2019-03-17,Toronto FC,2.2,1.0,New England,BMO Field,23271,3,2,Toronto FC,2019
35,Regular Season,2019-03-17,Colorado Rapids,1.6,1.0,Sporting KC,Dick's Sporting Goods Park,11037,1,1,,2019
36,Regular Season,2019-03-23,FC Dallas,2.0,1.2,Colorado Rapids,Toyota Stadium,14514,2,1,FC Dallas,2019
37,Regular Season,2019-03-23,Philadelphia,1.6,0.5,Columbus Crew,Subaru Park,15135,3,0,Philadelphia,2019
38,Regular Season,2019-03-23,NY Red Bulls,0.6,0.9,Orlando City,Red Bull Arena,15108,0,1,Orlando City,2019
39,Regular Season,2019-03-23,Los Angeles FC,1.0,0.8,Real Salt Lake,Banc of California Stadium,22023,2,1,Los Angeles FC,2019
40,Regular Season,2019-03-24,New England,1.7,1.5,FC Cincinnati,Gillette Stadium,10605,0,2,FC Cincinnati,2019
41,Regular Season,2019-03-29,Toronto FC,3.2,0.6,NYCFC,BMO Field,25447,4,0,Toronto FC,2019
42,Regular Season,2019-03-30,Chicago Fire,1.8,0.3,NY Red Bulls,SeatGeek Stadium,12013,1,0,Chicago Fire,2019
43,Regular Season,2019-03-30,New England,1.2,1.8,Minnesota Utd,Gillette Stadium,10657,2,1,New England,2019
44,Regular Season,2019-03-30,Sporting KC,4.1,1.1,Montreal Impact,Children's Mercy Park,18632,7,1,Sporting KC,2019
45,Regular Season,2019-03-30,San Jose,0.2,4.2,Los Angeles FC,Avaya Stadium,18000,0,5,Los Angeles FC,2019
46,Regular Season,2019-03-30,Columbus Crew,2.0,1.0,Atlanta Utd,MAPFRE Stadium,10973,2,0,Columbus Crew,2019
47,Regular Season,2019-03-30,FC Cincinnati,0.3,1.9,Philadelphia,Nippert Stadium,25867,0,2,Philadelphia,2019
48,Regular Season,2019-03-30,Colorado Rapids,1.8,1.7,Houston Dynamo,Dick's Sporting Goods Park,11061,1,4,Houston Dynamo,2019
49,Regular Season,2019-03-30,Real Salt Lake,0.4,1.4,FC Dallas,Rio Tinto Stadium,18220,2,4,FC Dallas,2019
51,Regular Season,2019-03-30,Vancouver,1.1,1.2,Seattle,BC Place,24803,0,0,,2019
52,Regular Season,2019-03-31,Orlando City,1.3,0.4,D.C. United,Exploria Stadium,22481,1,2,D.C. United,2019
53,Regular Season,2019-03-31,LA Galaxy,2.4,1.5,Portland Timbers,Dignity Health Sports Park,23820,2,1,LA Galaxy,2019
54,Regular Season,2019-04-05,Vancouver,1.6,1.4,LA Galaxy,BC Place,22120,0,2,LA Galaxy,2019
55,Regular Season,2019-04-06,NYCFC,0.6,0.3,Montreal Impact,Yankee Stadium,19353,0,0,,2019
56,Regular Season,2019-04-06,D.C. United,1.0,2.6,Los Angeles FC,Audi Field,20600,0,4,Los Angeles FC,2019
57,Regular Season,2019-04-06,Toronto FC,1.4,1.0,Chicago Fire,BMO Field,26256,2,2,,2019
58,Regular Season,2019-04-06,NY Red Bulls,0.7,1.0,Minnesota Utd,Red Bull Arena,15706,1,2,Minnesota Utd,2019
59,Regular Season,2019-04-06,Philadelphia,2.2,0.3,FC Dallas,Subaru Park,15844,2,1,Philadelphia,2019
60,Regular Season,2019-04-06,Orlando City,2.7,1.4,Colorado Rapids,Exploria Stadium,22450,4,3,Orlando City,2019
61,Regular Season,2019-04-06,Columbus Crew,0.6,0.8,New England,MAPFRE Stadium,10942,1,0,Columbus Crew,2019
62,Regular Season,2019-04-06,San Jose,3.4,1.2,Portland Timbers,Avaya Stadium,16233,3,0,San Jose,2019
63,Regular Season,2019-04-06,Seattle,1.0,0.7,Real Salt Lake,CenturyLink Field,37722,1,0,Seattle,2019
64,Regular Season,2019-04-07,FC Cincinnati,1.9,2.7,Sporting KC,Nippert Stadium,26023,1,1,,2019
65,Regular Season,2019-04-09,D.C. United,0.2,0.4,Montreal Impact,Audi Field,18116,0,0,,2019
66,Regular Season,2019-04-12,Chicago Fire,1.8,0.4,Vancouver,SeatGeek Stadium,10439,1,1,,2019
67,Regular Season,2019-04-13,Montreal Impact,0.7,1.2,Columbus Crew,Saputo Stadium,18634,1,0,Montreal Impact,2019
68,Regular Season,2019-04-13,Houston Dynamo,2.9,0.7,San Jose,BBVA Compass Stadium,14476,2,1,Houston Dynamo,2019
69,Regular Season,2019-04-13,Seattle,1.6,0.6,Toronto FC,CenturyLink Field,37722,3,2,Seattle,2019
70,Regular Season,2019-04-13,Minnesota Utd,1.6,1.0,NYCFC,Allianz Field,19796,3,3,,2019
71,Regular Season,2019-04-13,New England,0.3,2.8,Atlanta Utd,Gillette Stadium,15016,0,2,Atlanta Utd,2019
72,Regular Season,2019-04-13,FC Dallas,2.1,1.3,Portland Timbers,Toyota Stadium,14376,2,1,FC Dallas,2019
73,Regular Season,2019-04-13,Colorado Rapids,1.4,0.9,D.C. United,Dick's Sporting Goods Park,15094,2,3,D.C. United,2019
74,Regular Season,2019-04-13,Real Salt Lake,0.8,0.7,Orlando City,Rio Tinto Stadium,16770,2,1,Real Salt Lake,2019
75,Regular Season,2019-04-13,LA Galaxy,1.2,0.6,Philadelphia,Banc of California Stadium,24053,2,0,LA Galaxy,2019
77,Regular Season,2019-04-13,Los Angeles FC,1.7,1.0,FC Cincinnati,Dignity Health Sports Park,22323,2,0,Los Angeles FC,2019
78,Regular Season,2019-04-14,Sporting KC,2.5,1.2,NY Red Bulls,Children's Mercy Park,17897,2,2,,2019
79,Regular Season,2019-04-17,Vancouver,0.9,0.9,Los Angeles FC,BC Place,17038,1,0,Vancouver,2019
80,Regular Season,2019-04-19,FC Cincinnati,0.8,2.1,Real Salt Lake,Nippert Stadium,26416,0,3,Real Salt Lake,2019
81,Regular Season,2019-04-19,Toronto FC,2.6,2.8,Minnesota Utd,BMO Field,22651,4,3,Toronto FC,2019
82,Regular Season,2019-04-19,LA Galaxy,2.0,1.8,Houston Dynamo,Dignity Health Sports Park,21503,2,1,LA Galaxy,2019
83,Regular Season,2019-04-20,Chicago Fire,2.7,0.6,Colorado Rapids,SeatGeek Stadium,12967,4,1,Chicago Fire,2019
84,Regular Season,2019-04-20,Philadelphia,1.2,0.4,Montreal Impact,Subaru Park,15407,3,0,Philadelphia,2019
85,Regular Season,2019-04-20,Orlando City,1.2,0.7,Vancouver,Exploria Stadium,22468,1,0,Orlando City,2019
86,Regular Season,2019-04-20,Atlanta Utd,2.5,1.1,FC Dallas,Mercedes-Benz Stadium,43351,1,2,FC Dallas,2019
87,Regular Season,2019-04-20,New England,1.1,0.8,NY Red Bulls,Gillette Stadium,14514,1,0,New England,2019
88,Regular Season,2019-04-20,Columbus Crew,1.2,1.5,Portland Timbers,MAPFRE Stadium,11707,1,3,Portland Timbers,2019
89,Regular Season,2019-04-20,San Jose,1.6,3.0,Sporting KC,Avaya Stadium,15777,4,1,San Jose,2019
90,Regular Season,2019-04-21,D.C. United,0.9,1.8,NYCFC,Audi Field,18004,0,2,NYCFC,2019
91,Regular Season,2019-04-21,Los Angeles FC,2.5,0.4,Seattle,Banc of California Stadium,22221,4,1,Los Angeles FC,2019
92,Regular Season,2019-04-24,NYCFC,,,Chicago Fire,Yankee Stadium,21791,1,0,NYCFC,2019
93,Regular Season,2019-04-24,Columbus Crew,1.0,0.8,D.C. United,MAPFRE Stadium,10169,0,1,D.C. United,2019
94,Regular Season,2019-04-24,New England,0.5,2.1,Montreal Impact,Gillette Stadium,9422,0,3,Montreal Impact,2019
95,Regular Season,2019-04-24,Minnesota Utd,0.8,0.3,LA Galaxy,Allianz Field,19779,0,0,,2019
96,Regular Season,2019-04-24,Seattle,1.5,1.6,San Jose,CenturyLink Field,37722,2,2,,2019
97,Regular Season,2019-04-27,NYCFC,1.5,0.6,Orlando City,Yankee Stadium,20862,1,1,,2019
98,Regular Season,2019-04-27,Toronto FC,0.9,1.3,Portland Timbers,BMO Field,24832,1,2,Portland Timbers,2019
99,Regular Season,2019-04-27,FC Dallas,0.3,0.9,San Jose,Toyota Stadium,14087,0,0,,2019
100,Regular Season,2019-04-27,Vancouver,0.7,0.8,Philadelphia,BC Place,17835,1,1,,2019
101,Regular Season,2019-04-27,Atlanta Utd,0.9,0.4,Colorado Rapids,Mercedes-Benz Stadium,43005,1,0,Atlanta Utd,2019
103,Regular Season,2019-04-27,NY Red Bulls,0.9,0.7,FC Cincinnati,Red Bull Arena,16848,1,0,NY Red Bulls,2019
104,Regular Season,2019-04-27,Houston Dynamo,1.7,0.9,Columbus Crew,BBVA Compass Stadium,15557,2,0,Houston Dynamo,2019
105,Regular Season,2019-04-27,Sporting KC,3.2,2.4,New England,Children's Mercy Park,18511,4,4,,2019
106,Regular Season,2019-04-28,Montreal Impact,0.8,0.8,Chicago Fire,Saputo Stadium,15758,1,0,Montreal Impact,2019
107,Regular Season,2019-04-28,Minnesota Utd,0.8,0.5,D.C. United,Allianz Field,19620,1,0,Minnesota Utd,2019
108,Regular Season,2019-04-28,Seattle,0.6,3.9,Los Angeles FC,CenturyLink Field,38581,1,1,,2019
109,Regular Season,2019-04-28,LA Galaxy,1.9,1.4,Real Salt Lake,Dignity Health Sports Park,20615,2,1,LA Galaxy,2019
110,Regular Season,2019-05-01,Philadelphia,2.0,1.0,FC Cincinnati,Subaru Park,12890,2,0,Philadelphia,2019
111,Regular Season,2019-05-03,Colorado Rapids,2.1,1.6,Vancouver,Dick's Sporting Goods Park,10794,2,3,Vancouver,2019
112,Regular Season,2019-05-04,NY Red Bulls,2.1,2.6,LA Galaxy,Red Bull Arena,20128,3,2,NY Red Bulls,2019
113,Regular Season,2019-05-04,Houston Dynamo,1.6,1.7,FC Dallas,BBVA Compass Stadium,16521,2,1,Houston Dynamo,2019
114,Regular Season,2019-05-04,Orlando City,1.1,1.2,Toronto FC,Exploria Stadium,22377,0,2,Toronto FC,2019
115,Regular Season,2019-05-04,Montreal Impact,0.6,2.0,NYCFC,Saputo Stadium,16961,0,2,NYCFC,2019
116,Regular Season,2019-05-04,Philadelphia,3.2,2.2,New England,Subaru Park,15565,6,1,Philadelphia,2019
117,Regular Season,2019-05-04,Minnesota Utd,0.8,0.8,Seattle,Allianz Field,19832,1,1,,2019
118,Regular Season,2019-05-04,D.C. United,1.5,0.5,Columbus Crew,Audi Field,16687,3,1,D.C. United,2019
119,Regular Season,2019-05-04,Real Salt Lake,1.4,0.3,Portland Timbers,Rio Tinto Stadium,18066,1,2,Portland Timbers,2019
120,Regular Season,2019-05-04,San Jose,0.7,0.7,FC Cincinnati,Avaya Stadium,16743,1,0,San Jose,2019
121,Regular Season,2019-05-04,Los Angeles FC,2.0,1.1,Chicago Fire,Banc of California Stadium,22154,0,0,,2019
122,Regular Season,2019-05-05,Sporting KC,0.5,1.7,Atlanta Utd,Children's Mercy Park,18518,0,3,Atlanta Utd,2019
123,Regular Season,2019-05-08,Atlanta Utd,1.3,0.7,Toronto FC,Mercedes-Benz Stadium,42537,2,0,Atlanta Utd,2019
124,Regular Season,2019-05-08,Columbus Crew,1.5,1.3,LA Galaxy,MAPFRE Stadium,13207,3,1,Columbus Crew,2019
125,Regular Season,2019-05-08,Chicago Fire,3.0,0.4,New England,SeatGeek Stadium,6074,5,0,Chicago Fire,2019
126,Regular Season,2019-05-08,NY Red Bulls,0.7,1.3,Montreal Impact,Red Bull Arena,11115,1,2,Montreal Impact,2019
127,Regular Season,2019-05-10,Vancouver,1.5,1.8,Portland Timbers,BC Place,18356,1,0,Vancouver,2019
129,Regular Season,2019-05-11,FC Cincinnati,0.7,1.2,Montreal Impact,Nippert Stadium,26258,2,1,FC Cincinnati,2019
130,Regular Season,2019-05-11,FC Dallas,1.1,1.0,NY Red Bulls,Toyota Stadium,12263,1,3,NY Red Bulls,2019
131,Regular Season,2019-05-11,Toronto FC,0.9,1.0,Philadelphia,BMO Field,26219,1,2,Philadelphia,2019
132,Regular Season,2019-05-11,LA Galaxy,1.4,1.6,NYCFC,Dignity Health Sports Park,22806,0,2,NYCFC,2019
133,Regular Season,2019-05-11,Columbus Crew,0.5,2.1,Los Angeles FC,MAPFRE Stadium,18048,0,3,Los Angeles FC,2019
134,Regular Season,2019-05-11,New England,1.4,1.0,San Jose,Gillette Stadium,20610,3,1,New England,2019
135,Regular Season,2019-05-11,Chicago Fire,2.4,0.3,Minnesota Utd,SeatGeek Stadium,11531,2,0,Chicago Fire,2019
136,Regular Season,2019-05-11,Colorado Rapids,2.4,2.4,Real Salt Lake,Dick's Sporting Goods Park,15437,2,3,Real Salt Lake,2019
137,Regular Season,2019-05-11,Seattle,0.7,1.3,Houston Dynamo,CenturyLink Field,39232,1,0,Seattle,2019
138,Regular Season,2019-05-12,Atlanta Utd,1.5,1.6,Orlando City,Mercedes-Benz Stadium,68152,1,0,Atlanta Utd,2019
139,Regular Season,2019-05-12,D.C. United,0.6,0.8,Sporting KC,Audi Field,12521,1,0,D.C. United,2019
140,Regular Season,2019-05-15,Toronto FC,1.9,0.1,D.C. United,BMO Field,26116,0,0,,2019
141,Regular Season,2019-05-15,Houston Dynamo,1.4,1.5,Portland Timbers,BBVA Compass Stadium,13327,1,1,,2019
142,Regular Season,2019-05-15,Vancouver,0.3,1.8,Atlanta Utd,BC Place,16138,0,1,Atlanta Utd,2019
143,Regular Season,2019-05-15,Seattle,1.7,0.4,Orlando City,CenturyLink Field,37722,2,1,Seattle,2019
144,Regular Season,2019-05-16,Los Angeles FC,2.7,0.4,FC Dallas,Banc of California Stadium,22001,2,0,Los Angeles FC,2019
145,Regular Season,2019-05-18,Montreal Impact,0.8,0.4,New England,Saputo Stadium,15559,0,0,,2019
146,Regular Season,2019-05-18,Real Salt Lake,1.5,0.8,Toronto FC,Rio Tinto Stadium,15949,3,0,Real Salt Lake,2019
147,Regular Season,2019-05-18,San Jose,3.1,1.5,Chicago Fire,Avaya Stadium,15232,4,1,San Jose,2019
148,Regular Season,2019-05-18,Philadelphia,1.2,0.2,Seattle,Subaru Park,18540,0,0,,2019
149,Regular Season,2019-05-18,Minnesota Utd,1.3,0.1,Columbus Crew,Allianz Field,19600,1,0,Minnesota Utd,2019
150,Regular Season,2019-05-18,Houston Dynamo,1.9,1.1,D.C. United,BBVA Compass Stadium,15811,2,1,Houston Dynamo,2019
151,Regular Season,2019-05-18,Sporting KC,1.3,0.8,Vancouver,Children's Mercy Park,18691,1,1,,2019
152,Regular Season,2019-05-19,Orlando City,2.0,0.4,FC Cincinnati,Exploria Stadium,22341,5,1,Orlando City,2019
153,Regular Season,2019-05-19,NY Red Bulls,0.9,0.8,Atlanta Utd,Red Bull Arena,18495,1,0,NY Red Bulls,2019
155,Regular Season,2019-05-19,FC Dallas,0.7,2.6,Los Angeles FC,Toyota Stadium,15135,1,1,,2019
156,Regular Season,2019-05-19,LA Galaxy,1.8,2.9,Colorado Rapids,Dignity Health Sports Park,19015,0,1,Colorado Rapids,2019
157,Regular Season,2019-05-22,NY Red Bulls,1.4,2.2,Vancouver,Red Bull Arena,13035,2,2,,2019
158,Regular Season,2019-05-24,Orlando City,2.7,0.8,LA Galaxy,Exploria Stadium,24712,0,1,LA Galaxy,2019
159,Regular Season,2019-05-24,Real Salt Lake,1.1,1.0,Atlanta Utd,Rio Tinto Stadium,17214,2,1,Real Salt Lake,2019
160,Regular Season,2019-05-24,Los Angeles FC,3.5,1.3,Montreal Impact,Banc of California Stadium,22444,4,2,Los Angeles FC,2019
161,Regular Season,2019-05-25,Chicago Fire,1.7,1.1,NYCFC,SeatGeek Stadium,10986,1,1,,2019
162,Regular Season,2019-05-25,Vancouver,0.6,1.4,FC Dallas,BC Place,18309,2,1,Vancouver,2019
163,Regular Season,2019-05-25,New England,0.9,2.3,D.C. United,Gillette Stadium,20131,1,1,,2019
164,Regular Season,2019-05-25,FC Cincinnati,1.5,1.4,NY Red Bulls,Nippert Stadium,28290,0,2,NY Red Bulls,2019
165,Regular Season,2019-05-25,Philadelphia,1.9,1.8,Portland Timbers,Subaru Park,18474,1,3,Portland Timbers,2019
166,Regular Season,2019-05-25,Minnesota Utd,1.4,1.0,Houston Dynamo,Allianz Field,19701,1,0,Minnesota Utd,2019
167,Regular Season,2019-05-25,Colorado Rapids,1.0,1.5,Columbus Crew,Dick's Sporting Goods Park,16843,3,2,Colorado Rapids,2019
168,Regular Season,2019-05-26,Sporting KC,1.8,1.1,Seattle,Children's Mercy Park,19882,3,2,Sporting KC,2019
169,Regular Season,2019-05-26,Toronto FC,0.8,1.4,San Jose,BMO Field,23524,1,2,San Jose,2019
170,Regular Season,2019-05-29,Atlanta Utd,1.7,0.7,Minnesota Utd,Mercedes-Benz Stadium,42703,3,0,Atlanta Utd,2019
171,Regular Season,2019-05-29,Montreal Impact,1.6,0.8,Real Salt Lake,Saputo Stadium,11966,2,1,Montreal Impact,2019
172,Regular Season,2019-05-29,D.C. United,1.7,3.0,Chicago Fire,Audi Field,14201,3,3,,2019
173,Regular Season,2019-05-29,Sporting KC,1.1,0.8,LA Galaxy,Children's Mercy Park,19979,0,2,LA Galaxy,2019
174,Regular Season,2019-05-29,Philadelphia,2.2,1.1,Colorado Rapids,Subaru Park,14207,1,1,,2019
175,Regular Season,2019-05-31,Vancouver,0.9,0.4,Toronto FC,BC Place,21083,1,1,,2019
176,Regular Season,2019-06-01,Montreal Impact,0.9,2.3,Orlando City,Saputo Stadium,17018,0,3,Orlando City,2019
177,Regular Season,2019-06-01,Atlanta Utd,1.6,0.9,Chicago Fire,Mercedes-Benz Stadium,67502,2,0,Atlanta Utd,2019
178,Regular Season,2019-06-01,NY Red Bulls,1.9,0.6,Real Salt Lake,Red Bull Arena,19122,4,0,NY Red Bulls,2019
179,Regular Season,2019-06-01,Columbus Crew,1.6,1.2,NYCFC,MAPFRE Stadium,13704,2,2,,2019
181,Regular Season,2019-06-01,FC Dallas,0.7,0.1,Seattle,Toyota Stadium,14327,2,1,FC Dallas,2019
182,Regular Season,2019-06-01,D.C. United,0.7,1.3,San Jose,Audi Field,18002,1,1,,2019
183,Regular Season,2019-06-01,Colorado Rapids,2.3,1.2,FC Cincinnati,Dick's Sporting Goods Park,16998,3,1,Colorado Rapids,2019
184,Regular Season,2019-06-01,Houston Dynamo,1.5,0.3,Sporting KC,BBVA Compass Stadium,15710,1,1,,2019
185,Regular Season,2019-06-01,Portland Timbers,1.9,2.0,Los Angeles FC,Providence Park,25218,2,3,Los Angeles FC,2019
186,Regular Season,2019-06-02,Minnesota Utd,2.5,2.0,Philadelphia,Allianz Field,19738,2,3,Philadelphia,2019
187,Regular Season,2019-06-02,LA Galaxy,1.0,2.0,New England,Dignity Health Sports Park,20828,1,2,New England,2019
188,Regular Season,2019-06-05,Montreal Impact,1.6,0.8,Seattle,Saputo Stadium,13037,2,1,Montreal Impact,2019
189,Regular Season,2019-06-06,NYCFC,2.6,1.3,FC Cincinnati,Yankee Stadium,18597,5,2,NYCFC,2019
190,Regular Season,2019-06-07,Toronto FC,2.2,1.8,Sporting KC,BMO Field,24748,2,2,,2019
191,Regular Season,2019-06-08,San Jose,0.9,0.5,FC Dallas,Avaya Stadium,16841,2,2,,2019
192,Regular Season,2019-06-08,Philadelphia,2.4,0.8,NY Red Bulls,Subaru Park,18767,3,2,Philadelphia,2019
193,Regular Season,2019-06-08,Colorado Rapids,0.5,0.8,Minnesota Utd,Dick's Sporting Goods Park,14160,1,0,Colorado Rapids,2019
194,Regular Season,2019-06-22,FC Cincinnati,0.6,1.8,LA Galaxy,Nippert Stadium,32250,0,2,LA Galaxy,2019
195,Regular Season,2019-06-22,Chicago Fire,0.3,1.1,Real Salt Lake,SeatGeek Stadium,15609,1,1,,2019
196,Regular Season,2019-06-22,FC Dallas,2.9,0.5,Toronto FC,Toyota Stadium,13623,3,0,FC Dallas,2019
197,Regular Season,2019-06-22,Vancouver,2.2,2.3,Colorado Rapids,BC Place,19893,2,2,,2019
198,Regular Season,2019-06-22,Portland Timbers,2.6,0.5,Houston Dynamo,Providence Park,25218,4,0,Portland Timbers,2019
199,Regular Season,2019-06-23,Columbus Crew,0.6,1.5,Sporting KC,MAPFRE Stadium,14015,0,1,Sporting KC,2019
200,Regular Season,2019-06-26,New England,0.9,1.8,Philadelphia,Gillette Stadium,11571,1,1,,2019
201,Regular Season,2019-06-26,Montreal Impact,1.0,1.5,Portland Timbers,Saputo Stadium,15167,2,1,Montreal Impact,2019
202,Regular Season,2019-06-26,Toronto FC,2.1,2.5,Atlanta Utd,BMO Field,24598,3,2,Toronto FC,2019
203,Regular Season,2019-06-26,D.C. United,0.7,1.4,Orlando City,Audi Field,17398,1,0,D.C. United,2019
204,Regular Season,2019-06-26,FC Dallas,2.7,0.4,Vancouver,Toyota Stadium,11911,2,2,,2019
205,Regular Season,2019-06-26,San Jose,2.2,0.5,Houston Dynamo,Avaya Stadium,15563,2,0,San Jose,2019
207,Regular Season,2019-06-28,NY Red Bulls,2.5,2.4,Chicago Fire,Red Bull Arena,17563,3,1,NY Red Bulls,2019
208,Regular Season,2019-06-28,Colorado Rapids,0.7,0.8,Los Angeles FC,Dick's Sporting Goods Park,15968,1,0,Colorado Rapids,2019
209,Regular Season,2019-06-29,Minnesota Utd,3.4,0.4,FC Cincinnati,Allianz Field,19778,7,1,Minnesota Utd,2019
210,Regular Season,2019-06-29,Atlanta Utd,1.4,0.9,Montreal Impact,Mercedes-Benz Stadium,44627,2,1,Atlanta Utd,2019
211,Regular Season,2019-06-29,NYCFC,2.7,1.1,Philadelphia,Yankee Stadium,24451,4,2,NYCFC,2019
212,Regular Season,2019-06-29,Columbus Crew,0.2,0.3,Orlando City,MAPFRE Stadium,17715,0,2,Orlando City,2019
213,Regular Season,2019-06-29,New England,2.2,0.8,Houston Dynamo,Gillette Stadium,17372,2,1,New England,2019
214,Regular Season,2019-06-29,D.C. United,1.7,1.1,Toronto FC,Audi Field,18854,1,1,,2019
215,Regular Season,2019-06-29,Seattle,1.5,0.6,Vancouver,CenturyLink Field,44489,1,0,Seattle,2019
216,Regular Season,2019-06-29,San Jose,1.1,0.8,LA Galaxy,Stanford Stadium,50850,3,0,San Jose,2019
217,Regular Season,2019-06-29,Real Salt Lake,1.5,0.6,Sporting KC,Rio Tinto Stadium,18933,2,0,Real Salt Lake,2019
218,Regular Season,2019-06-30,Portland Timbers,1.1,1.4,FC Dallas,Providence Park,25218,1,0,Portland Timbers,2019
219,Regular Season,2019-07-03,NYCFC,2.2,0.6,Seattle,Yankee Stadium,18217,3,0,NYCFC,2019
220,Regular Season,2019-07-03,Orlando City,0.9,2.3,Philadelphia,Exploria Stadium,22364,1,3,Philadelphia,2019
221,Regular Season,2019-07-03,Minnesota Utd,1.7,2.0,San Jose,Allianz Field,19653,3,1,Minnesota Utd,2019
222,Regular Season,2019-07-03,Chicago Fire,3.4,0.9,Atlanta Utd,SeatGeek Stadium,13476,5,1,Chicago Fire,2019
223,Regular Season,2019-07-03,Sporting KC,3.2,2.5,Los Angeles FC,Children's Mercy Park,19754,1,5,Los Angeles FC,2019
224,Regular Season,2019-07-03,Houston Dynamo,2.1,0.6,NY Red Bulls,BBVA Compass Stadium,19531,4,0,Houston Dynamo,2019
225,Regular Season,2019-07-03,Real Salt Lake,0.9,0.7,Columbus Crew,Rio Tinto Stadium,19030,1,0,Real Salt Lake,2019
226,Regular Season,2019-07-04,Colorado Rapids,1.5,1.1,New England,Dick's Sporting Goods Park,15584,1,2,New England,2019
227,Regular Season,2019-07-04,FC Dallas,2.6,0.5,D.C. United,Toyota Stadium,19096,2,0,FC Dallas,2019
