,Round,Date,Home,xGH,xGA,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2019-03-02,Philadelphia,2.4,1.9,Toronto FC,Subaru Park,16498,1,3,Toronto FC,2019
1,Regular Season,2019-03-02,Orlando City,2.1,1.3,NYCFC,Exploria Stadium,25527,2,2,,2019
2,Regular Season,2019-03-02,FC Dallas,0.6,0.8,New England,Toyota Stadium,14327,1,1,,2019
3,Regular Season,2019-03-02,Columbus Crew,0.9,0.9,NY Red Bulls,MAPFRE Stadium,17931,1,1,,2019
4,Regular Season,2019-03-02,Vancouver,0.7,2.3,Minnesota Utd,BC Place,27837,2,3,Minnesota Utd,2019
5,Regular Season,2019-03-02,Colorado Rapids,2.3,2.7,Portland Timbers,Dick's Sporting Goods Park,12717,3,3,,2019
6,Regular Season,2019-03-02,Houston Dynamo,0.5,0.7,Real Salt Lake,BBVA Compass Stadium,16827,1,1,,2019
7,Regular Season,2019-03-02,LA Galaxy,2.2,1.8,Chicago Fire,Dignity Health Sports Park,25866,2,1,LA Galaxy,2019
8,Regular Season,2019-03-02,Seattle,2.4,0.4,FC Cincinnati,CenturyLink Field,39011,4,1,Seattle,2019
9,Regular Season,2019-03-02,San Jose,0.7,0.9,Montreal Impact,Avaya Stadium,18000,1,2,Montreal Impact,2019
10,Regular Season,2019-03-03,D.C. United,1.6,0.3,Atlanta Utd,Audi Field,16942,2,0,D.C. United,2019
11,Regular Season,2019-03-03,Los Angeles FC,0.9,1.0,Sporting KC,Banc of California Stadium,22099,2,1,Los Angeles FC,2019
12,Regular Season,2019-03-09,Chicago Fire,0.7,0.5,Orlando City,SeatGeek Stadium,11041,1,1,,2019
13,Regular Season,2019-03-09,New England,1.1,1.0,Columbus Crew,Gillette Stadium,13808,0,2,Columbus Crew,2019
14,Regular Season,2019-03-09,FC Dallas,2.3,0.7,LA Galaxy,Toyota Stadium,17220,2,0,FC Dallas,2019
15,Regular Season,2019-03-09,Houston Dynamo,0.8,0.3,Montreal Impact,BBVA Compass Stadium,12601,2,1,Houston Dynamo,2019
