,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2005-04-02,FC Dallas,Chicago Fire,Cotton Bowl,0,2,1,FC Dallas,2005
1,Regular Season,2005-04-02,KC Wizards,Colorado Rapids,Arrowhead Stadium,0,3,2,KC Wizards,2005
2,Regular Season,2005-04-02,San Jose,New England,CEFCU Stadium,0,2,2,,2005
3,Regular Season,2005-04-02,MetroStars,Real Salt Lake,Giants Stadium,0,0,0,,2005
4,Regular Season,2005-04-02,Columbus Crew,LA Galaxy,MAPFRE Stadium,0,3,0,Columbus Crew,2005
5,Regular Season,2005-04-02,Chivas USA,D.C. United,Dignity Health Sports Park,0,0,2,D.C. United,2005
6,Regular Season,2005-04-09,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,0,1,1,,2005
7,Regular Season,2005-04-09,LA Galaxy,Real Salt Lake,Dignity Health Sports Park,0,3,1,LA Galaxy,2005
8,Regular Season,2005-04-09,Colorado Rapids,FC Dallas,Empower Field at Mile High,0,0,0,,2005
9,Regular Season,2005-04-09,San Jose,Chivas USA,CEFCU Stadium,0,3,3,,2005
10,Regular Season,2005-04-09,New England,Columbus Crew,Gillette Stadium,0,3,0,New England,2005
11,Regular Season,2005-04-15,Columbus Crew,D.C. United,MAPFRE Stadium,0,1,0,Columbus Crew,2005
12,Regular Season,2005-04-16,Chicago Fire,San Jose,Soldier Field,0,2,1,Chicago Fire,2005
13,Regular Season,2005-04-16,Chivas USA,FC Dallas,Dignity Health Sports Park,0,1,3,FC Dallas,2005
14,Regular Season,2005-04-16,MetroStars,KC Wizards,Giants Stadium,0,2,2,,2005
15,Regular Season,2005-04-16,Real Salt Lake,Colorado Rapids,Rice-Eccles Stadium,0,1,0,Real Salt Lake,2005
16,Regular Season,2005-04-22,MetroStars,Chicago Fire,Giants Stadium,0,0,1,Chicago Fire,2005
17,Regular Season,2005-04-23,D.C. United,New England,Robert F. Kennedy Memorial Stadium,0,3,4,New England,2005
18,Regular Season,2005-04-23,LA Galaxy,Chivas USA,Dignity Health Sports Park,0,3,1,LA Galaxy,2005
19,Regular Season,2005-04-23,FC Dallas,Real Salt Lake,Cotton Bowl,0,3,0,FC Dallas,2005
20,Regular Season,2005-04-23,Colorado Rapids,Columbus Crew,Empower Field at Mile High,0,2,0,Colorado Rapids,2005
21,Regular Season,2005-04-23,San Jose,KC Wizards,CEFCU Stadium,0,3,2,San Jose,2005
22,Regular Season,2005-04-27,Chicago Fire,New England,Soldier Field,0,0,3,New England,2005
23,Regular Season,2005-04-30,KC Wizards,D.C. United,Arrowhead Stadium,0,0,0,,2005
25,Regular Season,2005-04-30,Real Salt Lake,San Jose,Rice-Eccles Stadium,0,2,2,,2005
26,Regular Season,2005-04-30,Columbus Crew,Chicago Fire,MAPFRE Stadium,0,0,2,Chicago Fire,2005
27,Regular Season,2005-04-30,Colorado Rapids,MetroStars,Empower Field at Mile High,0,1,3,MetroStars,2005
28,Regular Season,2005-04-30,New England,Chivas USA,Gillette Stadium,0,1,0,New England,2005
29,Regular Season,2005-04-30,LA Galaxy,FC Dallas,Dignity Health Sports Park,0,2,0,LA Galaxy,2005
30,Regular Season,2005-05-07,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,0,3,1,D.C. United,2005
31,Regular Season,2005-05-07,Chivas USA,Real Salt Lake,Dignity Health Sports Park,0,1,0,Chivas USA,2005
32,Regular Season,2005-05-07,New England,Chicago Fire,Gillette Stadium,0,2,0,New England,2005
33,Regular Season,2005-05-07,MetroStars,San Jose,Giants Stadium,0,0,1,San Jose,2005
34,Regular Season,2005-05-07,KC Wizards,FC Dallas,Arrowhead Stadium,0,3,3,,2005
35,Regular Season,2005-05-08,LA Galaxy,Colorado Rapids,Dignity Health Sports Park,0,3,2,LA Galaxy,2005
36,Regular Season,2005-05-14,Chicago Fire,MetroStars,Soldier Field,0,0,3,MetroStars,2005
37,Regular Season,2005-05-14,Colorado Rapids,Chivas USA,Empower Field at Mile High,0,2,1,Colorado Rapids,2005
38,Regular Season,2005-05-14,Columbus Crew,KC Wizards,MAPFRE Stadium,0,0,4,KC Wizards,2005
39,Regular Season,2005-05-14,Real Salt Lake,LA Galaxy,Rice-Eccles Stadium,0,2,1,Real Salt Lake,2005
40,Regular Season,2005-05-14,New England,D.C. United,Gillette Stadium,0,1,0,New England,2005
41,Regular Season,2005-05-14,San Jose,FC Dallas,CEFCU Stadium,0,0,0,,2005
42,Regular Season,2005-05-18,FC Dallas,Colorado Rapids,Cotton Bowl,0,2,1,FC Dallas,2005
43,Regular Season,2005-05-18,Real Salt Lake,Chivas USA,Rice-Eccles Stadium,0,2,0,Real Salt Lake,2005
44,Regular Season,2005-05-21,Columbus Crew,Real Salt Lake,MAPFRE Stadium,0,2,0,Columbus Crew,2005
45,Regular Season,2005-05-21,MetroStars,New England,Giants Stadium,0,2,2,,2005
46,Regular Season,2005-05-21,Chicago Fire,Colorado Rapids,Soldier Field,0,2,1,Chicago Fire,2005
47,Regular Season,2005-05-21,D.C. United,KC Wizards,Robert F. Kennedy Memorial Stadium,0,3,2,D.C. United,2005
48,Regular Season,2005-05-21,LA Galaxy,San Jose,Dignity Health Sports Park,0,2,1,LA Galaxy,2005
49,Regular Season,2005-05-22,Chivas USA,FC Dallas,Dignity Health Sports Park,0,2,5,FC Dallas,2005
51,Regular Season,2005-05-25,Colorado Rapids,San Jose,Empower Field at Mile High,0,0,1,San Jose,2005
52,Regular Season,2005-05-25,LA Galaxy,Columbus Crew,Dignity Health Sports Park,0,0,0,,2005
53,Regular Season,2005-05-25,KC Wizards,MetroStars,Arrowhead Stadium,0,1,0,KC Wizards,2005
54,Regular Season,2005-05-28,Columbus Crew,MetroStars,MAPFRE Stadium,0,0,3,MetroStars,2005
55,Regular Season,2005-05-28,Real Salt Lake,Chicago Fire,Rice-Eccles Stadium,0,0,3,Chicago Fire,2005
56,Regular Season,2005-05-28,D.C. United,FC Dallas,Robert F. Kennedy Memorial Stadium,0,0,2,FC Dallas,2005
57,Regular Season,2005-05-28,Chivas USA,LA Galaxy,Dignity Health Sports Park,0,0,2,LA Galaxy,2005
58,Regular Season,2005-05-28,KC Wizards,San Jose,Arrowhead Stadium,0,1,0,KC Wizards,2005
59,Regular Season,2005-05-28,New England,Colorado Rapids,Gillette Stadium,0,0,0,,2005
60,Regular Season,2005-05-31,MetroStars,Chicago Fire,Giants Stadium,0,2,1,MetroStars,2005
61,Regular Season,2005-06-01,Chivas USA,KC Wizards,Dignity Health Sports Park,0,1,1,,2005
62,Regular Season,2005-06-04,San Jose,D.C. United,CEFCU Stadium,0,0,0,,2005
63,Regular Season,2005-06-04,Real Salt Lake,FC Dallas,Rice-Eccles Stadium,0,0,2,FC Dallas,2005
64,Regular Season,2005-06-04,Chicago Fire,Chivas USA,Soldier Field,0,5,2,Chicago Fire,2005
65,Regular Season,2005-06-04,LA Galaxy,MetroStars,Dignity Health Sports Park,0,2,2,,2005
66,Regular Season,2005-06-04,New England,KC Wizards,Gillette Stadium,0,1,1,,2005
67,Regular Season,2005-06-11,KC Wizards,New England,Arrowhead Stadium,0,0,2,New England,2005
68,Regular Season,2005-06-11,LA Galaxy,Real Salt Lake,Dignity Health Sports Park,0,1,0,LA Galaxy,2005
69,Regular Season,2005-06-11,Columbus Crew,Colorado Rapids,MAPFRE Stadium,0,1,0,Columbus Crew,2005
70,Regular Season,2005-06-12,Chivas USA,San Jose,Dignity Health Sports Park,0,1,1,,2005
71,Regular Season,2005-06-12,MetroStars,D.C. United,Giants Stadium,0,0,0,,2005
72,Regular Season,2005-06-12,Chicago Fire,FC Dallas,Soldier Field,0,2,0,Chicago Fire,2005
73,Regular Season,2005-06-15,Colorado Rapids,LA Galaxy,Empower Field at Mile High,0,1,0,Colorado Rapids,2005
74,Regular Season,2005-06-15,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,0,4,3,D.C. United,2005
75,Regular Season,2005-06-18,FC Dallas,LA Galaxy,Cotton Bowl,0,1,0,FC Dallas,2005
77,Regular Season,2005-06-18,Chivas USA,Colorado Rapids,Dignity Health Sports Park,0,1,3,Colorado Rapids,2005
78,Regular Season,2005-06-18,San Jose,Real Salt Lake,CEFCU Stadium,0,3,0,San Jose,2005
79,Regular Season,2005-06-18,Chicago Fire,KC Wizards,Soldier Field,0,1,1,,2005
80,Regular Season,2005-06-18,MetroStars,Columbus Crew,Giants Stadium,0,3,2,MetroStars,2005
81,Regular Season,2005-06-18,D.C. United,New England,Robert F. Kennedy Memorial Stadium,0,2,0,D.C. United,2005
82,Regular Season,2005-06-22,Real Salt Lake,LA Galaxy,Rice-Eccles Stadium,0,1,1,,2005
83,Regular Season,2005-06-22,Columbus Crew,New England,MAPFRE Stadium,0,1,3,New England,2005
84,Regular Season,2005-06-22,FC Dallas,Chivas USA,Cotton Bowl,0,2,1,FC Dallas,2005
85,Regular Season,2005-06-25,Colorado Rapids,FC Dallas,Empower Field at Mile High,0,1,3,FC Dallas,2005
86,Regular Season,2005-06-25,KC Wizards,Chivas USA,Arrowhead Stadium,0,3,0,KC Wizards,2005
87,Regular Season,2005-06-25,New England,MetroStars,Gillette Stadium,0,4,2,New England,2005
88,Regular Season,2005-06-25,San Jose,LA Galaxy,CEFCU Stadium,0,3,0,San Jose,2005
89,Regular Season,2005-06-26,Chicago Fire,Real Salt Lake,Soldier Field,0,3,1,Chicago Fire,2005
90,Regular Season,2005-06-29,KC Wizards,Columbus Crew,Arrowhead Stadium,0,1,1,,2005
91,Regular Season,2005-06-29,San Jose,Colorado Rapids,CEFCU Stadium,0,1,0,San Jose,2005
92,Regular Season,2005-06-29,Chicago Fire,D.C. United,Soldier Field,0,4,3,Chicago Fire,2005
93,Regular Season,2005-07-02,FC Dallas,San Jose,Cotton Bowl,0,2,2,,2005
94,Regular Season,2005-07-02,Columbus Crew,D.C. United,MAPFRE Stadium,0,0,1,D.C. United,2005
95,Regular Season,2005-07-02,Chivas USA,Chicago Fire,Dignity Health Sports Park,0,0,1,Chicago Fire,2005
96,Regular Season,2005-07-04,LA Galaxy,New England,Dignity Health Sports Park,0,1,1,,2005
97,Regular Season,2005-07-04,Real Salt Lake,MetroStars,Rice-Eccles Stadium,0,2,2,,2005
98,Regular Season,2005-07-04,Colorado Rapids,KC Wizards,Empower Field at Mile High,0,2,1,Colorado Rapids,2005
99,Regular Season,2005-07-09,Columbus Crew,San Jose,MAPFRE Stadium,0,1,2,San Jose,2005
100,Regular Season,2005-07-09,MetroStars,LA Galaxy,Giants Stadium,0,2,1,MetroStars,2005
101,Regular Season,2005-07-09,Chivas USA,Real Salt Lake,Dignity Health Sports Park,0,5,1,Chivas USA,2005
103,Regular Season,2005-07-09,Chicago Fire,New England,Soldier Field,0,1,0,Chicago Fire,2005
104,Regular Season,2005-07-09,D.C. United,KC Wizards,Robert F. Kennedy Memorial Stadium,0,0,1,KC Wizards,2005
105,Regular Season,2005-07-15,D.C. United,San Jose,Robert F. Kennedy Memorial Stadium,0,3,0,D.C. United,2005
106,Regular Season,2005-07-16,LA Galaxy,Chivas USA,Dignity Health Sports Park,0,2,0,LA Galaxy,2005
107,Regular Season,2005-07-16,KC Wizards,Real Salt Lake,Arrowhead Stadium,0,3,2,KC Wizards,2005
108,Regular Season,2005-07-16,Chicago Fire,Columbus Crew,Soldier Field,0,1,1,,2005
109,Regular Season,2005-07-16,MetroStars,Colorado Rapids,Giants Stadium,0,1,1,,2005
110,Regular Season,2005-07-16,New England,FC Dallas,Gillette Stadium,0,3,2,New England,2005
111,Regular Season,2005-07-20,Colorado Rapids,San Jose,Empower Field at Mile High,0,1,2,San Jose,2005
112,Regular Season,2005-07-20,KC Wizards,D.C. United,Arrowhead Stadium,0,1,1,,2005
113,Regular Season,2005-07-20,Columbus Crew,MetroStars,MAPFRE Stadium,0,1,0,Columbus Crew,2005
114,Regular Season,2005-07-22,Chivas USA,New England,Dignity Health Sports Park,0,1,0,Chivas USA,2005
115,Regular Season,2005-07-23,Columbus Crew,KC Wizards,MAPFRE Stadium,0,2,0,Columbus Crew,2005
116,Regular Season,2005-07-23,LA Galaxy,D.C. United,Dignity Health Sports Park,0,0,1,D.C. United,2005
117,Regular Season,2005-07-23,Real Salt Lake,FC Dallas,Rice-Eccles Stadium,0,3,0,Real Salt Lake,2005
118,Regular Season,2005-07-23,San Jose,MetroStars,CEFCU Stadium,0,2,1,San Jose,2005
119,Regular Season,2005-07-23,Colorado Rapids,Chicago Fire,Empower Field at Mile High,0,4,1,Colorado Rapids,2005
120,Regular Season,2005-07-27,New England,LA Galaxy,Gillette Stadium,0,1,1,,2005
121,Regular Season,2005-07-27,MetroStars,FC Dallas,Giants Stadium,0,3,2,MetroStars,2005
122,Regular Season,2005-08-06,Chicago Fire,D.C. United,Soldier Field,0,2,3,D.C. United,2005
123,Regular Season,2005-08-06,New England,KC Wizards,Gillette Stadium,0,1,2,KC Wizards,2005
124,Regular Season,2005-08-06,San Jose,Columbus Crew,CEFCU Stadium,0,2,1,San Jose,2005
