,Round,Date,Home,xGH,xGA,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2018-03-03,Toronto FC,1.2,1.1,Columbus Crew,BMO Field,26633,0,2,Columbus Crew,2018
1,Regular Season,2018-03-03,Houston Dynamo,2.6,1.9,Atlanta Utd,BBVA Compass Stadium,20377,4,0,Houston Dynamo,2018
2,Regular Season,2018-03-03,Philadelphia,3.6,0.5,New England,Subaru Park,16452,2,0,Philadelphia,2018
3,Regular Season,2018-03-03,Orlando City,0.9,2.1,D.C. United,Exploria Stadium,25527,1,1,,2018
4,Regular Season,2018-03-03,FC Dallas,1.3,0.5,Real Salt Lake,Toyota Stadium,16116,1,1,,2018
5,Regular Season,2018-03-03,San Jose,1.9,1.8,Minnesota Utd,Avaya Stadium,18000,3,2,San Jose,2018
6,Regular Season,2018-03-04,Seattle,1.9,0.6,Los Angeles FC,CenturyLink Field,40070,0,1,Los Angeles FC,2018
7,Regular Season,2018-03-04,Vancouver,0.9,0.5,Montreal Impact,BC Place,27837,2,1,Vancouver,2018
8,Regular Season,2018-03-04,Sporting KC,1.2,1.9,NYCFC,Children's Mercy Park,20831,0,2,NYCFC,2018
9,Regular Season,2018-03-04,LA Galaxy,2.2,1.1,Portland Timbers,Dignity Health Sports Park,25462,2,1,LA Galaxy,2018
10,Regular Season,2018-03-10,Columbus Crew,3.0,1.6,Montreal Impact,MAPFRE Stadium,11098,3,2,Columbus Crew,2018
11,Regular Season,2018-03-10,New England,0.8,1.5,Colorado Rapids,Gillette Stadium,13305,2,1,New England,2018
12,Regular Season,2018-03-10,Real Salt Lake,1.9,4.4,Los Angeles FC,Rio Tinto Stadium,20706,1,5,Los Angeles FC,2018
13,Regular Season,2018-03-10,Houston Dynamo,1.6,1.3,Vancouver,BBVA Compass Stadium,16082,1,2,Vancouver,2018
14,Regular Season,2018-03-10,Chicago Fire,1.7,1.7,Sporting KC,SeatGeek Stadium,14021,3,4,Sporting KC,2018
15,Regular Season,2018-03-10,NY Red Bulls,2.2,1.0,Portland Timbers,Red Bull Arena,18374,4,0,NY Red Bulls,2018
16,Regular Season,2018-03-10,Orlando City,2.0,1.9,Minnesota Utd,Exploria Stadium,24038,1,2,Minnesota Utd,2018
17,Regular Season,2018-03-11,Atlanta Utd,1.8,1.2,D.C. United,Mercedes-Benz Stadium,72035,3,1,Atlanta Utd,2018
18,Regular Season,2018-03-11,NYCFC,1.9,1.1,LA Galaxy,Yankee Stadium,26221,2,1,NYCFC,2018
