,Round,Date,Home,xGH,xGA,Away,Attendance,GHome,GAway,Winner,Season
311,Regular Season,2020-11-08,Philadelphia,2.9,0.5,New England,0,2,0,Philadelphia,2020
312,Regular Season,2020-11-08,D.C. United,1.4,2.4,Montreal Impact,0,2,3,Montreal Impact,2020
313,Regular Season,2020-11-08,Orlando City,0.9,0.8,Nashville,0,2,3,Nashville,2020
314,Regular Season,2020-11-08,Inter Miami,0.8,0.5,FC Cincinnati,0,2,1,Inter Miami,2020
315,Regular Season,2020-11-08,Columbus Crew,1.7,1.5,Atlanta Utd,0,2,1,Columbus Crew,2020
316,Regular Season,2020-11-08,NY Red Bulls,1.7,1.8,Toronto FC,0,2,1,NY Red Bulls,2020
317,Regular Season,2020-11-08,Los Angeles FC,1.3,0.9,Portland Timbers,0,1,1,,2020
318,Regular Season,2020-11-08,Seattle,0.9,0.6,San Jose,0,4,1,Seattle,2020
319,Regular Season,2020-11-08,Vancouver,2.1,0.6,LA Galaxy,0,3,0,Vancouver,2020
320,Regular Season,2020-11-08,Real Salt Lake,0.4,1.1,Sporting KC,2770,0,2,Sporting KC,2020
321,Regular Season,2020-11-08,Minnesota Utd,2.0,1.7,FC Dallas,0,3,0,Minnesota Utd,2020
322,Regular Season,2020-11-08,Houston Dynamo,1.4,1.1,Colorado Rapids,2327,1,2,Colorado Rapids,2020
323,Play-In Round,2020-11-20,New England,1.9,0.3,Montreal Impact,0,2,1,New England,2020
324,Play-In Round,2020-11-20,Nashville,1.3,0.6,Inter Miami,3240,3,0,Nashville,2020
325,First Round,2020-11-21,Orlando City,1.7,1.5,NYCFC,0,1,1,Orlando City,2020
326,First Round,2020-11-21,Columbus Crew,1.9,1.4,NY Red Bulls,0,3,2,Columbus Crew,2020
328,First Round,2020-11-22,Sporting KC,1.8,2.6,San Jose,0,3,3,Sporting KC,2020
329,First Round,2020-11-22,Minnesota Utd,2.5,2.6,Colorado Rapids,0,3,0,Minnesota Utd,2020
330,First Round,2020-11-22,Portland Timbers,1.6,1.3,FC Dallas,0,1,1,FC Dallas,2020
331,First Round,2020-11-24,Toronto FC,1.3,3.1,Nashville,0,0,1,Nashville,2020
332,First Round,2020-11-24,Philadelphia,0.9,0.9,New England,0,0,2,New England,2020
333,First Round,2020-11-24,Seattle,1.5,1.8,Los Angeles FC,0,3,1,Seattle,2020
334,Conference Semifinals,2020-11-29,Orlando City,1.7,2.1,New England,0,1,3,New England,2020
335,Conference Semifinals,2020-11-29,Columbus Crew,1.9,0.9,Nashville,0,2,0,Columbus Crew,2020
336,Conference Semifinals,2020-12-01,Seattle,1.1,0.7,FC Dallas,0,1,0,Seattle,2020
337,Conference Semifinals,2020-12-03,Sporting KC,1.6,1.4,Minnesota Utd,0,0,3,Minnesota Utd,2020
338,Conference Finals,2020-12-06,Columbus Crew,1.4,1.0,New England,0,1,0,Columbus Crew,2020
339,Conference Finals,2020-12-07,Seattle,1.8,0.6,Minnesota Utd,0,3,2,Seattle,2020
340,MLS Cup 2020,2020-12-12,Columbus Crew,1.6,0.5,Seattle,1500,3,0,Columbus Crew,2020
