,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2012-03-10,LA Galaxy,Real Salt Lake,0,1,3,Real Salt Lake,2012
1,Regular Season,2012-03-10,Vancouver,Montreal Impact,0,2,0,Vancouver,2012
2,Regular Season,2012-03-10,D.C. United,Sporting KC,0,0,1,Sporting KC,2012
3,Regular Season,2012-03-10,Colorado Rapids,Columbus Crew,0,2,0,Colorado Rapids,2012
4,Regular Season,2012-03-10,San Jose,New England,0,1,0,San Jose,2012
5,Regular Season,2012-03-11,FC Dallas,NY Red Bulls,0,2,1,FC Dallas,2012
6,Regular Season,2012-03-11,Chivas USA,Houston Dynamo,0,0,1,Houston Dynamo,2012
7,Regular Season,2012-03-12,Portland Timbers,Philadelphia,0,3,1,Portland Timbers,2012
8,Regular Season,2012-03-17,Chivas USA,Vancouver,0,0,1,Vancouver,2012
9,Regular Season,2012-03-17,Real Salt Lake,NY Red Bulls,0,2,0,Real Salt Lake,2012
10,Regular Season,2012-03-17,FC Dallas,Portland Timbers,0,1,1,,2012
11,Regular Season,2012-03-17,San Jose,Houston Dynamo,0,0,1,Houston Dynamo,2012
12,Regular Season,2012-03-17,Sporting KC,New England,0,3,0,Sporting KC,2012
13,Regular Season,2012-03-17,Seattle,Toronto FC,0,3,1,Seattle,2012
14,Regular Season,2012-03-17,Montreal Impact,Chicago Fire,0,1,1,,2012
15,Regular Season,2012-03-18,LA Galaxy,D.C. United,0,3,1,LA Galaxy,2012
16,Regular Season,2012-03-18,Philadelphia,Colorado Rapids,0,1,2,Colorado Rapids,2012
17,Regular Season,2012-03-23,Seattle,Houston Dynamo,0,2,0,Seattle,2012
18,Regular Season,2012-03-24,Chicago Fire,Philadelphia,0,1,0,Chicago Fire,2012
19,Regular Season,2012-03-24,Vancouver,D.C. United,0,0,0,,2012
20,Regular Season,2012-03-24,Columbus Crew,Montreal Impact,0,2,0,Columbus Crew,2012
21,Regular Season,2012-03-24,New England,Portland Timbers,0,1,0,New England,2012
22,Regular Season,2012-03-24,Toronto FC,San Jose,0,0,3,San Jose,2012
23,Regular Season,2012-03-24,Real Salt Lake,Chivas USA,0,0,1,Chivas USA,2012
25,Regular Season,2012-03-25,NY Red Bulls,Colorado Rapids,0,4,1,NY Red Bulls,2012
26,Regular Season,2012-03-25,Sporting KC,FC Dallas,0,2,1,Sporting KC,2012
27,Regular Season,2012-03-30,D.C. United,FC Dallas,0,4,1,D.C. United,2012
28,Regular Season,2012-03-31,NY Red Bulls,Montreal Impact,0,5,2,NY Red Bulls,2012
29,Regular Season,2012-03-31,Portland Timbers,Real Salt Lake,0,2,3,Real Salt Lake,2012
30,Regular Season,2012-03-31,LA Galaxy,New England,0,1,3,New England,2012
31,Regular Season,2012-03-31,Seattle,San Jose,0,0,1,San Jose,2012
32,Regular Season,2012-03-31,Toronto FC,Columbus Crew,0,0,1,Columbus Crew,2012
33,Regular Season,2012-03-31,Philadelphia,Vancouver,0,0,0,,2012
34,Regular Season,2012-04-01,Chivas USA,Sporting KC,0,0,1,Sporting KC,2012
35,Regular Season,2012-04-01,Colorado Rapids,Chicago Fire,0,2,0,Colorado Rapids,2012
36,Regular Season,2012-04-04,Real Salt Lake,Montreal Impact,0,1,0,Real Salt Lake,2012
