,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
37,Regular Season,2012-04-05,FC Dallas,New England,0,1,0,FC Dallas,2012
38,Regular Season,2012-04-07,Sporting KC,LA Galaxy,0,1,0,Sporting KC,2012
39,Regular Season,2012-04-07,Columbus Crew,NY Red Bulls,0,1,4,NY Red Bulls,2012
40,Regular Season,2012-04-07,San Jose,Vancouver,0,3,1,San Jose,2012
41,Regular Season,2012-04-07,Portland Timbers,Chivas USA,0,1,2,Chivas USA,2012
42,Regular Season,2012-04-07,Real Salt Lake,Colorado Rapids,0,2,0,Real Salt Lake,2012
43,Regular Season,2012-04-07,D.C. United,Seattle,0,0,0,,2012
44,Regular Season,2012-04-07,Montreal Impact,Toronto FC,0,2,1,Montreal Impact,2012
45,Regular Season,2012-04-14,Toronto FC,Chivas USA,0,0,1,Chivas USA,2012
46,Regular Season,2012-04-14,New England,D.C. United,0,1,2,D.C. United,2012
47,Regular Season,2012-04-14,Seattle,Colorado Rapids,0,1,0,Seattle,2012
48,Regular Season,2012-04-14,Philadelphia,Columbus Crew,0,1,0,Philadelphia,2012
49,Regular Season,2012-04-14,LA Galaxy,Portland Timbers,0,3,1,LA Galaxy,2012
51,Regular Season,2012-04-14,Sporting KC,Real Salt Lake,0,1,0,Sporting KC,2012
52,Regular Season,2012-04-14,FC Dallas,Montreal Impact,0,2,1,FC Dallas,2012
53,Regular Season,2012-04-14,NY Red Bulls,San Jose,0,2,2,,2012
54,Regular Season,2012-04-15,Chicago Fire,Houston Dynamo,0,1,1,,2012
55,Regular Season,2012-04-18,Vancouver,Sporting KC,0,1,3,Sporting KC,2012
56,Regular Season,2012-04-18,D.C. United,Montreal Impact,0,1,1,,2012
57,Regular Season,2012-04-21,Colorado Rapids,LA Galaxy,0,1,2,LA Galaxy,2012
58,Regular Season,2012-04-21,Chivas USA,Philadelphia,0,0,1,Philadelphia,2012
59,Regular Season,2012-04-21,Columbus Crew,Houston Dynamo,0,2,2,,2012
60,Regular Season,2012-04-21,Portland Timbers,Sporting KC,0,1,0,Portland Timbers,2012
61,Regular Season,2012-04-21,Vancouver,FC Dallas,0,1,0,Vancouver,2012
62,Regular Season,2012-04-21,San Jose,Real Salt Lake,0,3,1,San Jose,2012
63,Regular Season,2012-04-21,Toronto FC,Chicago Fire,0,2,3,Chicago Fire,2012
64,Regular Season,2012-04-22,D.C. United,NY Red Bulls,0,4,1,D.C. United,2012
65,Regular Season,2012-04-25,FC Dallas,Real Salt Lake,0,1,1,,2012
66,Regular Season,2012-04-28,Colorado Rapids,Chivas USA,0,4,0,Colorado Rapids,2012
67,Regular Season,2012-04-28,Montreal Impact,Portland Timbers,0,2,0,Montreal Impact,2012
68,Regular Season,2012-04-28,Columbus Crew,Vancouver,0,0,1,Vancouver,2012
69,Regular Season,2012-04-28,NY Red Bulls,New England,0,1,0,NY Red Bulls,2012
70,Regular Season,2012-04-28,LA Galaxy,FC Dallas,0,1,1,,2012
71,Regular Season,2012-04-28,Chicago Fire,Seattle,0,1,2,Seattle,2012
72,Regular Season,2012-04-28,D.C. United,Houston Dynamo,0,3,2,D.C. United,2012
73,Regular Season,2012-04-28,Real Salt Lake,Toronto FC,0,3,2,Real Salt Lake,2012
74,Regular Season,2012-04-28,Philadelphia,San Jose,0,1,2,San Jose,2012
75,Regular Season,2012-05-02,San Jose,D.C. United,0,5,3,San Jose,2012
77,Regular Season,2012-05-02,New England,Colorado Rapids,0,2,1,New England,2012
78,Regular Season,2012-05-02,Seattle,LA Galaxy,0,2,0,Seattle,2012
79,Regular Season,2012-05-04,Chivas USA,Chicago Fire,0,1,2,Chicago Fire,2012
80,Regular Season,2012-05-05,LA Galaxy,NY Red Bulls,0,0,1,NY Red Bulls,2012
81,Regular Season,2012-05-05,Sporting KC,Montreal Impact,0,0,2,Montreal Impact,2012
82,Regular Season,2012-05-05,Real Salt Lake,New England,0,2,1,Real Salt Lake,2012
83,Regular Season,2012-05-05,Toronto FC,D.C. United,0,0,2,D.C. United,2012
84,Regular Season,2012-05-05,Vancouver,San Jose,0,2,1,Vancouver,2012
85,Regular Season,2012-05-05,Seattle,Philadelphia,0,1,0,Seattle,2012
86,Regular Season,2012-05-05,Portland Timbers,Columbus Crew,0,0,0,,2012
87,Regular Season,2012-05-06,FC Dallas,Colorado Rapids,0,0,2,Colorado Rapids,2012
88,Regular Season,2012-05-09,Chicago Fire,Real Salt Lake,0,0,0,,2012
89,Regular Season,2012-05-09,FC Dallas,Seattle,0,0,2,Seattle,2012
90,Regular Season,2012-05-09,NY Red Bulls,Houston Dynamo,0,1,0,NY Red Bulls,2012
91,Regular Season,2012-05-12,Houston Dynamo,D.C. United,0,1,0,Houston Dynamo,2012
92,Regular Season,2012-05-12,Columbus Crew,FC Dallas,0,2,1,Columbus Crew,2012
93,Regular Season,2012-05-12,New England,Vancouver,0,4,1,New England,2012
94,Regular Season,2012-05-12,Chicago Fire,Sporting KC,0,2,1,Chicago Fire,2012
95,Regular Season,2012-05-12,Montreal Impact,LA Galaxy,0,1,1,,2012
96,Regular Season,2012-05-12,Seattle,Real Salt Lake,0,0,1,Real Salt Lake,2012
97,Regular Season,2012-05-13,Philadelphia,NY Red Bulls,0,2,3,NY Red Bulls,2012
98,Regular Season,2012-05-13,San Jose,Chivas USA,0,1,1,,2012
99,Regular Season,2012-05-15,Houston Dynamo,Portland Timbers,0,0,0,,2012
100,Regular Season,2012-05-16,D.C. United,Colorado Rapids,0,2,0,D.C. United,2012
101,Regular Season,2012-05-19,Montreal Impact,NY Red Bulls,0,1,2,NY Red Bulls,2012
103,Regular Season,2012-05-19,FC Dallas,Philadelphia,0,1,1,,2012
104,Regular Season,2012-05-19,Vancouver,Seattle,0,2,2,,2012
105,Regular Season,2012-05-19,Colorado Rapids,Sporting KC,0,2,2,,2012
106,Regular Season,2012-05-19,New England,Houston Dynamo,0,2,2,,2012
107,Regular Season,2012-05-19,D.C. United,Toronto FC,0,3,1,D.C. United,2012
108,Regular Season,2012-05-19,San Jose,Columbus Crew,0,1,1,,2012
109,Regular Season,2012-05-19,Chivas USA,LA Galaxy,0,1,0,Chivas USA,2012
110,Regular Season,2012-05-20,Portland Timbers,Chicago Fire,0,2,1,Portland Timbers,2012
111,Regular Season,2012-05-23,LA Galaxy,San Jose,0,2,3,San Jose,2012
112,Regular Season,2012-05-23,Chicago Fire,FC Dallas,0,2,1,Chicago Fire,2012
113,Regular Season,2012-05-23,NY Red Bulls,Chivas USA,0,1,1,,2012
114,Regular Season,2012-05-23,Seattle,Columbus Crew,0,0,2,Columbus Crew,2012
115,Regular Season,2012-05-26,Portland Timbers,Vancouver,0,1,1,,2012
116,Regular Season,2012-05-26,Toronto FC,Philadelphia,0,1,0,Toronto FC,2012
117,Regular Season,2012-05-26,Colorado Rapids,Montreal Impact,0,3,2,Colorado Rapids,2012
118,Regular Season,2012-05-26,Houston Dynamo,LA Galaxy,0,2,1,Houston Dynamo,2012
119,Regular Season,2012-05-26,Real Salt Lake,FC Dallas,0,3,2,Real Salt Lake,2012
120,Regular Season,2012-05-26,Columbus Crew,Chicago Fire,0,2,1,Columbus Crew,2012
121,Regular Season,2012-05-26,Chivas USA,Seattle,0,1,1,,2012
122,Regular Season,2012-05-26,D.C. United,New England,0,3,2,D.C. United,2012
123,Regular Season,2012-05-27,Sporting KC,San Jose,0,2,1,Sporting KC,2012
124,Regular Season,2012-06-02,New England,Chicago Fire,0,2,0,New England,2012
125,Regular Season,2012-06-10,Vancouver,Houston Dynamo,0,3,1,Vancouver,2012
126,Regular Season,2012-06-16,Houston Dynamo,FC Dallas,0,2,1,Houston Dynamo,2012
127,Regular Season,2012-06-16,Chivas USA,Real Salt Lake,0,0,3,Real Salt Lake,2012
129,Regular Season,2012-06-16,Philadelphia,D.C. United,0,0,1,D.C. United,2012
130,Regular Season,2012-06-16,Vancouver,Colorado Rapids,0,1,0,Vancouver,2012
131,Regular Season,2012-06-16,Sporting KC,Toronto FC,0,2,0,Sporting KC,2012
132,Regular Season,2012-06-16,New England,Columbus Crew,0,0,0,,2012
133,Regular Season,2012-06-16,Montreal Impact,Seattle,0,4,1,Montreal Impact,2012
134,Regular Season,2012-06-17,Chicago Fire,NY Red Bulls,0,3,1,Chicago Fire,2012
135,Regular Season,2012-06-17,LA Galaxy,Portland Timbers,0,1,0,LA Galaxy,2012
136,Regular Season,2012-06-20,Colorado Rapids,San Jose,0,1,2,San Jose,2012
137,Regular Season,2012-06-20,Seattle,Sporting KC,0,1,1,,2012
138,Regular Season,2012-06-20,Chivas USA,Montreal Impact,0,2,1,Chivas USA,2012
139,Regular Season,2012-06-20,Vancouver,NY Red Bulls,0,1,1,,2012
140,Regular Season,2012-06-20,Houston Dynamo,Toronto FC,0,3,3,,2012
141,Regular Season,2012-06-20,Real Salt Lake,LA Galaxy,0,2,3,LA Galaxy,2012
142,Regular Season,2012-06-23,Philadelphia,Sporting KC,0,4,0,Philadelphia,2012
143,Regular Season,2012-06-23,Toronto FC,New England,0,2,2,,2012
144,Regular Season,2012-06-23,LA Galaxy,Vancouver,0,3,0,LA Galaxy,2012
145,Regular Season,2012-06-23,Chicago Fire,Columbus Crew,0,2,1,Chicago Fire,2012
146,Regular Season,2012-06-23,Montreal Impact,Houston Dynamo,0,4,2,Montreal Impact,2012
147,Regular Season,2012-06-23,Real Salt Lake,San Jose,0,1,2,San Jose,2012
148,Regular Season,2012-06-23,FC Dallas,Chivas USA,0,0,0,,2012
149,Regular Season,2012-06-24,NY Red Bulls,D.C. United,0,3,2,NY Red Bulls,2012
150,Regular Season,2012-06-24,Portland Timbers,Seattle,0,2,1,Portland Timbers,2012
151,Regular Season,2012-06-27,Montreal Impact,Toronto FC,0,0,3,Toronto FC,2012
152,Regular Season,2012-06-29,Sporting KC,Chicago Fire,0,0,1,Chicago Fire,2012
153,Regular Season,2012-06-30,Columbus Crew,Real Salt Lake,0,2,0,Columbus Crew,2012
155,Regular Season,2012-06-30,Colorado Rapids,Portland Timbers,0,3,0,Colorado Rapids,2012
156,Regular Season,2012-06-30,Toronto FC,NY Red Bulls,0,1,1,,2012
157,Regular Season,2012-06-30,New England,Seattle,0,2,2,,2012
158,Regular Season,2012-06-30,Houston Dynamo,Philadelphia,0,2,1,Houston Dynamo,2012
159,Regular Season,2012-06-30,San Jose,LA Galaxy,0,4,3,San Jose,2012
160,Regular Season,2012-06-30,D.C. United,Montreal Impact,0,3,0,D.C. United,2012
161,Regular Season,2012-07-03,Houston Dynamo,Chicago Fire,0,0,0,,2012
162,Regular Season,2012-07-03,Portland Timbers,San Jose,0,2,1,Portland Timbers,2012
163,Regular Season,2012-07-04,LA Galaxy,Philadelphia,0,1,2,Philadelphia,2012
164,Regular Season,2012-07-04,Real Salt Lake,Seattle,0,0,0,,2012
165,Regular Season,2012-07-04,FC Dallas,Toronto FC,0,1,1,,2012
166,Regular Season,2012-07-04,Colorado Rapids,Vancouver,0,0,1,Vancouver,2012
167,Regular Season,2012-07-04,Montreal Impact,Sporting KC,0,1,3,Sporting KC,2012
168,Regular Season,2012-07-07,Seattle,Colorado Rapids,0,2,1,Seattle,2012
169,Regular Season,2012-07-07,Real Salt Lake,Portland Timbers,0,3,0,Real Salt Lake,2012
170,Regular Season,2012-07-07,FC Dallas,San Jose,0,0,0,,2012
171,Regular Season,2012-07-07,Chivas USA,Vancouver,0,0,0,,2012
172,Regular Season,2012-07-07,Sporting KC,Houston Dynamo,0,0,0,,2012
173,Regular Season,2012-07-08,Chicago Fire,LA Galaxy,0,0,2,LA Galaxy,2012
174,Regular Season,2012-07-08,New England,NY Red Bulls,0,2,0,New England,2012
175,Regular Season,2012-07-08,Montreal Impact,Columbus Crew,0,2,1,Montreal Impact,2012
176,Regular Season,2012-07-08,Philadelphia,Toronto FC,0,3,0,Philadelphia,2012
177,Regular Season,2012-07-11,Toronto FC,Vancouver,0,3,2,Toronto FC,2012
178,Regular Season,2012-07-14,Columbus Crew,Sporting KC,0,0,2,Sporting KC,2012
179,Regular Season,2012-07-14,Colorado Rapids,FC Dallas,0,1,2,FC Dallas,2012
181,Regular Season,2012-07-14,Philadelphia,Montreal Impact,0,2,1,Philadelphia,2012
182,Regular Season,2012-07-14,New England,Toronto FC,0,0,1,Toronto FC,2012
183,Regular Season,2012-07-14,Portland Timbers,LA Galaxy,0,3,5,LA Galaxy,2012
184,Regular Season,2012-07-14,Chicago Fire,Vancouver,0,1,0,Chicago Fire,2012
185,Regular Season,2012-07-14,San Jose,Real Salt Lake,0,5,0,San Jose,2012
186,Regular Season,2012-07-15,Houston Dynamo,D.C. United,0,4,0,Houston Dynamo,2012
187,Regular Season,2012-07-15,NY Red Bulls,Seattle,0,2,2,,2012
188,Regular Season,2012-07-18,Montreal Impact,New England,0,2,1,Montreal Impact,2012
189,Regular Season,2012-07-18,Toronto FC,Colorado Rapids,0,2,1,Toronto FC,2012
190,Regular Season,2012-07-18,NY Red Bulls,Chicago Fire,0,1,0,NY Red Bulls,2012
191,Regular Season,2012-07-18,Chivas USA,Portland Timbers,0,1,0,Chivas USA,2012
192,Regular Season,2012-07-18,Vancouver,LA Galaxy,0,2,2,,2012
193,Regular Season,2012-07-18,Houston Dynamo,Sporting KC,0,2,1,Houston Dynamo,2012
194,Regular Season,2012-07-18,San Jose,FC Dallas,0,2,1,San Jose,2012
195,Regular Season,2012-07-21,Houston Dynamo,Montreal Impact,0,3,0,Houston Dynamo,2012
196,Regular Season,2012-07-21,Sporting KC,New England,0,0,0,,2012
197,Regular Season,2012-07-21,Real Salt Lake,Colorado Rapids,0,2,0,Real Salt Lake,2012
198,Regular Season,2012-07-21,NY Red Bulls,Philadelphia,0,2,0,NY Red Bulls,2012
199,Regular Season,2012-07-21,FC Dallas,Portland Timbers,0,5,0,FC Dallas,2012
200,Regular Season,2012-07-21,LA Galaxy,Chivas USA,0,3,1,LA Galaxy,2012
201,Regular Season,2012-07-21,Columbus Crew,D.C. United,0,1,0,Columbus Crew,2012
202,Regular Season,2012-07-22,Vancouver,San Jose,0,2,1,Vancouver,2012
203,Regular Season,2012-07-27,Real Salt Lake,Vancouver,0,2,1,Real Salt Lake,2012
204,Regular Season,2012-07-28,San Jose,Chicago Fire,0,1,1,,2012
205,Regular Season,2012-07-28,Colorado Rapids,Seattle,0,1,2,Seattle,2012
207,Regular Season,2012-07-28,FC Dallas,LA Galaxy,0,0,1,LA Galaxy,2012
208,Regular Season,2012-07-28,Toronto FC,Houston Dynamo,0,0,2,Houston Dynamo,2012
209,Regular Season,2012-07-28,Montreal Impact,NY Red Bulls,0,3,1,Montreal Impact,2012
210,Regular Season,2012-07-28,Sporting KC,Columbus Crew,0,1,2,Columbus Crew,2012
211,Regular Season,2012-07-28,Portland Timbers,Chivas USA,0,0,1,Chivas USA,2012
212,Regular Season,2012-07-29,Philadelphia,New England,0,2,1,Philadelphia,2012
213,Regular Season,2012-08-03,Houston Dynamo,NY Red Bulls,0,2,0,Houston Dynamo,2012
214,Regular Season,2012-08-04,D.C. United,Columbus Crew,0,1,0,D.C. United,2012
215,Regular Season,2012-08-04,New England,Sporting KC,0,0,1,Sporting KC,2012
216,Regular Season,2012-08-04,Colorado Rapids,Real Salt Lake,0,1,0,Colorado Rapids,2012
217,Regular Season,2012-08-04,Chicago Fire,Toronto FC,0,2,1,Chicago Fire,2012
218,Regular Season,2012-08-04,Montreal Impact,Philadelphia,0,2,0,Montreal Impact,2012
219,Regular Season,2012-08-05,Seattle,LA Galaxy,0,4,0,Seattle,2012
220,Regular Season,2012-08-05,Portland Timbers,FC Dallas,0,1,1,,2012
221,Regular Season,2012-08-10,NY Red Bulls,Houston Dynamo,0,2,0,NY Red Bulls,2012
222,Regular Season,2012-08-11,Sporting KC,D.C. United,0,2,1,Sporting KC,2012
223,Regular Season,2012-08-11,San Jose,Seattle,0,2,1,San Jose,2012
224,Regular Season,2012-08-11,FC Dallas,Colorado Rapids,0,3,2,FC Dallas,2012
225,Regular Season,2012-08-11,Vancouver,Real Salt Lake,0,2,1,Vancouver,2012
226,Regular Season,2012-08-12,Philadelphia,Chicago Fire,0,1,3,Chicago Fire,2012
227,Regular Season,2012-08-12,New England,Montreal Impact,0,0,1,Montreal Impact,2012
228,Regular Season,2012-08-12,Chivas USA,LA Galaxy,0,0,4,LA Galaxy,2012
229,Regular Season,2012-08-15,Toronto FC,Portland Timbers,0,2,2,,2012
230,Regular Season,2012-08-15,Columbus Crew,LA Galaxy,0,1,1,,2012
231,Regular Season,2012-08-15,Vancouver,FC Dallas,0,0,2,FC Dallas,2012
233,Regular Season,2012-08-18,Colorado Rapids,Chivas USA,0,1,1,,2012
234,Regular Season,2012-08-18,Toronto FC,Sporting KC,0,0,1,Sporting KC,2012
235,Regular Season,2012-08-18,Chicago Fire,New England,0,2,1,Chicago Fire,2012
236,Regular Season,2012-08-18,Real Salt Lake,FC Dallas,0,1,2,FC Dallas,2012
237,Regular Season,2012-08-18,Montreal Impact,San Jose,0,3,1,Montreal Impact,2012
238,Regular Season,2012-08-18,Seattle,Vancouver,0,2,0,Seattle,2012
239,Regular Season,2012-08-19,NY Red Bulls,Portland Timbers,0,3,2,NY Red Bulls,2012
240,Regular Season,2012-08-19,D.C. United,Philadelphia,0,1,1,,2012
241,Regular Season,2012-08-19,Houston Dynamo,Columbus Crew,0,2,2,,2012
242,Regular Season,2012-08-22,Columbus Crew,Toronto FC,0,2,1,Columbus Crew,2012
243,Regular Season,2012-08-22,D.C. United,Chicago Fire,0,4,2,D.C. United,2012
244,Regular Season,2012-08-24,Philadelphia,Real Salt Lake,0,0,0,,2012
245,Regular Season,2012-08-25,San Jose,Colorado Rapids,0,4,1,San Jose,2012
246,Regular Season,2012-08-25,Portland Timbers,Vancouver,0,2,1,Portland Timbers,2012
247,Regular Season,2012-08-25,Columbus Crew,New England,0,4,3,Columbus Crew,2012
248,Regular Season,2012-08-25,Montreal Impact,D.C. United,0,3,0,Montreal Impact,2012
249,Regular Season,2012-08-25,Chivas USA,Seattle,0,2,6,Seattle,2012
250,Regular Season,2012-08-25,Houston Dynamo,Toronto FC,0,1,1,,2012
251,Regular Season,2012-08-26,LA Galaxy,FC Dallas,0,2,0,LA Galaxy,2012
252,Regular Season,2012-08-26,Sporting KC,NY Red Bulls,0,1,1,,2012
253,Regular Season,2012-08-29,D.C. United,NY Red Bulls,0,2,2,,2012
254,Regular Season,2012-08-29,Philadelphia,Columbus Crew,0,1,2,Columbus Crew,2012
255,Regular Season,2012-08-29,New England,Chivas USA,0,3,3,,2012
256,Regular Season,2012-08-31,Portland Timbers,Colorado Rapids,0,1,0,Portland Timbers,2012
257,Regular Season,2012-09-01,Sporting KC,Toronto FC,0,2,1,Sporting KC,2012
259,Regular Season,2012-09-01,Real Salt Lake,D.C. United,0,1,0,Real Salt Lake,2012
260,Regular Season,2012-09-01,New England,Philadelphia,0,0,0,,2012
261,Regular Season,2012-09-01,LA Galaxy,Vancouver,0,2,0,LA Galaxy,2012
262,Regular Season,2012-09-01,Columbus Crew,Montreal Impact,0,2,1,Columbus Crew,2012
263,Regular Season,2012-09-02,Chicago Fire,Houston Dynamo,0,3,1,Chicago Fire,2012
264,Regular Season,2012-09-02,San Jose,Chivas USA,0,4,0,San Jose,2012
265,Regular Season,2012-09-02,FC Dallas,Seattle,0,1,1,,2012
266,Regular Season,2012-09-05,Colorado Rapids,Portland Timbers,0,3,0,Colorado Rapids,2012
267,Regular Season,2012-09-05,New England,Columbus Crew,0,2,0,New England,2012
268,Regular Season,2012-09-06,Houston Dynamo,Real Salt Lake,0,1,0,Houston Dynamo,2012
269,Regular Season,2012-09-08,Seattle,Chivas USA,0,2,1,Seattle,2012
270,Regular Season,2012-09-12,Toronto FC,Chicago Fire,0,1,2,Chicago Fire,2012
271,Regular Season,2012-09-14,LA Galaxy,Colorado Rapids,0,2,0,LA Galaxy,2012
272,Regular Season,2012-09-14,Sporting KC,Houston Dynamo,0,1,1,,2012
273,Regular Season,2012-09-15,Chicago Fire,Montreal Impact,0,3,1,Chicago Fire,2012
274,Regular Season,2012-09-15,Portland Timbers,Seattle,0,1,1,,2012
275,Regular Season,2012-09-15,Toronto FC,Philadelphia,0,1,1,,2012
276,Regular Season,2012-09-15,NY Red Bulls,Columbus Crew,0,3,1,NY Red Bulls,2012
277,Regular Season,2012-09-15,D.C. United,New England,0,2,1,D.C. United,2012
278,Regular Season,2012-09-15,FC Dallas,Vancouver,0,1,0,FC Dallas,2012
279,Regular Season,2012-09-15,Chivas USA,San Jose,0,0,2,San Jose,2012
280,Regular Season,2012-09-19,NY Red Bulls,Sporting KC,0,0,2,Sporting KC,2012
281,Regular Season,2012-09-19,Columbus Crew,Chivas USA,0,1,0,Columbus Crew,2012
282,Regular Season,2012-09-19,San Jose,Portland Timbers,0,2,2,,2012
283,Regular Season,2012-09-20,Philadelphia,D.C. United,0,0,1,D.C. United,2012
285,Regular Season,2012-09-22,Montreal Impact,Sporting KC,0,0,0,,2012
286,Regular Season,2012-09-22,Chicago Fire,Columbus Crew,0,2,1,Chicago Fire,2012
287,Regular Season,2012-09-22,LA Galaxy,Toronto FC,0,4,2,LA Galaxy,2012
288,Regular Season,2012-09-22,Seattle,San Jose,0,1,2,San Jose,2012
289,Regular Season,2012-09-22,Real Salt Lake,Portland Timbers,0,2,1,Real Salt Lake,2012
290,Regular Season,2012-09-22,New England,NY Red Bulls,0,1,1,,2012
291,Regular Season,2012-09-23,D.C. United,Chivas USA,0,1,0,D.C. United,2012
292,Regular Season,2012-09-23,Philadelphia,Houston Dynamo,0,3,1,Philadelphia,2012
293,Regular Season,2012-09-23,Vancouver,Colorado Rapids,0,2,2,,2012
294,Regular Season,2012-09-28,Sporting KC,Chicago Fire,0,2,0,Sporting KC,2012
295,Regular Season,2012-09-29,San Jose,FC Dallas,0,3,3,,2012
296,Regular Season,2012-09-29,Columbus Crew,Philadelphia,0,3,2,Columbus Crew,2012
297,Regular Season,2012-09-29,Vancouver,Seattle,0,0,0,,2012
298,Regular Season,2012-09-29,NY Red Bulls,Toronto FC,0,4,1,NY Red Bulls,2012
299,Regular Season,2012-09-29,Houston Dynamo,New England,0,2,0,Houston Dynamo,2012
300,Regular Season,2012-09-29,Chivas USA,Real Salt Lake,0,0,4,Real Salt Lake,2012
301,Regular Season,2012-09-29,Portland Timbers,D.C. United,0,1,1,,2012
302,Regular Season,2012-09-30,Colorado Rapids,LA Galaxy,0,1,1,,2012
303,Regular Season,2012-10-03,Chicago Fire,Philadelphia,0,1,3,Philadelphia,2012
304,Regular Season,2012-10-03,Vancouver,Chivas USA,0,4,0,Vancouver,2012
305,Regular Season,2012-10-06,Houston Dynamo,Montreal Impact,0,1,1,,2012
306,Regular Season,2012-10-06,Philadelphia,New England,0,1,0,Philadelphia,2012
307,Regular Season,2012-10-06,Toronto FC,D.C. United,0,0,1,D.C. United,2012
308,Regular Season,2012-10-06,LA Galaxy,Real Salt Lake,0,1,2,Real Salt Lake,2012
309,Regular Season,2012-10-06,NY Red Bulls,Chicago Fire,0,0,2,Chicago Fire,2012
311,Regular Season,2012-10-06,Colorado Rapids,San Jose,0,1,4,San Jose,2012
312,Regular Season,2012-10-07,Seattle,Portland Timbers,0,3,0,Seattle,2012
313,Regular Season,2012-10-07,Chivas USA,FC Dallas,0,1,1,,2012
314,Regular Season,2012-10-07,Columbus Crew,Sporting KC,0,1,1,,2012
315,Regular Season,2012-10-17,Seattle,Real Salt Lake,0,0,0,,2012
316,Regular Season,2012-10-20,Toronto FC,Montreal Impact,0,0,0,,2012
317,Regular Season,2012-10-20,Chivas USA,Colorado Rapids,0,0,2,Colorado Rapids,2012
318,Regular Season,2012-10-20,NY Red Bulls,Sporting KC,0,0,0,,2012
319,Regular Season,2012-10-20,New England,Chicago Fire,0,1,0,New England,2012
320,Regular Season,2012-10-20,D.C. United,Columbus Crew,0,3,2,D.C. United,2012
321,Regular Season,2012-10-20,Houston Dynamo,Philadelphia,0,3,1,Houston Dynamo,2012
322,Regular Season,2012-10-21,Seattle,FC Dallas,0,3,1,Seattle,2012
323,Regular Season,2012-10-21,San Jose,LA Galaxy,0,2,2,,2012
324,Regular Season,2012-10-21,Vancouver,Portland Timbers,0,0,1,Portland Timbers,2012
325,Regular Season,2012-10-24,Sporting KC,Philadelphia,0,2,1,Sporting KC,2012
326,Regular Season,2012-10-27,Real Salt Lake,Vancouver,0,0,0,,2012
327,Regular Season,2012-10-27,Colorado Rapids,Houston Dynamo,0,2,0,Colorado Rapids,2012
