,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2017-03-03,Portland Timbers,Minnesota Utd,Providence Park,21144,5,1,Portland Timbers,2017
1,Regular Season,2017-03-04,Columbus Crew,Chicago Fire,MAPFRE Stadium,15023,1,1,,2017
2,Regular Season,2017-03-04,LA Galaxy,FC Dallas,Dignity Health Sports Park,23554,1,2,FC Dallas,2017
3,Regular Season,2017-03-04,Real Salt Lake,Toronto FC,Rio Tinto Stadium,19519,0,0,,2017
4,Regular Season,2017-03-04,Colorado Rapids,New England,Dick's Sporting Goods Park,16126,1,0,Colorado Rapids,2017
5,Regular Season,2017-03-04,D.C. United,Sporting KC,Robert F. Kennedy Memorial Stadium,18268,0,0,,2017
6,Regular Season,2017-03-04,Houston Dynamo,Seattle,BBVA Compass Stadium,20758,2,1,Houston Dynamo,2017
7,Regular Season,2017-03-04,San Jose,Montreal Impact,Avaya Stadium,18000,1,0,San Jose,2017
8,Regular Season,2017-03-05,Orlando City,NYCFC,Exploria Stadium,25527,1,0,Orlando City,2017
9,Regular Season,2017-03-05,Atlanta Utd,NY Red Bulls,Bobby Dodd Stadium,55297,1,2,NY Red Bulls,2017
10,Regular Season,2017-03-05,Vancouver,Philadelphia,BC Place,19083,0,0,,2017
11,Regular Season,2017-03-11,Chicago Fire,Real Salt Lake,SeatGeek Stadium,13024,2,0,Chicago Fire,2017
12,Regular Season,2017-03-11,NY Red Bulls,Colorado Rapids,Red Bull Arena,19375,1,0,NY Red Bulls,2017
13,Regular Season,2017-03-11,Philadelphia,Toronto FC,Subaru Park,16795,2,2,,2017
14,Regular Season,2017-03-11,Montreal Impact,Seattle,Olympic Stadium,34373,2,2,,2017
15,Regular Season,2017-03-11,Houston Dynamo,Columbus Crew,BBVA Compass Stadium,16486,3,1,Houston Dynamo,2017
16,Regular Season,2017-03-11,Sporting KC,FC Dallas,Children's Mercy Park,19117,0,0,,2017
17,Regular Season,2017-03-11,San Jose,Vancouver,Avaya Stadium,18000,3,2,San Jose,2017
18,Regular Season,2017-03-12,NYCFC,D.C. United,Yankee Stadium,24259,4,0,NYCFC,2017
