,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2007-04-07,Chicago Fire,New England,SeatGeek Stadium,0,1,0,Chicago Fire,2007
1,Regular Season,2007-04-07,Columbus Crew,NY Red Bulls,MAPFRE Stadium,0,0,0,,2007
2,Regular Season,2007-04-07,Real Salt Lake,FC Dallas,Rice-Eccles Stadium,0,2,2,,2007
3,Regular Season,2007-04-07,Colorado Rapids,D.C. United,Dick's Sporting Goods Park,0,2,1,Colorado Rapids,2007
4,Regular Season,2007-04-07,Chivas USA,Toronto FC,Dignity Health Sports Park,0,2,0,Chivas USA,2007
5,Regular Season,2007-04-08,Houston Dynamo,LA Galaxy,Robertson Stadium,0,0,0,,2007
6,Regular Season,2007-04-12,LA Galaxy,FC Dallas,Dignity Health Sports Park,0,1,2,FC Dallas,2007
7,Regular Season,2007-04-14,Real Salt Lake,Columbus Crew,Rice-Eccles Stadium,0,0,0,,2007
8,Regular Season,2007-04-14,New England,Toronto FC,Gillette Stadium,0,4,0,New England,2007
9,Regular Season,2007-04-14,Houston Dynamo,Chivas USA,Robertson Stadium,0,1,0,Houston Dynamo,2007
10,Regular Season,2007-04-14,D.C. United,KC Wizards,Robert F. Kennedy Memorial Stadium,0,2,4,KC Wizards,2007
11,Regular Season,2007-04-15,NY Red Bulls,FC Dallas,Giants Stadium,0,3,0,NY Red Bulls,2007
12,Regular Season,2007-04-15,Colorado Rapids,Chicago Fire,Dick's Sporting Goods Park,0,1,1,,2007
13,Regular Season,2007-04-19,Columbus Crew,New England,MAPFRE Stadium,0,2,2,,2007
14,Regular Season,2007-04-21,NY Red Bulls,Houston Dynamo,Giants Stadium,0,1,0,NY Red Bulls,2007
15,Regular Season,2007-04-21,Chivas USA,Real Salt Lake,Dignity Health Sports Park,0,4,0,Chivas USA,2007
16,Regular Season,2007-04-21,Chicago Fire,KC Wizards,SeatGeek Stadium,0,2,1,Chicago Fire,2007
17,Regular Season,2007-04-22,FC Dallas,Colorado Rapids,Toyota Stadium,0,3,1,FC Dallas,2007
18,Regular Season,2007-04-25,KC Wizards,Toronto FC,Arrowhead Stadium,0,3,0,KC Wizards,2007
19,Regular Season,2007-04-26,FC Dallas,NY Red Bulls,Toyota Stadium,0,0,1,NY Red Bulls,2007
20,Regular Season,2007-04-28,Columbus Crew,D.C. United,MAPFRE Stadium,0,1,0,Columbus Crew,2007
21,Regular Season,2007-04-28,Toronto FC,KC Wizards,BMO Field,0,0,1,KC Wizards,2007
