,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,1996-04-06,San Jose,D.C. United,CEFCU Stadium,31683,1,0,San Jose,1996
1,Regular Season,1996-04-13,LA Galaxy,MetroStars,Rose Bowl,69255,2,1,LA Galaxy,1996
2,Regular Season,1996-04-13,Tampa Bay,New England,Houlihan's Stadium,26473,3,2,Tampa Bay,1996
3,Regular Season,1996-04-13,KC Wiz,Colorado Rapids,Arrowhead Stadium,21141,3,0,KC Wiz,1996
4,Regular Season,1996-04-13,Columbus Crew,D.C. United,Ohio Stadium,25266,4,0,Columbus Crew,1996
5,Regular Season,1996-04-14,Dallas Burn,San Jose,Cotton Bowl,27779,0,0,Dallas Burn,1996
6,Regular Season,1996-04-18,Dallas Burn,KC Wiz,Cotton Bowl,9405,3,0,Dallas Burn,1996
7,Regular Season,1996-04-20,MetroStars,New England,Giants Stadium,46826,0,1,New England,1996
8,Regular Season,1996-04-20,Columbus Crew,Tampa Bay,Ohio Stadium,24434,1,2,Tampa Bay,1996
9,Regular Season,1996-04-20,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,35032,1,2,LA Galaxy,1996
10,Regular Season,1996-04-21,Colorado Rapids,Dallas Burn,Mile High Stadium,21711,3,1,Colorado Rapids,1996
11,Regular Season,1996-04-21,San Jose,KC Wiz,CEFCU Stadium,17580,2,2,KC Wiz,1996
12,Regular Season,1996-04-27,New England,D.C. United,Foxboro Stadium,32864,1,1,New England,1996
13,Regular Season,1996-04-27,MetroStars,Columbus Crew,Giants Stadium,26416,0,2,Columbus Crew,1996
14,Regular Season,1996-04-28,Tampa Bay,Dallas Burn,Houlihan's Stadium,14084,1,2,Dallas Burn,1996
15,Regular Season,1996-04-28,LA Galaxy,San Jose,Rose Bowl,40347,2,1,LA Galaxy,1996
16,Regular Season,1996-05-01,D.C. United,Dallas Burn,Robert F. Kennedy Memorial Stadium,11253,3,1,D.C. United,1996
17,Regular Season,1996-05-02,KC Wiz,Columbus Crew,Arrowhead Stadium,8848,6,4,KC Wiz,1996
18,Regular Season,1996-05-04,MetroStars,Tampa Bay,Giants Stadium,38621,3,3,MetroStars,1996
19,Regular Season,1996-05-04,New England,San Jose,Foxboro Stadium,16334,1,2,San Jose,1996
20,Regular Season,1996-05-05,Dallas Burn,Columbus Crew,Cotton Bowl,35250,0,0,Dallas Burn,1996
21,Regular Season,1996-05-05,LA Galaxy,D.C. United,Rose Bowl,20471,3,1,LA Galaxy,1996
22,Regular Season,1996-05-05,Colorado Rapids,KC Wiz,Mile High Stadium,11070,4,0,Colorado Rapids,1996
23,Regular Season,1996-05-08,Tampa Bay,KC Wiz,Houlihan's Stadium,7025,2,0,Tampa Bay,1996
25,Regular Season,1996-05-08,San Jose,Colorado Rapids,CEFCU Stadium,12972,3,1,San Jose,1996
26,Regular Season,1996-05-11,KC Wiz,Dallas Burn,Arrowhead Stadium,17706,2,3,Dallas Burn,1996
27,Regular Season,1996-05-11,Columbus Crew,New England,Ohio Stadium,24750,3,2,Columbus Crew,1996
28,Regular Season,1996-05-11,Colorado Rapids,Tampa Bay,Mile High Stadium,9171,1,2,Tampa Bay,1996
29,Regular Season,1996-05-12,San Jose,LA Galaxy,CEFCU Stadium,31728,1,2,LA Galaxy,1996
30,Regular Season,1996-05-12,D.C. United,MetroStars,Robert F. Kennedy Memorial Stadium,14722,1,1,MetroStars,1996
31,Regular Season,1996-05-15,D.C. United,Columbus Crew,Robert F. Kennedy Memorial Stadium,7422,5,2,D.C. United,1996
32,Regular Season,1996-05-16,MetroStars,Colorado Rapids,Giants Stadium,14121,3,0,MetroStars,1996
33,Regular Season,1996-05-18,Dallas Burn,D.C. United,Cotton Bowl,23251,3,2,Dallas Burn,1996
34,Regular Season,1996-05-18,Tampa Bay,San Jose,Houlihan's Stadium,12047,3,2,Tampa Bay,1996
35,Regular Season,1996-05-19,New England,MetroStars,Foxboro Stadium,20131,2,0,New England,1996
36,Regular Season,1996-05-19,LA Galaxy,KC Wiz,Rose Bowl,25231,2,0,LA Galaxy,1996
37,Regular Season,1996-05-19,Columbus Crew,Colorado Rapids,Ohio Stadium,20184,2,4,Colorado Rapids,1996
38,Regular Season,1996-05-22,KC Wiz,MetroStars,Arrowhead Stadium,8916,2,1,KC Wiz,1996
39,Regular Season,1996-05-23,Dallas Burn,Tampa Bay,Cotton Bowl,11457,0,1,Tampa Bay,1996
40,Regular Season,1996-05-25,New England,Colorado Rapids,Foxboro Stadium,14323,2,2,New England,1996
41,Regular Season,1996-05-26,LA Galaxy,Columbus Crew,Rose Bowl,15231,3,2,LA Galaxy,1996
42,Regular Season,1996-05-29,Colorado Rapids,Dallas Burn,Mile High Stadium,10971,2,0,Colorado Rapids,1996
43,Regular Season,1996-05-29,San Jose,KC Wiz,CEFCU Stadium,10299,2,1,San Jose,1996
44,Regular Season,1996-05-30,MetroStars,D.C. United,Giants Stadium,25322,1,2,D.C. United,1996
45,Regular Season,1996-06-01,San Jose,Columbus Crew,CEFCU Stadium,16077,2,2,San Jose,1996
46,Regular Season,1996-06-01,KC Wiz,New England,Arrowhead Stadium,17808,2,1,KC Wiz,1996
47,Regular Season,1996-06-01,Tampa Bay,LA Galaxy,Houlihan's Stadium,19717,1,2,LA Galaxy,1996
48,Regular Season,1996-06-02,Colorado Rapids,D.C. United,Mile High Stadium,8517,2,2,D.C. United,1996
49,Regular Season,1996-06-02,Dallas Burn,MetroStars,Cotton Bowl,10610,0,1,MetroStars,1996
51,Regular Season,1996-06-05,D.C. United,San Jose,Robert F. Kennedy Memorial Stadium,15845,3,1,D.C. United,1996
52,Regular Season,1996-06-05,KC Wiz,Tampa Bay,Arrowhead Stadium,9551,1,3,Tampa Bay,1996
53,Regular Season,1996-06-06,New England,LA Galaxy,Foxboro Stadium,20236,2,2,LA Galaxy,1996
54,Regular Season,1996-06-08,Columbus Crew,KC Wiz,Ohio Stadium,16526,3,3,KC Wiz,1996
55,Regular Season,1996-06-08,Dallas Burn,San Jose,Cotton Bowl,25187,4,1,Dallas Burn,1996
56,Regular Season,1996-06-08,Tampa Bay,Colorado Rapids,Houlihan's Stadium,7388,2,1,Tampa Bay,1996
57,Regular Season,1996-06-09,MetroStars,LA Galaxy,Giants Stadium,53250,0,4,LA Galaxy,1996
58,Regular Season,1996-06-15,Dallas Burn,Colorado Rapids,Cotton Bowl,9704,1,1,Dallas Burn,1996
59,Regular Season,1996-06-15,New England,KC Wiz,Foxboro Stadium,21407,1,1,New England,1996
60,Regular Season,1996-06-16,MetroStars,San Jose,Giants Stadium,18404,0,1,San Jose,1996
61,Regular Season,1996-06-16,LA Galaxy,Tampa Bay,Rose Bowl,92216,2,2,LA Galaxy,1996
62,Regular Season,1996-06-19,Columbus Crew,Colorado Rapids,Ohio Stadium,13093,2,2,Colorado Rapids,1996
63,Regular Season,1996-06-19,MetroStars,Dallas Burn,Giants Stadium,14322,0,0,MetroStars,1996
64,Regular Season,1996-06-20,KC Wiz,D.C. United,Arrowhead Stadium,9458,5,1,KC Wiz,1996
65,Regular Season,1996-06-22,Tampa Bay,Columbus Crew,Houlihan's Stadium,8767,3,3,Columbus Crew,1996
66,Regular Season,1996-06-23,New England,Dallas Burn,Foxboro Stadium,17066,1,4,Dallas Burn,1996
67,Regular Season,1996-06-23,San Jose,D.C. United,CEFCU Stadium,14088,2,1,San Jose,1996
68,Regular Season,1996-06-26,MetroStars,KC Wiz,Giants Stadium,16103,2,0,MetroStars,1996
69,Regular Season,1996-06-26,LA Galaxy,Colorado Rapids,Rose Bowl,21280,3,1,LA Galaxy,1996
70,Regular Season,1996-06-27,New England,Columbus Crew,Foxboro Stadium,15209,1,1,Columbus Crew,1996
71,Regular Season,1996-06-29,Dallas Burn,KC Wiz,Cotton Bowl,9615,0,1,KC Wiz,1996
72,Regular Season,1996-06-30,Columbus Crew,MetroStars,Ohio Stadium,17261,0,4,MetroStars,1996
73,Regular Season,1996-06-30,Colorado Rapids,LA Galaxy,Mile High Stadium,15711,2,1,Colorado Rapids,1996
74,Regular Season,1996-06-30,D.C. United,New England,Robert F. Kennedy Memorial Stadium,19355,3,1,D.C. United,1996
75,Regular Season,1996-06-30,San Jose,Tampa Bay,CEFCU Stadium,19380,4,0,San Jose,1996
77,Regular Season,1996-07-04,Dallas Burn,D.C. United,Cotton Bowl,16177,1,1,Dallas Burn,1996
78,Regular Season,1996-07-04,Tampa Bay,Columbus Crew,Houlihan's Stadium,18761,4,1,Tampa Bay,1996
79,Regular Season,1996-07-04,LA Galaxy,New England,Rose Bowl,62703,0,1,New England,1996
80,Regular Season,1996-07-04,Colorado Rapids,MetroStars,Mile High Stadium,20117,2,1,Colorado Rapids,1996
81,Regular Season,1996-07-06,San Jose,New England,CEFCU Stadium,18813,1,1,New England,1996
82,Regular Season,1996-07-06,KC Wiz,LA Galaxy,Arrowhead Stadium,17921,3,1,KC Wiz,1996
